none
none
none
none
none
"a" "q" 1;
"a" "q" 1;
"a" "q" 1;
"a" "q" 1;
"a" "l" "q" 1;
"a" "l" "q" 1;
"a" "l" "q" 1;
"a" "l" "q" 1;
"a" "l" "q" 1;
"a" "l" "q" 1;
"a" "l" "q" 1; "b" "b" 1;
"a" "l" "q" 1; "b" "b" 1; "d" "c" 1;
"a" "l" "q" 1; "b" "b" 1; "d" "c" 1;
"a" "l" "q" 1; "b" "b" 1; "d" "c" 1;
"a" "l" "q" 1; "b" "b" 1; "d" "c" 1;
"a" "l" "q" 1; "b" "b" 1; "d" "c" 1;
"a" "l" "q" 1; "b" "b" 1; "d" "c" 1;
"a" "l" "q" 1; "b" "b" 1; "d" "c" 1;
"a" "l" "q" 1; "b" "b" 1; "d" "c" 1;
"a" "l" "q" 1; "b" "b" 1; "d" "c" 1;
"a" "l" "q" 1; "b" "b" 1; "d" "c" 1; "e" "s" 1;
"a" "l" "q" 1; "b" "b" 1; "d" "c" "q" 1; "e" "s" 1;
"a" "l" "q" 1; "b" "b" "e" 1; "d" "c" "q" 1; "e" "s" 1;
"a" "l" "q" 1; "b" "b" "e" 1; "d" "c" "q" 1; "e" "s" 1;
"a" "l" "q" 1; "b" "b" "e" 1; "d" "c" "q" 1; "e" "s" 1;
"a" "l" "q" 1; "b" "b" "e" 1; "d" "c" "q" 1; "e" "s" 1;
"a" "l" "q" 1; "b" "b" "e" 1; "d" "c" "q" 1; "e" "s" 1;
"a" "l" "q" 1; "b" "b" "e" 1; "d" "c" "q" 1; "e" "s" 1;
"a" "l" "q" 1; "b" "b" "e" 1; "d" "c" "q" 1; "e" "s" 1;
"a" "l" "q" 1; "b" "b" "e" 1; "d" "c" "q" 1; "e" "s" 1;
"a" "c" "l" "q" 1; "b" "b" "e" 1; "d" "c" "q" 1; "e" "s" 1;
"a" "c" "l" "q" 1; "b" "b" "e" "s" 1; "d" "c" "l" "q" 1; "e" "s" 1;
"a" "c" "l" "q" 1; "b" "b" "e" "s" 1; "d" "c" "l" "q" 1; "e" "s" 1;
"a" "c" "l" "q" 1; "b" "b" "e" "s" 1; "d" "c" "l" "q" 1; "e" "s" 1;
"a" "c" "l" "q" 1; "b" "b" "e" "s" 1; "d" "c" "l" "q" 1; "e" "s" 1;
"a" "c" "l" "q" 1; "b" "b" "e" "s" 1; "d" "c" "l" "q" 1; "e" "s" 1;
"a" "c" "l" "q" 1; "b" "b" "e" "s" 1; "d" "b" "c" "l" "q" 1; "e" "s" 1;
"a" "c" "l" "q" 1; "b" "b" "e" "s" 1; "d" "b" "c" "l" "q" 1; "e" "s" 1;
"a" "c" "l" "q" 1; "b" "b" "e" "s" 1; "d" "b" "c" "l" "q" 1; "e" "s" 1;
"a" "c" "l" "q" 1; "b" "b" "e" "s" "v" 1; "d" "b" "c" "l" "q" 1; "e" "s" 1;
"a" "c" "l" "q" 1; "b" "b" "c" "e" "s" "v" "y" 1; "d" "b" "c" "d" "l" "q" 1; "e" "s" "y" 1;
"a" "c" "l" "q" 1; "b" "b" "c" "e" "s" "v" "y" 1; "d" "b" "c" "d" "l" "q" 1; "e" "s" "y" 1;
"a" "c" "l" "q" 1; "b" "b" "c" "e" "s" "v" "y" 1; "d" "b" "c" "d" "l" "q" 1; "e" "s" "y" 1;
"a" "c" "l" "q" "r" 1; "b" "b" "c" "e" "s" "v" "y" 1; "d" "b" "c" "d" "l" "q" 1; "e" "b" "e" "s" "y" 1;
"a" "c" "l" "q" "r" 1; "b" "b" "c" "e" "s" "v" "y" 1; "d" "b" "c" "d" "l" "q" 1; "e" "b" "e" "s" "y" 1;
"a" "c" "l" "q" "r" 1; "b" "b" "c" "e" "k" "s" "v" "y" 1; "d" "b" "c" "d" "l" "q" 1; "e" "b" "e" "s" "y" 1;
"a" "c" "l" "q" "r" 1; "b" "b" "c" "e" "k" "s" "v" "y" 1; "d" "b" "c" "d" "l" "q" 1; "e" "b" "e" "s" "y" 1;
"a" "c" "l" "q" "r" 1; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "i" 1; "d" "b" "c" "d" "l" "q" 1; "e" "b" "e" "s" "y" 1;
"a" "c" "l" "q" "r" 1; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "i" 1; "d" "b" "c" "d" "l" "q" 1; "e" "b" "e" "s" "y" 1;
"a" "c" "l" "q" "r" 1; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "i" 1; "d" "b" "c" "d" "l" "q" 1; "e" "b" "e" "s" "y" 1;
"a" "c" "l" "q" "r" 1; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "i" 1; "d" "b" "c" "d" "l" "q" 1; "e" "b" "e" "s" "y" 1;
"a" "c" "l" "q" "r" 1; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "i" 1; "d" "b" "c" "d" "l" "q" 1; "e" "b" "e" "s" "y" 1;
"a" "c" "l" "q" "r" 1; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "i" 1; "d" "b" "c" "d" "l" "q" 1; "e" "b" "e" "s" "v" "y" 1;
"a" "c" "l" "q" "r" 1; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "i" 1; "d" "b" "c" "d" "l" "q" 1; "e" "b" "e" "s" "v" "y" 1;
"a" "q" 2; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "i" 1; "d" "b" "c" "d" "f" "l" "q" 1; "e" "v" 2;
"a" "q" 2; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "i" 1; "d" "b" "c" "d" "f" "l" "q" 1; "e" "v" 2;
"a" "q" 2; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "f" "i" 1; "d" "b" "c" "d" "f" "l" "q" 1; "e" "v" 2;
"a" "q" 2; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "f" "i" 1; "d" "b" "c" "d" "f" "l" "q" 1; "e" "v" 2;
"a" "q" 2; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "f" "i" 1; "d" "b" "c" "d" "f" "l" "q" 1; "e" "v" 2;
"a" "q" 2; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "f" "i" 1; "d" "b" "c" "d" "f" "l" "q" 1; "e" "v" 2;
"a" "q" 2; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "f" "i" 1; "d" "b" "c" "d" "f" "l" "q" 1; "e" "v" 2;
"a" "q" 2; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "f" "i" 1; "d" "d" 2; "e" "v" 2;
"a" "q" 2; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "f" "i" 1; "d" "d" 2; "e" "v" 2;
"a" "q" 2; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "f" "i" 1; "d" "d" 2; "e" "v" 2;
"a" "q" 2; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "f" "i" 1; "d" "d" 2; "e" "s" "v" 2;
"a" "q" 2; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "f" "i" 1; "d" "d" 2; "e" "s" "v" 2;
"a" "q" 2; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "f" "i" "q" 1; "d" "d" 2; "e" "s" "v" 2;
"a" "q" 2; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "f" "i" "q" 1; "d" "d" 2; "e" "s" "v" 2;
"a" "q" "r" 2; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "f" "i" "q" 1; "d" "d" 2; "e" "s" "v" 2;
"a" "q" "r" 2; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "f" "i" "q" 1; "d" "d" 2; "e" "s" "v" 2;
"a" "q" "r" 2; "b" "b" "c" "e" "k" "s" "v" "y" 1; "c" "f" 2; "d" "d" 2; "e" "s" "v" 2;
