none
none
none
none
none
none
none
none
none
none
none
"e" "c" 1;
"e" "c" 1;
"b" "p" 1; "c" "b" 1; "e" "c" 1;
"b" "p" 1; "c" "b" 1; "e" "c" 1;
"b" "p" 1; "c" "b" 1; "e" "c" 1;
"b" "p" 1; "c" "b" 1; "e" "c" 1;
"b" "p" 1; "c" "b" 1; "e" "c" 1;
"b" "p" 1; "c" "b" 1; "e" "c" 1;
"b" "p" 1; "c" "b" 1; "e" "c" 1;
"b" "p" 1; "c" "b" 1; "e" "c" "y" 1;
"b" "p" 1; "c" "b" 1; "e" "c" "y" 1;
"b" "p" 1; "c" "b" 1; "e" "c" "y" 1;
"b" "p" 1; "c" "b" 1; "e" "c" "y" 1;
"b" "p" 1; "c" "b" 1; "e" "c" "y" 1;
"b" "p" 1; "c" "b" 1; "e" "c" "y" 1;
"b" "p" 1; "c" "b" 1; "e" "c" "y" 1;
"b" "p" 1; "c" "b" 1; "e" "c" "y" 1;
"b" "p" 1; "c" "b" 1; "e" "c" "y" 1;
"b" "p" 1; "c" "b" 1; "e" "c" "y" 1;
"b" "p" 1; "c" "b" 1; "e" "c" "y" 1;
"b" "p" 1; "c" "b" 1; "e" "c" "y" 1;
"b" "p" 1; "c" "b" 1; "d" "e" 1; "e" "c" "y" 1;
"b" "p" 1; "c" "b" 1; "d" "e" 1; "e" "c" "y" 1;
"b" "p" 1; "c" "b" 1; "d" "e" 1; "e" "c" "y" 1;
"b" "p" 1; "c" "b" 1; "d" "e" 1; "e" "c" "y" 1;
"b" "p" 1; "c" "b" 1; "d" "e" 1; "e" "c" "y" 1;
"b" "p" 1; "c" "b" 1; "d" "e" 1; "e" "c" "y" 1;
"b" "p" 1; "c" "b" 1; "d" "e" 1; "e" "c" "y" 1;
"b" "p" "q" 1; "c" "b" "x" 1; "d" "e" 1; "e" "c" "y" 1;
"b" "p" "q" 1; "c" "b" "x" 1; "d" "e" 1; "e" "c" "y" 1;
"b" "p" "q" 1; "c" "b" "x" 1; "d" "e" 1; "e" "c" "y" 1;
"b" "k" "p" "q" 1; "c" "b" "i" "x" 1; "d" "e" 1; "e" "c" "y" 1;
"b" "k" "p" "q" 1; "c" "b" "i" "x" 1; "d" "e" 1; "e" "c" "y" 1;
"a" "z" 1; "b" "k" "p" "q" 1; "c" "b" "i" "x" 1; "d" "e" 1; "e" "c" "y" 1;
"a" "z" 1; "b" "k" "p" "q" 1; "c" "b" "i" "x" 1; "d" "e" 1; "e" "c" "y" 1;
"a" "z" 1; "b" "k" "p" "q" 1; "c" "b" "i" "x" 1; "d" "e" 1; "e" "c" "y" 1;
"a" "z" 1; "b" "k" "p" "q" 1; "c" "b" "i" "x" 1; "d" "e" 1; "e" "c" "y" 1;
"a" "z" 1; "b" "k" "p" "q" 1; "c" "b" "i" "x" 1; "d" "e" 1; "e" "c" "y" 1;
"a" "z" 1; "b" "k" "p" "q" 1; "c" "b" "i" "x" 1; "d" "e" 1; "e" "c" "y" 1;
"a" "z" 1; "b" "k" "p" "q" 1; "c" "b" "i" "x" 1; "d" "e" 1; "e" "c" "y" 1;
"a" "z" 1; "b" "k" "p" "q" 1; "c" "b" "i" "x" 1; "d" "e" 1; "e" "c" "y" 1;
"a" "z" 1; "b" "k" "p" "q" 1; "c" "b" "i" "x" 1; "d" "e" 1; "e" "c" "y" 1;
"a" "z" 1; "b" "k" "p" "q" 1; "c" "b" "i" "x" 1; "d" "e" 1; "e" "c" "y" 1;
"a" "z" 1; "b" "k" 2; "c" "b" "i" "x" "z" 1; "d" "e" 1; "e" "c" "y" 1;
"a" "z" 1; "b" "k" 2; "c" "b" "i" "x" "z" 1; "d" "e" 1; "e" "c" "y" 1;
"a" "z" 1; "b" "k" 2; "c" "b" "i" "x" "z" 1; "d" "e" 1; "e" "c" "y" 1;
"a" "z" 1; "b" "k" 2; "c" "b" "i" "x" "z" 1; "d" "e" 1; "e" "c" "y" 1;
"a" "z" 1; "b" "k" 2; "c" "b" "i" "x" "z" 1; "d" "e" 1; "e" "c" "y" 1;
"a" "z" 1; "b" "k" 2; "c" "b" "i" "x" "z" 1; "d" "e" 1; "e" "c" "y" 1;
"a" "z" 1; "b" "k" 2; "c" "b" "i" "x" "z" 1; "d" "e" 1; "e" "c" "y" 1;
"a" "z" 1; "b" "k" 2; "c" "b" "i" "x" "z" 1; "d" "e" 1; "e" "c" "y" 1;
"a" "z" 1; "b" "k" 2; "c" "b" "i" "x" "z" 1; "d" "e" 1; "e" "c" "y" 1;
