none
none
none
none
none
none
none
none
none
"b" "g" 1;
"b" "g" 1;
"b" "f" "g" 1; "c" "g" 1;
"b" "f" "g" 1; "c" "g" 1;
"b" "f" "g" 1; "c" "g" 1;
"b" "f" "g" "k" 1; "c" "g" 1;
"b" "f" "g" "k" 1; "c" "g" 1; "e" "l" 1;
"b" "f" "g" "k" 1; "c" "g" 1; "e" "l" 1;
"b" "f" "g" "k" 1; "c" "g" 1; "e" "l" 1;
"b" "f" "g" "k" 1; "c" "g" 1; "e" "l" 1;
"b" "f" "g" "k" 1; "c" "g" 1; "e" "l" 1;
"b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 1;
"b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 1;
"b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "g" "v" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "g" "v" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "g" "v" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "g" "v" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "g" "v" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "g" "v" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "g" "v" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "g" "v" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "d" "k" 1; "e" "l" 2;
"a" "g" "v" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "d" "k" 1; "e" "l" 2;
"a" "g" "v" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "d" "k" 1; "e" "l" 2;
"a" "g" "v" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "d" "k" 1; "e" "l" 2;
"a" "g" "v" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "d" "k" 1; "e" "l" 2;
"a" "g" "v" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "d" "k" 1; "e" "l" 2;
"a" "g" "v" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "d" "k" 1; "e" "l" 2;
"a" "g" "v" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "d" "k" 1; "e" "l" 2;
"a" "y" 2; "b" "f" "g" "k" 1; "c" "a" "g" "z" 1; "d" "k" 1; "e" "l" 2;
"a" "y" 2; "b" "f" "g" "k" 1; "c" "a" "g" "z" 1; "d" "k" 1; "e" "l" 2;
"a" "y" 2; "b" "f" "g" "k" 1; "c" "a" "g" "z" 1; "d" "k" 1; "e" "l" 2;
"a" "y" 2; "b" "f" "g" "k" 1; "c" "a" "g" "z" 1; "d" "k" 1; "e" "l" 2;
"a" "y" 2; "b" "f" "g" "k" 1; "c" "a" "g" "z" 1; "d" "k" 1; "e" "l" 2;
"a" "y" 2; "b" "f" "g" "k" 1; "c" "a" "g" "z" 1; "d" "k" "q" "t" 1; "e" "l" 2;
"a" "y" 2; "b" "f" "g" "k" 1; "c" "a" "g" "x" "z" 1; "d" "k" "q" "t" 1; "e" "l" 2;
"a" "y" 2; "b" "f" "g" "k" 1; "c" "a" "g" "x" "z" 1; "d" "k" "q" "t" 1; "e" "l" 2;
"a" "y" 2; "b" "f" "g" "k" 1; "c" "a" "g" "x" "z" 1; "d" "k" "q" "t" 1; "e" "l" 2;
"a" "y" 2; "b" "f" "g" "k" 1; "c" "a" "g" "x" "z" 1; "d" "k" "q" "t" 1; "e" "l" 2;
"a" "y" 2; "b" "f" "g" "k" 1; "c" "a" "f" "g" "x" "z" 1; "d" "k" "q" "t" 1; "e" "l" 2;
"a" "y" 2; "b" "f" "g" "k" 1; "c" "a" "f" "g" "x" "y" "z" 1; "d" "k" "q" "t" 1; "e" "l" 2;
"a" "y" 2; "b" "f" "g" "k" 1; "c" "a" "f" "g" "x" "y" "z" 1; "d" "k" "q" "t" 1; "e" "l" 2;
"a" "y" 2; "b" "f" "g" "k" "s" 1; "c" "a" "f" "g" "x" "y" "z" 1; "d" "k" "q" "t" 1; "e" "l" 2;
"a" "y" 2; "b" "k" 2; "c" "x" 2; "d" "k" "q" "t" 1; "e" "l" 2;
"a" "y" 2; "b" "k" 2; "c" "x" 2; "d" "k" "q" "t" 1; "e" "l" 2;
