none
none
none
none
none
none
none
"a" "i" 1; "e" "e" 1;
"a" "i" 1; "e" "e" 1;
"a" "i" 1; "e" "e" "y" 1;
"a" "i" 1; "c" "r" 1; "e" "e" "y" 1;
"a" "i" 1; "c" "r" 1; "e" "e" "y" 1;
"a" "i" 1; "c" "r" 1; "e" "e" "y" 1;
"a" "i" 1; "c" "r" 1; "e" "e" "y" 1;
"a" "i" 1; "c" "r" 1; "e" "e" "y" 1;
"a" "i" "k" 1; "c" "r" 1; "e" "e" "y" 1;
"a" "i" "k" 1; "c" "r" 1; "e" "e" "y" 1;
"a" "i" "k" 1; "c" "r" 1; "e" "e" "y" 1;
"a" "i" "k" 1; "c" "r" 1; "e" "e" "y" 1;
"a" "i" "k" 1; "c" "r" 1; "e" "e" "y" 1;
"a" "i" "k" 1; "c" "r" 1; "e" "e" "y" 1;
"a" "i" "k" 1; "c" "r" 1; "e" "e" "y" 1;
"a" "i" "k" 1; "b" "y" 1; "c" "r" 1; "e" "e" "y" 1;
"a" "i" "k" 1; "b" "y" 1; "c" "r" 1; "e" "e" "y" 1;
"a" "i" "k" 1; "b" "y" 1; "c" "r" 1; "e" "e" "y" 1;
"a" "i" "k" 1; "b" "y" 1; "c" "r" "t" 1; "e" "e" "y" 1;
"a" "i" "k" 1; "b" "y" 1; "c" "r" "t" 1; "e" "e" "y" 1;
"a" "i" "k" 1; "b" "y" 1; "c" "r" "t" 1; "e" "e" "y" 1;
"a" "i" "k" 1; "b" "y" 1; "c" "r" "t" "z" 1; "e" "e" "y" 1;
"a" "i" "k" 1; "b" "y" 1; "c" "r" "t" "y" "z" 1; "e" "e" "y" 1;
"a" "i" "k" 1; "b" "y" 1; "c" "r" "t" "y" "z" 1; "e" "e" "y" 1;
"a" "i" "k" 1; "b" "y" 1; "c" "r" "t" "y" "z" 1; "e" "e" "y" 1;
"a" "i" "k" 1; "b" "y" 1; "c" "r" "t" "y" "z" 1; "e" "d" "e" "y" 1;
"a" "i" "k" "o" 1; "b" "p" "y" 1; "c" "r" "t" "y" "z" 1; "e" "d" "e" "y" 1;
"a" "i" "k" "o" "r" 1; "b" "p" "y" 1; "c" "r" "t" "y" "z" 1; "e" "d" "e" "h" "y" 1;
"a" "i" "k" "o" "r" 1; "b" "p" "y" 1; "c" "r" "t" "y" "z" 1; "e" "d" "e" "h" "y" 1;
"a" "i" "k" "o" "r" 1; "b" "p" "y" 1; "c" "r" "t" "y" "z" 1; "e" "d" "e" "h" "y" 1;
"a" "i" "k" "o" "r" 1; "b" "p" "y" 1; "c" "r" "t" "y" "z" 1; "e" "d" "e" "h" "y" 1;
"a" "i" "k" "o" "r" 1; "b" "p" "y" "z" 1; "c" "r" "t" "y" "z" 1; "e" "d" "e" "h" "y" 1;
"a" "i" "k" "m" "o" "r" 1; "b" "p" "y" "z" 1; "c" "r" "t" "y" "z" 1; "e" "d" "e" "h" "y" 1;
"a" "i" "k" "m" "o" "r" 1; "b" "p" "y" "z" 1; "c" "r" "t" "y" "z" 1; "e" "d" "e" "h" "y" 1;
"a" "i" "k" "m" "o" "r" 1; "b" "p" "y" "z" 1; "c" "r" "t" "y" "z" 1; "e" "d" "e" "h" "y" 1;
"a" "i" "k" "m" "o" "r" 1; "b" "p" "y" "z" 1; "c" "r" "t" "x" "y" "z" 1; "e" "d" "e" "h" "y" 1;
"a" "i" "k" "m" "o" "r" 1; "b" "p" "y" "z" 1; "c" "r" "t" "x" "y" "z" 1; "e" "d" "e" "h" "y" 1;
"a" "i" "k" "m" "o" "r" 1; "b" "p" "y" "z" 1; "c" "r" "t" "x" "y" "z" 1; "e" "d" "e" "h" "y" 1;
"a" "i" "k" "m" "o" "r" 1; "b" "p" "y" "z" 1; "c" "y" 2; "e" "d" "e" "h" "y" 1;
"a" "k" 2; "b" "i" "p" "q" "r" "y" "z" 1; "c" "y" 2; "e" "y" 2;
"a" "k" 2; "b" "i" "p" "q" "r" "y" "z" 1; "c" "y" 2; "e" "y" 2;
"a" "k" 2; "b" "i" "p" "q" "r" "y" "z" 1; "c" "y" 2; "e" "y" 2;
"a" "k" 2; "b" "i" "p" "q" "r" "y" "z" 1; "c" "y" 2; "e" "y" 2;
"a" "k" 2; "b" "i" "p" "q" "r" "y" "z" 1; "c" "y" 2; "e" "y" 2;
"a" "k" 2; "b" "i" "p" "q" "r" "y" "z" 1; "c" "y" 2; "e" "y" 2;
"a" "k" 2; "b" "i" "p" "q" "r" "y" "z" 1; "c" "y" 2; "e" "y" 2;
"a" "k" 2; "b" "i" "p" "q" "r" "y" "z" 1; "c" "y" 2; "e" "y" 2;
"a" "k" 2; "b" "i" "p" "q" "r" "y" "z" 1; "c" "y" 2; "e" "y" 2;
"a" "k" 2; "b" "i" "p" "q" "r" "y" "z" 1; "c" "y" 2; "e" "y" 2;
"a" "k" 2; "b" "p" 2; "c" "y" 2; "d" "r" 1; "e" "y" 2;
"a" "k" 2; "b" "p" 2; "c" "y" 2; "d" "r" 1; "e" "y" 2;
"a" "k" 2; "b" "p" 2; "c" "y" 2; "d" "r" 1; "e" "y" 2;
"a" "k" "o" 2; "b" "p" 2; "c" "y" 2; "d" "r" 1; "e" "y" 2;
"a" "k" "o" 2; "b" "p" 2; "c" "y" 2; "d" "r" 1; "e" "y" 2;
"a" "k" "o" 2; "b" "p" 2; "c" "y" 2; "d" "r" 1; "e" "y" 2;
"a" "k" "o" 2; "b" "p" 2; "c" "y" 2; "d" "i" "r" 1; "e" "y" 2;
"a" "k" "o" 2; "b" "p" 2; "c" "y" 2; "d" "i" "r" 1; "e" "y" 2;
"a" "k" "o" 2; "b" "p" 2; "c" "y" 2; "d" "i" "r" 1; "e" "y" 2;
"a" "k" "o" 2; "b" "p" 2; "c" "y" 2; "d" "i" "r" 1; "e" "y" 2;
"a" "k" "o" 2; "b" "p" 2; "c" "y" 2; "d" "i" "r" 1; "e" "y" 2;
"a" "k" "o" 2; "b" "p" 2; "c" "y" 2; "d" "i" "r" 1; "e" "y" 2;
"a" "k" "o" 2; "b" "p" 2; "c" "y" 2; "d" "i" "r" 1; "e" "y" 2;
"a" "k" "o" 2; "b" "p" 2; "c" "y" 2; "d" "i" "r" 1; "e" "y" 2;
"a" "k" "o" 2; "b" "p" 2; "c" "y" 2; "d" "i" "r" 1; "e" "y" 2;
"a" "k" "o" 2; "b" "p" 2; "c" "y" 2; "d" "i" "r" 1; "e" "y" 2;
"a" "k" "o" 2; "b" "p" 2; "c" "y" 2; "d" "i" "r" 1; "e" "y" 2;
"a" "k" "o" 2; "b" "p" 2; "c" "y" 2; "d" "i" "r" 1; "e" "h" "y" 2;
"a" "k" "o" 2; "b" "p" 2; "c" "y" 2; "d" "i" "r" 1; "e" "h" "y" 2;
"a" "k" "o" 2; "b" "p" 2; "c" "y" 2; "d" "i" "r" 1; "e" "h" "y" 2;
"a" "k" "o" 2; "b" "p" 2; "c" "y" 2; "d" "i" "r" 1; "e" "h" "y" 2;
"a" "k" "o" 2; "b" "p" 2; "c" "y" 2; "d" "i" "r" 1; "e" "h" "y" 2;
"a" "k" "o" 2; "b" "p" 2; "c" "y" 2; "d" "i" "r" 1; "e" "h" "y" 2;
"a" "k" "o" "r" 2; "b" "p" "r" 2; "c" "y" 3; "d" "i" 2; "e" "h" "y" 2;
"a" "k" "o" "r" 2; "b" "p" "r" 2; "c" "y" 3; "d" "i" "r" 2; "e" "h" "y" 2;
"a" "k" "o" "r" 2; "b" "p" "r" 2; "c" "y" 3; "d" "i" "r" 2; "e" "h" "y" 2;
"a" "k" "o" "r" 2; "b" "p" "r" 2; "c" "y" 3; "d" "i" "r" 2; "e" "h" "y" 2;
"a" "k" "o" "r" 2; "b" "p" "r" 2; "c" "y" 3; "d" "i" "r" 2; "e" "h" "y" 2;
"a" "e" "k" "o" "r" 2; "b" "p" "r" 2; "c" "y" 3; "d" "i" "r" 2; "e" "h" "y" 2;
"a" "e" "k" "o" "r" 2; "b" "p" "q" "r" 2; "c" "y" 3; "d" "i" "r" 2; "e" "h" "y" 2;
"a" "e" "k" "m" "o" "r" 2; "b" "p" "q" "r" 2; "c" "y" 3; "d" "i" "r" 2; "e" "h" "y" 2;
"a" "e" "k" "m" "o" "r" 2; "b" "p" "q" "r" 2; "c" "y" 3; "d" "i" "r" 2; "e" "h" "y" 2;
"a" "e" "k" "m" "o" "r" 2; "b" "p" "q" "r" 2; "c" "y" 3; "d" "i" "r" 2; "e" "h" "y" 2;
"a" "e" "k" "m" "o" "r" 2; "b" "p" "q" "r" 2; "c" "y" 3; "d" "i" "r" 2; "e" "h" "y" 2;
"a" "e" "k" "m" "o" "r" 2; "b" "p" "q" "r" 2; "c" "y" 3; "d" "i" "r" 2; "e" "h" "y" 2;
"a" "e" "k" "m" "o" "r" 2; "b" "p" "q" "r" 2; "c" "y" 4; "d" "i" "r" 2; "e" "h" "y" 2;
"a" "e" "k" "m" "o" "r" 2; "b" "p" "q" "r" 2; "c" "y" 4; "d" "i" "r" 2; "e" "h" 3;
"a" "e" "k" "m" "o" "r" 2; "b" "c" "p" "q" "r" 2; "c" "y" 4; "d" "i" "r" 2; "e" "h" 3;
"a" "e" "k" "m" "o" "r" 2; "b" "c" "p" "q" "r" 2; "c" "y" 4; "d" "i" "r" 2; "e" "h" 3;
"a" "e" "k" "m" "o" "r" 2; "b" "c" "p" "q" "r" "s" 2; "c" "y" 4; "d" "i" "r" 2; "e" "h" 3;
"a" "e" "k" "m" "o" "r" 2; "b" "p" 3; "c" "y" 4; "d" "i" "r" 2; "e" "h" 3;
"a" "e" "k" "m" "o" "r" 2; "b" "p" 3; "c" "y" 4; "d" "i" "r" 2; "e" "h" 3;
"a" "e" "k" "m" "o" "r" 2; "b" "p" 3; "c" "y" 4; "d" "i" "r" 2; "e" "h" 3;
"a" "e" 3; "b" "p" 3; "c" "y" 4; "d" "i" "r" 2; "e" "h" 3;
"a" "e" 3; "b" "p" 3; "c" "y" 4; "d" "i" "r" 2; "e" "h" 3;
"a" "e" 3; "b" "p" 3; "c" "y" 4; "d" "i" "r" 2; "e" "h" 3;
"a" "e" 3; "b" "p" 3; "c" "y" 4; "d" "i" "r" 2; "e" "h" 3;
"a" "e" 3; "b" "p" 3; "c" "y" 4; "d" "i" "r" 2; "e" "h" 3;
"a" "e" 3; "b" "p" 3; "c" "y" 4; "d" "i" "r" 2; "e" "h" 3;
"a" "e" 3; "b" "p" 3; "c" "y" 4; "d" "i" "r" 2; "e" "h" 3;
"a" "e" 3; "b" "p" "s" 3; "c" "y" 4; "d" "i" "r" 2; "e" "h" 3;
"a" "e" 3; "b" "p" "s" 3; "c" "y" 4; "d" "i" "r" 2; "e" "h" 3;
"a" "e" 3; "b" "p" "s" 3; "c" "y" 4; "d" "i" "r" 2; "e" "h" 3;
"a" "e" 3; "b" "p" "s" 3; "c" "y" 4; "d" "i" "r" 2; "e" "h" 3;
"a" "e" 3; "b" "p" "s" 3; "c" "y" 4; "d" "i" "r" 2; "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "r" 2; "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "r" 2; "e" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "r" 2; "e" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "r" 2; "e" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "r" 2; "e" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "r" 2; "e" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "r" 2; "e" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "r" 2; "e" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "r" 2; "e" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "r" 2; "e" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "r" 2; "e" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "r" 2; "e" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "r" 2; "e" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "r" 2; "e" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "r" 2; "e" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "r" 2; "e" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "r" 2; "e" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "r" 2; "e" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "r" 2; "e" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "r" 2; "e" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "r" 2; "e" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "r" 2; "e" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "r" 2; "e" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "r" 2; "e" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "r" 2; "e" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "r" 2; "e" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "r" 2; "e" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "r" 2; "e" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "r" 2; "e" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "p" "r" 2; "e" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "p" "r" 2; "e" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "p" "r" 2; "e" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "p" "r" 2; "e" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "p" "r" 2; "e" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "p" "r" 2; "e" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "p" "r" 2; "e" "b" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "p" "r" 2; "e" "b" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "p" "r" 2; "e" "b" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "p" "r" 2; "e" "b" "e" "h" 3;
"a" "e" 3; "b" "p" 4; "c" "y" 4; "d" "i" "p" "r" 2; "e" "b" "e" "h" 3;
"a" "e" "k" "m" "o" "r" "t" "z" 2; "b" "p" 4; "c" "y" 4; "d" "i" "p" "r" 2; "e" "b" "e" "h" 3;
"a" "e" "k" "m" "o" "r" "t" "z" 2; "b" "p" 4; "c" "y" 4; "d" "i" "p" "r" 2; "e" "b" "e" "h" 3;
"a" "e" "k" "m" "o" "r" "t" "z" 2; "b" "p" 4; "c" "y" 4; "d" "i" "p" "r" 2; "e" "b" "e" "h" 3;
"a" "e" "k" "m" "o" "r" "t" "z" 2; "b" "p" 4; "c" "y" 4; "d" "p" 3; "e" "b" "e" "h" 3;
"a" "e" "k" "m" "o" "r" "t" "z" 2; "b" "p" 4; "c" "y" 4; "d" "p" 3; "e" "b" "e" "h" 3;
"a" "e" "k" "m" "o" "r" "t" "z" 2; "b" "p" 4; "c" "y" 4; "d" "p" 3; "e" "b" "e" "h" 3;
"a" "e" "k" "m" "o" "r" "t" "z" 2; "b" "p" 4; "c" "y" 4; "d" "p" 3; "e" "b" "e" "h" 3;
"a" "e" "i" "k" "m" "o" "r" "t" "z" 2; "b" "p" 4; "c" "y" 4; "d" "p" 3; "e" "b" "e" "h" 3;
"a" "e" "i" "k" "m" "o" "r" "t" "z" 2; "b" "p" 4; "c" "y" 4; "d" "p" 3; "e" "b" "e" "h" 3;
"a" "e" "i" "k" "m" "o" "r" "t" "z" 2; "b" "p" 4; "c" "y" 4; "d" "p" 3; "e" "b" "e" "h" 3;
"a" "e" "i" "k" "m" "o" "r" "t" "z" 2; "b" "p" 4; "c" "y" 4; "d" "p" 3; "e" "b" "e" "h" 3;
"a" "e" "i" "k" "m" "o" "r" "t" "z" 2; "b" "p" 4; "c" "y" 4; "d" "p" 3; "e" "b" "e" "h" 3;
"a" "d" "e" "i" "k" "m" "o" "r" "t" "z" 2; "b" "p" 4; "c" "y" 4; "d" "p" 3; "e" "b" "e" "h" 3;
"a" "d" "e" "i" "k" "m" "o" "r" "t" "z" 2; "b" "p" 4; "c" "y" 4; "d" "p" 3; "e" "b" "e" "h" 3;
"a" "d" "e" "i" "k" "m" "o" "r" "t" "z" 2; "b" "p" 4; "c" "y" 4; "d" "p" 3; "e" "b" "e" "h" 3;
"a" "d" "e" "i" "k" "m" "o" "r" "t" "z" 2; "b" "p" 4; "c" "y" 4; "d" "p" 3; "e" "b" "e" "h" 3;
"a" "d" "e" "i" "k" "m" "o" "r" "t" "z" 2; "b" "p" 4; "c" "y" 4; "d" "p" 3; "e" "b" "e" "h" 3;
"a" "d" "e" "i" "k" "m" "o" "r" "t" "z" 2; "b" "p" 4; "c" "y" 4; "d" "p" 3; "e" "b" "e" "h" 3;
"a" "i" 3; "b" "p" 4; "c" "y" 4; "d" "p" 3; "e" "b" "e" "h" 3;
"a" "i" 3; "b" "p" 4; "c" "y" 4; "d" "p" 3; "e" "b" "e" "h" 3;
"a" "i" 3; "b" "p" 4; "c" "y" 4; "d" "p" 3; "e" "b" "e" "h" 3;
"a" "i" 3; "b" "p" 4; "c" "y" 4; "d" "p" 3; "e" "b" "e" "h" 3;
"a" "i" 3; "b" "p" 4; "c" "y" 4; "d" "p" 3; "e" "b" "e" "h" 3;
"a" "i" 3; "b" "p" 4; "c" "y" 4; "d" "p" 3; "e" "b" "e" "h" 3;
"a" "i" 3; "b" "p" 4; "c" "y" 4; "d" "p" 3; "e" "b" "e" "h" 3;
"a" "i" 3; "b" "p" "s" 4; "c" "y" 4; "d" "p" 3; "e" "b" "e" "h" 3;
"a" "i" 3; "b" "p" "s" 4; "c" "y" 4; "d" "p" 3; "e" "b" "e" "h" 3;
"a" "i" 3; "b" "p" "s" 4; "c" "y" 4; "d" "p" 3; "e" "b" "e" "h" 3;
"a" "d" "i" 3; "b" "p" "s" 4; "c" "y" 4; "d" "p" 3; "e" "b" "e" "h" 3;
"a" "d" "i" 3; "b" "p" "s" 4; "c" "y" 4; "d" "p" 3; "e" "b" "e" "h" 3;
"a" "d" "i" 3; "b" "p" "s" 4; "c" "y" 4; "d" "p" 3; "e" "b" "e" "h" 3;
"a" "d" "i" 3; "b" "p" "s" 4; "c" "y" 4; "d" "p" 4; "e" "b" "e" "h" 3;
"a" "d" 4; "b" "p" "s" 4; "c" "y" 4; "d" "p" 4; "e" "b" "e" "h" 3;
"a" "d" 4; "b" "p" "s" 4; "c" "y" 4; "d" "p" 4; "e" "b" "e" "h" 3;
"a" "d" 4; "b" "p" "s" 4; "c" "y" 4; "d" "p" 4; "e" "b" "e" "h" 3;
"a" "d" 4; "b" "p" "s" 4; "c" "y" 4; "d" "p" 4; "e" "b" "e" "h" 3;
"a" "d" 4; "b" "p" "s" 4; "c" "y" 4; "d" "p" 4; "e" "b" "e" "h" 3;
"a" "d" 4; "b" "p" "s" 4; "c" "y" 4; "d" "p" 4; "e" "b" "e" "h" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 4; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 4; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 4; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 4; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 4; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 4; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 4; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 4; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 4; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 4; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 4; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 4; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 5; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 5; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 5; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 5; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 5; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 5; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 5; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 5; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 5; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 5; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 5; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 5; "d" "p" 4; "e" "b" "e" "h" "p" 3;
"a" "d" 5; "b" "p" "s" 4; "c" "y" 6; "d" "p" 4; "e" "b" "e" "h" "p" 3;
