none
none
none
none
none
none
"c" "c" 1;
"c" "c" 1;
"c" "c" 1;
"c" "c" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" "r" 1; "d" "k" 1;
"c" "c" "r" 1; "d" "k" 1;
"c" "c" "r" 1; "d" "k" 1;
"c" "c" "r" 1; "d" "k" 1;
"c" "c" "r" 1; "d" "k" 1;
"c" "c" "r" 1; "d" "k" "s" 1;
"c" "c" "r" 1; "d" "k" "s" 1;
"c" "c" "r" "y" 1; "d" "k" "q" "s" 1;
"c" "c" "r" "y" 1; "d" "k" "q" "s" 1;
"c" "c" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "c" "c" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "c" "c" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "c" "c" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "c" "c" "i" "p" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "b" "s" 1; "c" "c" "i" "p" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "b" "s" 2; "c" "c" "i" "p" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "b" "s" 2; "c" "c" "i" "p" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "b" "s" 2; "c" "c" "i" "p" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "b" "s" 2; "c" "c" "i" "p" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "b" "s" 2; "c" "c" "i" "p" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "b" "s" 2; "c" "c" "i" "o" "p" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "b" "s" 2; "c" "c" "i" "o" "p" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "f" "i" "r" 1; "b" "s" 2; "c" "i" 2; "d" "k" "o" "q" "s" 1;
"a" "f" "i" "r" 1; "b" "s" 2; "c" "i" 2; "d" "k" "o" "q" "s" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "k" "o" "q" "s" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "k" "o" "q" "s" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "k" "l" "o" "q" "s" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "k" "l" "o" "q" "s" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "k" "l" "o" "q" "s" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "k" "l" "o" "q" "s" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "j" "k" "l" "o" "q" "s" 1; "e" "m" "p" "r" "s" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "j" "k" "l" "o" "q" "s" 1; "e" "m" "p" "r" "s" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "j" "k" "l" "o" "q" "s" 1; "e" "m" "p" "r" "s" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "j" "k" "l" "o" "q" "s" 1; "e" "m" "p" "r" "s" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "j" "k" "l" "o" "q" "s" 1; "e" "m" "p" "r" "s" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "j" "k" "l" "o" "q" "s" 1; "e" "m" "p" "r" "s" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "j" "k" "l" "o" "q" "s" 1; "e" "m" "p" "r" "s" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "j" "k" "l" "o" "q" "s" 1; "e" "m" "p" "r" "s" "x" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "j" "k" "l" "o" "q" "s" 1; "e" "m" "p" "r" "s" "x" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "j" "k" "l" "o" "q" "s" 1; "e" "m" "p" "r" "s" "x" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "j" "k" "l" "o" "q" "s" 1; "e" "m" "p" "r" "s" "x" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "j" "k" "l" "o" "q" "s" 1; "e" "e" "m" "p" "r" "s" "x" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "j" "k" "l" "o" "q" "s" 1; "e" "e" "m" "p" "r" "s" "x" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "j" "k" "l" "o" "q" "s" 1; "e" "e" "m" "p" "r" "s" "x" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "b" "j" "k" "l" "o" "q" "s" 1; "e" "e" "m" "p" "r" "s" "x" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "b" "j" "k" "l" "o" "q" "s" 1; "e" "e" "m" "p" "r" "s" "x" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "b" "j" "k" "l" "o" "q" "s" 1; "e" "e" "m" "p" "r" "s" "x" "z" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "b" "j" "k" "l" "o" "q" "s" 1; "e" "e" "i" "m" "p" "r" "s" "x" "z" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "b" "j" "k" "l" "o" "q" "s" 1; "e" "e" "i" "m" "p" "r" "s" "x" "z" 1;
