none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "x" 1;
"c" "x" 1;
"c" "x" 1;
"c" "x" 1;
"c" "x" 1;
"a" "p" 1; "c" "x" 1;
"a" "p" 1; "c" "x" 1;
"a" "p" 1; "c" "x" 1;
"a" "p" 1; "c" "x" 1;
"a" "p" 1; "c" "x" 1;
"a" "p" 1; "c" "x" 1;
"a" "p" 1; "b" "k" 1; "c" "o" "x" 1; "d" "s" 1;
"a" "p" 1; "b" "k" 1; "c" "o" "x" 1; "d" "e" "s" 1;
"a" "p" 1; "b" "k" 1; "c" "o" "x" 1; "d" "e" "s" 1;
"a" "p" 1; "b" "k" 1; "c" "o" "x" 1; "d" "e" "s" 1;
"a" "p" 1; "b" "k" 1; "c" "o" "x" 1; "d" "e" "s" "v" 1;
"a" "p" 1; "b" "k" 1; "c" "o" "x" 1; "d" "e" "s" "v" 1;
"a" "p" 1; "b" "k" 1; "c" "o" "x" 1; "d" "e" "s" "v" 1;
"a" "p" 1; "b" "k" 1; "c" "o" "x" 1; "d" "e" "s" "v" 1;
"a" "p" 1; "b" "k" 1; "c" "o" "x" 1; "d" "e" "s" "v" 1;
"a" "p" 1; "b" "k" 1; "c" "o" "x" 1; "d" "e" "s" "v" 1;
"a" "p" 1; "b" "k" 1; "c" "m" "o" "x" 1; "d" "e" "s" "v" 1;
"a" "p" 1; "b" "k" 1; "c" "m" "o" "x" 1; "d" "e" "s" "v" 1;
"a" "p" 1; "b" "k" 1; "c" "m" "o" "x" 1; "d" "e" "s" "v" 1;
"a" "p" 1; "b" "k" 1; "c" "m" "o" "x" 1; "d" "e" "s" "v" 1;
"a" "p" 1; "b" "k" 1; "c" "m" "o" "x" 1; "d" "e" "s" "v" 1;
"a" "p" 1; "b" "k" 1; "c" "m" "o" "x" 1; "d" "e" "s" "v" 1; "e" "m" 1;
"a" "p" 1; "b" "k" 1; "c" "m" "o" "x" 1; "d" "e" "s" "v" 1; "e" "m" "q" 1;
"a" "p" 1; "b" "k" 1; "c" "m" "o" "x" 1; "d" "e" "s" "v" 1; "e" "m" "q" 1;
"a" "l" "p" "s" 1; "b" "k" "r" 1; "c" "e" "m" "o" "q" "x" 1; "d" "e" "s" "v" 1; "e" "m" "q" 1;
"a" "l" "p" "s" "w" 1; "b" "k" "r" 1; "c" "e" "m" "o" "q" "x" 1; "d" "e" "s" "v" 1; "e" "m" "q" 1;
"a" "l" "p" "s" "w" 1; "b" "k" "r" 1; "c" "e" "m" "o" "q" "x" 1; "d" "e" "p" "s" "v" 1; "e" "m" "q" 1;
"a" "l" "p" "s" "w" 1; "b" "k" "r" 1; "c" "e" "m" "o" "q" "x" 1; "d" "e" "p" "s" "v" 1; "e" "m" "q" 1;
"a" "l" "p" "s" "w" 1; "b" "k" "r" 1; "c" "e" "m" "o" "q" "x" 1; "d" "e" "p" "s" "v" 1; "e" "m" "q" 1;
"a" "l" "n" "p" "s" "w" 1; "b" "k" "r" 1; "c" "e" "m" "o" "q" "x" 1; "d" "e" "p" "s" "v" 1; "e" "m" "q" 1;
"a" "l" "n" "p" "s" "w" 1; "b" "k" "r" 1; "c" "e" "m" "o" "q" "x" 1; "d" "e" "p" "s" "v" 1; "e" "m" "q" 1;
"a" "k" "l" "n" "p" "s" "w" 1; "b" "k" "r" 1; "c" "e" "m" "o" "q" "t" "x" 1; "d" "e" "j" "p" "s" "v" 1; "e" "c" "m" "q" "r" 1;
"a" "k" "l" "n" "p" "s" "w" 1; "b" "k" "r" 1; "c" "e" "m" "o" "q" "t" "x" 1; "d" "e" "j" "p" "s" "v" 1; "e" "c" "m" "q" "r" 1;
"a" "k" "l" "n" "p" "s" "w" 1; "b" "k" "r" 1; "c" "e" "m" "o" "q" "t" "x" 1; "d" "e" "j" "p" "s" "v" 1; "e" "c" "m" "q" "r" 1;
"a" "k" "l" "n" "p" "s" "w" 1; "b" "k" "r" 1; "c" "e" "m" "o" "q" "t" "x" 1; "d" "e" "j" "p" "s" "v" 1; "e" "c" "m" "q" "r" 1;
