none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1; "e" "t" 1;
"c" "p" 1; "e" "t" 1;
"c" "p" 1; "e" "t" 1;
"c" "p" 1; "e" "t" 1;
"c" "p" 1; "e" "t" 1;
"c" "p" "u" 1; "e" "t" "z" 1;
"c" "p" "u" 1; "e" "t" "z" 1;
"c" "p" "u" 1; "e" "t" "z" 1;
"c" "p" "u" 1; "e" "n" "t" "z" 1;
"c" "p" "u" 1; "e" "n" "t" "z" 1;
"c" "p" "u" 1; "e" "n" "t" "z" 1;
"c" "p" "s" "u" 1; "e" "n" "t" "z" 1;
"c" "p" "s" "u" 1; "e" "n" "t" "z" 1;
"c" "p" "s" "u" 1; "e" "n" "t" "z" 1;
"c" "a" "p" "s" "u" "v" 1; "e" "n" "t" "z" 1;
"c" "a" "p" "s" "u" "v" 1; "e" "n" "t" "z" 1;
"c" "a" "p" "s" "u" "v" 1; "e" "n" "t" "z" 1;
"c" "a" "p" "s" "u" "v" 1; "e" "a" "n" "t" "u" "z" 1;
"b" "k" 1; "c" "a" "p" "s" "u" "v" 1; "d" "p" "t" "u" 1; "e" "a" "n" "t" "u" "z" 1;
"b" "k" 1; "c" "a" "p" "s" "u" "v" 1; "d" "p" "t" "u" 1; "e" "a" "n" "t" "u" "z" 1;
"b" "k" 1; "c" "a" "p" "s" "u" "v" 1; "d" "p" "t" "u" 1; "e" "a" "n" "t" "u" "z" 1;
"b" "k" 1; "c" "a" "p" "s" "u" "v" 1; "d" "p" "t" "u" 1; "e" "a" "n" "t" "u" "z" 1;
"b" "c" "k" 1; "c" "a" "n" "p" "s" "u" "v" 1; "d" "p" "t" "u" 1; "e" "a" "n" "t" "u" "z" 1;
"b" "c" "k" 1; "c" "a" "n" "p" "s" "u" "v" 1; "d" "p" "t" "u" 1; "e" "a" "n" "t" "u" "z" 1;
"a" "w" 1; "b" "c" "k" "w" 1; "c" "a" "m" "n" "p" "s" "u" "v" 1; "d" "p" "t" "u" 1; "e" "a" "n" "t" "u" "z" 1;
"a" "w" 1; "b" "c" "k" "w" 1; "c" "a" "m" "n" "p" "s" "u" "v" 1; "d" "f" "p" "t" "u" 1; "e" "a" "n" "t" "u" "z" 1;
"a" "l" "w" 1; "b" "c" "k" "w" 1; "c" "a" "m" "n" "p" "s" "u" "v" 1; "d" "f" "p" "t" "u" 1; "e" "a" "n" "t" "u" "z" 1;
"a" "l" "w" 1; "b" "c" "k" "w" 1; "c" "a" "m" "n" "p" "s" "u" "v" 1; "d" "f" "p" "t" "u" 1; "e" "a" "h" "n" "t" "u" "z" 1;
"a" "l" "w" 1; "b" "c" "k" "w" 1; "c" "a" "m" "n" "p" "s" "u" "v" 1; "d" "f" "p" "t" "u" 1; "e" "a" "h" "n" "t" "u" "z" 1;
"a" "l" "w" 1; "b" "c" "k" "w" 1; "c" "a" "m" "n" "p" "s" "u" "v" 1; "d" "f" "p" "t" "u" 1; "e" "a" "h" "n" "t" "u" "z" 1;
"a" "l" "w" 1; "b" "c" "k" "w" 1; "c" "a" "m" "n" "p" "s" "u" "v" 1; "d" "e" "f" "p" "t" "u" 1; "e" "a" "h" "n" "t" "u" "z" 1;
"a" "l" "w" 1; "b" "c" "k" "w" 1; "c" "s" 2; "d" "e" "f" "p" "t" "u" 1; "e" "a" "h" "n" "t" "u" "z" 1;
"a" "l" "w" 1; "b" "c" "k" "w" 1; "c" "s" 2; "d" "e" "f" "p" "t" "u" 1; "e" "a" "h" "n" "t" "u" "z" 1;
"a" "l" "w" 1; "b" "c" "k" "w" 1; "c" "a" "s" 2; "d" "e" "f" "p" "t" "u" 1; "e" "a" "h" "n" "t" "u" "z" 1;
