none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "m" 1;
"b" "m" 1;
"b" "m" 1;
"b" "m" 1;
"b" "m" 1;
"b" "m" 1;
"b" "m" 1;
"b" "m" 1;
"b" "m" 1;
"b" "m" 1;
"b" "m" 1;
"b" "m" 1;
"b" "m" 1;
"b" "m" 1;
"b" "m" 1;
"b" "m" 1;
"b" "m" 1; "e" "g" 1;
"b" "m" 1; "e" "g" 1;
"b" "m" 1; "e" "g" "w" 1;
"b" "m" 1; "e" "g" "w" 1;
"b" "m" 1; "d" "o" 1; "e" "f" "g" "h" "w" 1;
"b" "m" 1; "d" "m" "o" "v" 1; "e" "f" "g" "h" "w" 1;
"b" "m" 1; "d" "m" "o" "v" 1; "e" "f" "g" "h" "w" 1;
"a" "s" 1; "b" "m" 1; "d" "m" "o" "v" 1; "e" "f" "g" "h" "w" 1;
"a" "s" 1; "b" "m" 1; "d" "m" "o" "v" "x" 1; "e" "f" "g" "h" "w" 1;
"a" "s" 1; "b" "m" 1; "d" "m" "o" "v" "x" 1; "e" "f" "g" "h" "w" 1;
"a" "s" 1; "b" "m" 1; "d" "m" "o" "v" "x" 1; "e" "f" "g" "h" "w" 1;
"a" "s" 1; "b" "m" 1; "c" "z" 1; "d" "m" "o" "v" "x" 1; "e" "f" "g" "h" "w" "z" 1;
"a" "s" 1; "b" "m" 1; "c" "z" 1; "d" "m" "o" "v" "x" 1; "e" "f" "g" "h" "w" "z" 1;
"a" "s" 1; "b" "m" 1; "c" "z" 1; "d" "m" "o" "v" "x" 1; "e" "f" "g" "h" "w" "z" 1;
"a" "s" 1; "b" "k" "m" 1; "c" "w" "z" 1; "d" "m" "o" "v" "x" 1; "e" "f" "g" "h" "w" "z" 1;
"a" "s" 1; "b" "k" "m" 1; "c" "w" "z" 1; "d" "m" "o" "v" "x" 1; "e" "f" "g" "h" "w" "z" 1;
"a" "s" 1; "b" "k" "m" 1; "c" "w" "z" 1; "d" "m" "o" "v" "x" 1; "e" "f" "g" "h" "w" "z" 1;
"a" "m" "s" 1; "b" "k" "m" 1; "c" "w" "z" 1; "d" "m" "o" "v" "x" 1; "e" "f" "g" "h" "w" "z" 1;
"a" "m" "s" 1; "b" "k" "m" 1; "c" "w" "z" 1; "d" "m" "o" "v" "x" 1; "e" "f" "g" "h" "w" "z" 1;
"a" "m" "s" 1; "b" "k" "m" 1; "c" "q" "w" "z" 1; "d" "m" "o" "v" "x" 1; "e" "f" "g" "h" "w" "z" 1;
"a" "m" "s" 1; "b" "k" "m" 1; "c" "q" "w" "z" 1; "d" "m" "o" "v" "x" 1; "e" "f" "g" "h" "w" "z" 1;
"a" "m" "s" 1; "b" "k" "m" 1; "c" "q" "w" "z" 1; "d" "m" "o" "v" "x" 1; "e" "f" "g" "h" "w" "z" 1;
"a" "m" "s" 1; "b" "k" "m" 1; "c" "q" "w" "z" 1; "d" "m" "o" "v" "x" 1; "e" "f" "g" "h" "w" "z" 1;
"a" "m" "s" 1; "b" "k" "m" 1; "c" "q" "w" "z" 1; "d" "m" "o" "v" "x" 1; "e" "f" "g" "h" "w" "z" 1;
"a" "m" "s" 1; "b" "k" "m" 1; "c" "q" "w" "z" 1; "d" "m" "o" "v" "x" 1; "e" "f" "g" "h" "w" "z" 1;
"a" "m" "s" "z" 1; "b" "k" "m" 1; "c" "j" "q" "u" "w" "z" 1; "d" "m" "o" "v" "x" 1; "e" "f" "g" "h" "w" "z" 1;
"a" "m" "s" "z" 1; "b" "k" "m" 1; "c" "j" "q" "u" "w" "z" 1; "d" "m" "o" "v" "x" 1; "e" "f" "g" "h" "w" "z" 1;
"a" "m" "s" "z" 1; "b" "k" "m" 1; "c" "j" "q" "u" "w" "z" 1; "d" "m" "o" "v" "x" 1; "e" "f" "g" "h" "w" "z" 1;
"a" "m" "s" "z" 1; "b" "k" "m" 1; "c" "a" "j" "q" "u" "w" "z" 1; "d" "m" "o" "v" "x" 1; "e" "f" "g" "h" "w" "z" 1;
"a" "m" "s" "z" 1; "b" "k" "m" 1; "c" "a" "g" "j" "q" "u" "w" "z" 1; "d" "f" "m" "o" "v" "x" 1; "e" "f" "g" "h" "w" "z" 1;
"a" "m" "s" "z" 1; "b" "k" "m" 1; "c" "a" "g" "j" "q" "u" "w" "z" 1; "d" "f" "m" "o" "v" "x" 1; "e" "f" "g" "h" "w" "z" 1;
"a" "m" "s" "z" 1; "b" "k" "m" 1; "c" "a" "c" "g" "j" "q" "u" "w" "z" 1; "d" "x" 2; "e" "f" "g" "h" "w" "z" 1;
"a" "m" "s" "z" 1; "b" "k" "m" 1; "c" "a" "c" "g" "j" "q" "u" "w" "z" 1; "d" "x" 2; "e" "f" "g" "h" "w" "z" 1;
"a" "m" 2; "b" "k" "m" 1; "c" "a" "c" "g" "j" "q" "u" "w" "z" 1; "d" "x" 2; "e" "f" "g" "h" "n" "w" "z" 1;
"a" "m" 2; "b" "k" "m" 1; "c" "c" 2; "d" "x" 2; "e" "f" "g" "h" "n" "w" "z" 1;
"a" "m" 2; "b" "k" "m" 1; "c" "c" 2; "d" "x" 2; "e" "f" "g" "h" "n" "w" "z" 1;
"a" "m" 2; "b" "k" "m" 1; "c" "c" 2; "d" "x" 2; "e" "f" "g" "h" "n" "w" "z" 1;
"a" "m" 2; "b" "k" "m" 1; "c" "c" 2; "d" "x" 2; "e" "f" "g" "h" "n" "w" "z" 1;
"a" "m" "z" 2; "b" "k" "m" 1; "c" "c" 2; "d" "x" 2; "e" "f" "g" "h" "n" "w" "z" 1;
"a" "m" "z" 2; "b" "k" "m" 1; "c" "c" 2; "d" "x" 2; "e" "f" "g" "h" "n" "w" "z" 1;
"a" "m" "z" 2; "b" "k" "m" 1; "c" "c" 2; "d" "f" "x" 2; "e" "n" 2;
"a" "m" "z" 2; "b" "j" "k" "m" 1; "c" "c" 2; "d" "f" "x" 2; "e" "n" 2;
"a" "m" "z" 2; "b" "j" "k" "m" 1; "c" "c" 2; "d" "f" "x" 2; "e" "n" 2;
"a" "m" "z" 2; "b" "j" "k" "m" 1; "c" "c" 2; "d" "f" "x" 2; "e" "n" 2;
"a" "m" "z" 2; "b" "j" "k" "m" 1; "c" "c" 2; "d" "f" "x" 2; "e" "n" 2;
"a" "m" "z" 2; "b" "j" "k" "m" 1; "c" "c" 2; "d" "f" "x" 2; "e" "n" 2;
"a" "m" "z" 2; "b" "j" "k" "m" 1; "c" "c" 2; "d" "f" "x" 2; "e" "n" 2;
"a" "m" "z" 2; "b" "j" "k" "m" "t" 1; "c" "c" 2; "d" "f" "x" 2; "e" "n" 2;
"a" "m" "z" 2; "b" "j" "k" "m" "t" 1; "c" "c" 2; "d" "f" "x" 2; "e" "n" 2;
"a" "m" "z" 2; "b" "j" "k" "m" "t" 1; "c" "c" 2; "d" "f" "x" 2; "e" "n" 2;
"a" "m" "z" 2; "b" "j" "k" "m" "t" "x" 1; "c" "c" 2; "d" "f" "x" 2; "e" "n" 2;
"a" "m" "z" 2; "b" "j" "k" "m" "t" "x" 1; "c" "c" 2; "d" "f" "x" 2; "e" "n" 2;
"a" "m" "z" 2; "b" "j" "k" "m" "t" "x" 1; "c" "c" 2; "d" "f" "x" 2; "e" "n" 2;
"a" "m" "z" 2; "b" "j" "k" "m" "t" "x" 1; "c" "c" 2; "d" "f" "x" "y" 2; "e" "n" 2;
"a" "m" "z" 2; "b" "j" "k" "m" "t" "x" 1; "c" "c" "g" 2; "d" "f" "x" "y" 2; "e" "n" 2;
"a" "m" "z" 2; "b" "j" "k" "m" "t" "x" 1; "c" "c" "g" 2; "d" "f" "x" "y" 2; "e" "n" 2;
"a" "m" "z" 2; "b" "j" "k" "m" "t" "x" 1; "c" "c" "g" 2; "d" "f" "x" "y" 2; "e" "n" 2;
"a" "m" "z" 2; "b" "j" "k" "m" "t" "x" 1; "c" "c" "g" 2; "d" "f" "x" "y" 2; "e" "n" 2;
"a" "m" "z" 2; "b" "j" "k" "m" "t" "x" 1; "c" "c" "g" 2; "d" "f" "x" "y" 2; "e" "n" 2;
"a" "m" 3; "b" "k" 2; "c" "c" "g" 2; "d" "f" "x" "y" 2; "e" "n" 2;
"a" "m" 3; "b" "k" 2; "c" "c" "g" 2; "d" "f" "x" "y" 2; "e" "n" "x" 2;
"a" "m" 3; "b" "k" 2; "c" "c" "g" 2; "d" "f" "x" "y" 2; "e" "n" "x" 2;
"a" "m" 3; "b" "k" 2; "c" "c" "g" 2; "d" "f" "x" "y" 2; "e" "n" "x" 2;
"a" "m" 3; "b" "k" 2; "c" "c" "g" 2; "d" "f" "x" "y" 2; "e" "n" "x" 2;
"a" "m" 3; "b" "k" 2; "c" "c" "g" 2; "d" "f" "x" "y" 2; "e" "n" "x" 2;
"a" "m" 3; "b" "k" 2; "c" "c" "g" 2; "d" "f" "x" "y" 2; "e" "n" "x" 2;
"a" "m" 3; "b" "k" 2; "c" "c" "g" 2; "d" "f" "x" "y" 2; "e" "n" "x" 2;
"a" "m" 3; "b" "k" 2; "c" "c" "g" 2; "d" "f" "x" "y" 2; "e" "n" "x" 2;
"a" "m" 3; "b" "k" 2; "c" "c" "g" 2; "d" "f" "x" "y" 2; "e" "n" "x" 2;
"a" "m" 3; "b" "k" 2; "c" "c" "g" 2; "d" "f" "x" "y" 2; "e" "n" "x" 2;
"a" "m" 3; "b" "k" 2; "c" "c" "g" 2; "d" "f" "x" "y" 2; "e" "n" "x" 2;
"a" "m" 4; "b" "k" 2; "c" "c" "g" 2; "d" "y" 3; "e" "n" "x" 2;
"a" "m" 4; "b" "k" 2; "c" "c" "g" 2; "d" "y" 3; "e" "n" "x" 2;
"a" "m" 4; "b" "k" 2; "c" "g" 3; "d" "y" 3; "e" "n" "x" 2;
"a" "m" 4; "b" "k" 2; "c" "g" 3; "d" "y" 3; "e" "n" "x" 2;
"a" "m" 4; "b" "k" 2; "c" "g" 3; "d" "y" 3; "e" "n" "x" 2;
"a" "m" 4; "b" "k" 2; "c" "g" 3; "d" "y" 3; "e" "n" "x" 2;
"a" "m" 4; "b" "k" 2; "c" "g" 3; "d" "y" 3; "e" "n" "x" 2;
"a" "m" 4; "b" "k" 2; "c" "g" 3; "d" "y" 3; "e" "n" "x" 2;
"a" "m" 5; "b" "k" 2; "c" "g" 3; "d" "y" 3; "e" "n" "x" 2;
"a" "m" 5; "b" "k" 2; "c" "g" 3; "d" "y" 3; "e" "n" "x" 2;
"a" "m" 5; "b" "k" 2; "c" "g" 3; "d" "y" 3; "e" "n" 3;
"a" "m" 5; "b" "k" 2; "c" "g" 3; "d" "y" 3; "e" "n" 3;
"a" "m" 5; "b" "k" 2; "c" "g" 3; "d" "y" 3; "e" "n" 3;
"a" "m" 5; "b" "k" 2; "c" "g" 3; "d" "y" 3; "e" "n" 3;
"a" "m" 5; "b" "k" 2; "c" "g" 3; "d" "y" 3; "e" "n" 3;
"a" "m" 5; "b" "k" 2; "c" "g" 3; "d" "y" 3; "e" "n" 3;
"a" "m" 5; "b" "k" 2; "c" "g" 3; "d" "y" 3; "e" "n" 3;
"a" "m" 5; "b" "k" 2; "c" "g" 3; "d" "y" 3; "e" "n" 3;
"a" "m" 5; "b" "k" 2; "c" "g" 3; "d" "y" 3; "e" "n" 3;
"a" "m" 5; "b" "k" 2; "c" "c" "g" 3; "d" "y" 3; "e" "n" 3;
"a" "m" 5; "b" "k" 2; "c" "c" "g" "u" 3; "d" "y" 3; "e" "n" 3;
"a" "m" 5; "b" "k" 2; "c" "c" "g" "u" 3; "d" "y" 3; "e" "n" 3;
"a" "m" 5; "b" "k" 2; "c" "c" "g" "u" 3; "d" "y" 3; "e" "n" 3;
"a" "m" 5; "b" "k" 2; "c" "c" "g" "u" 3; "d" "y" 4; "e" "n" 3;
"a" "m" 5; "b" "k" 2; "c" "c" "g" "u" 3; "d" "y" 4; "e" "n" 3;
"a" "m" 5; "b" "k" "m" 2; "c" "c" "g" "u" 3; "d" "y" 4; "e" "n" 3;
"a" "m" 5; "b" "k" "m" 2; "c" "c" "g" "u" 3; "d" "y" 4; "e" "n" 3;
"a" "m" 5; "b" "k" "m" 2; "c" "c" "g" "u" 3; "d" "y" 4; "e" "n" 3;
"a" "m" 5; "b" "k" "m" 2; "c" "c" "g" "u" 3; "d" "y" 4; "e" "n" 3;
"a" "m" 5; "b" "k" "m" 2; "c" "c" "g" "u" 3; "d" "y" 4; "e" "n" 3;
"a" "m" 5; "b" "k" "m" 2; "c" "c" "g" "u" 3; "d" "y" 4; "e" "n" 3;
"a" "m" 5; "b" "k" "m" 2; "c" "c" "g" "u" 3; "d" "y" 4; "e" "n" 3;
"a" "m" 5; "b" "k" "m" 2; "c" "c" "g" "u" 3; "d" "y" 4; "e" "n" 3;
"a" "m" 5; "b" "k" "m" 2; "c" "c" "g" "u" 3; "d" "y" 5; "e" "n" 3;
"a" "m" 5; "b" "k" "m" 2; "c" "c" "g" "u" 3; "d" "y" 5; "e" "n" 3;
"a" "m" 5; "b" "k" "m" 2; "c" "c" "g" "u" 3; "d" "y" 5; "e" "n" 3;
"a" "m" 5; "b" "k" "m" 2; "c" "c" "g" "u" 3; "d" "y" 5; "e" "n" 3;
"a" "m" 5; "b" "k" "m" 2; "c" "c" "g" "u" 3; "d" "y" 5; "e" "n" 3;
"a" "m" 5; "b" "k" "m" 2; "c" "c" "g" "u" 3; "d" "y" 5; "e" "k" "n" 3;
"a" "m" 5; "b" "k" "m" 2; "c" "c" "g" "u" 3; "d" "y" 5; "e" "k" "n" 3;
"a" "m" 5; "b" "k" "m" 2; "c" "c" "g" "u" 3; "d" "y" 5; "e" "k" "n" 3;
"a" "m" 5; "b" "k" "m" 2; "c" "c" "g" "u" 3; "d" "y" 5; "e" "k" "n" 3;
"a" "m" 5; "b" "k" "m" 2; "c" "c" "g" "u" 3; "d" "y" 5; "e" "k" "n" 3;
"a" "m" 5; "b" "k" "m" 2; "c" "c" "g" "u" 3; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "k" "m" 2; "c" "c" "g" "u" 3; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "k" "m" 2; "c" "c" "g" "u" 3; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "k" "m" 2; "c" "c" "g" "u" 3; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "k" "m" 2; "c" "c" "g" "u" 3; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "k" "m" 2; "c" "c" "g" "u" 3; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "k" "m" 2; "c" "c" "g" "u" 3; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "k" "m" 2; "c" "c" "g" "u" 3; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "k" "m" 2; "c" "c" "g" "u" 3; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "k" "m" 2; "c" "c" "g" "u" 3; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "k" "m" 2; "c" "c" "g" "u" 3; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "k" "m" 2; "c" "c" "g" "u" 3; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "k" "m" 2; "c" "c" "g" "k" "u" 3; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "k" "m" 2; "c" "c" "g" "k" "u" 3; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "k" "m" 2; "c" "c" "g" "k" "u" 3; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "k" "m" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "k" "m" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "k" "m" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "k" "m" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "k" "m" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "k" "m" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "k" "m" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "k" "m" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "k" "m" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "k" "m" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "k" "m" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "k" "m" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "k" "m" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "k" "m" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "k" "m" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "k" "m" "u" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "k" "m" "u" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "j" "k" "m" "u" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "j" "k" "m" "u" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "j" "k" "m" "u" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "j" "k" "m" "u" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "j" "k" "m" "u" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "j" "k" "m" "u" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "j" "k" "m" "u" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "h" "j" "k" "m" "u" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "h" "j" "k" "m" "u" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "h" "j" "k" "m" "u" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "h" "j" "k" "m" "u" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "h" "j" "k" "m" "u" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "h" "j" "k" "m" "o" "r" "u" "x" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "h" "j" "k" "m" "o" "r" "u" "x" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "h" "j" "k" "m" "o" "r" "u" "x" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "h" "j" "k" "m" "o" "r" "u" "x" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "h" "j" "k" "m" "o" "r" "u" "x" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "h" "j" "k" "m" "o" "r" "u" "x" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "h" "j" "k" "m" "o" "r" "u" "x" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "h" "j" "k" "m" "o" "r" "u" "x" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "h" "j" "k" "m" "o" "r" "u" "x" 2; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" 5; "b" "r" 3; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" "x" 5; "b" "r" 3; "c" "k" 4; "d" "y" 5; "e" "n" 4;
"a" "m" "x" 5; "b" "r" 3; "c" "k" 4; "d" "y" 5; "e" "n" 5;
"a" "m" "x" 5; "b" "r" 3; "c" "k" 4; "d" "y" 5; "e" "n" 5;
"a" "m" "x" 5; "b" "r" 3; "c" "k" 4; "d" "y" 5; "e" "n" 5;
"a" "m" "x" 5; "b" "r" 3; "c" "k" 4; "d" "y" 5; "e" "n" 5;
"a" "m" "x" 5; "b" "r" 3; "c" "c" "k" 4; "d" "y" 5; "e" "n" 5;
"a" "m" "x" 5; "b" "r" 3; "c" "c" "k" 4; "d" "y" 5; "e" "n" 5;
"a" "m" "x" 5; "b" "r" 3; "c" "c" "k" 4; "d" "y" 5; "e" "n" 5;
"a" "m" "x" 5; "b" "r" 3; "c" "c" "k" 4; "d" "y" 5; "e" "n" 5;
"a" "m" "x" 5; "b" "r" 3; "c" "c" "k" 4; "d" "y" 5; "e" "n" 5;
"a" "m" "x" 5; "b" "r" 3; "c" "c" "k" 4; "d" "y" 5; "e" "n" 5;
"a" "m" "x" 5; "b" "r" 3; "c" "c" "k" 4; "d" "y" 5; "e" "n" 5;
"a" "m" "x" 5; "b" "g" "r" 3; "c" "c" "k" 4; "d" "y" 5; "e" "n" 5;
"a" "m" "x" 5; "b" "g" "r" 3; "c" "c" "k" 4; "d" "y" 5; "e" "n" 5;
"a" "m" "x" 5; "b" "g" "h" "r" 3; "c" "c" "k" 4; "d" "y" 5; "e" "n" 5;
"a" "m" "x" 5; "b" "g" "h" "r" 3; "c" "c" "k" 4; "d" "y" 5; "e" "n" 5;
"a" "m" "x" 5; "b" "g" "h" "n" "r" 3; "c" "c" "k" 4; "d" "y" 4; "e" "n" 5;
"a" "m" "x" 5; "b" "g" "h" "n" "r" 3; "c" "c" "k" 4; "d" "y" 4; "e" "n" 5;
"a" "m" "x" 5; "b" "g" "h" "n" "r" 3; "c" "c" "k" 4; "d" "y" 4; "e" "n" 5;
"a" "m" "x" 5; "b" "g" "h" "n" "r" 3; "c" "c" "k" 4; "d" "y" 4; "e" "n" 5;
"a" "m" "x" 5; "b" "g" "h" "n" "r" 3; "c" "c" "k" 4; "d" "y" 4; "e" "n" 5;
"a" "m" "x" 5; "b" "g" "h" "n" "r" 3; "c" "c" "k" 4; "d" "y" 4; "e" "n" 5;
"a" "m" "x" 5; "b" "g" "h" "n" "r" 3; "c" "c" "k" 4; "d" "y" 4; "e" "n" 5;
"a" "m" "x" 5; "b" "g" "h" "n" "r" 3; "c" "c" "k" 4; "d" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "g" "h" "n" "r" 3; "c" "c" "k" 4; "d" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "g" "h" "n" "r" 3; "c" "c" "k" 4; "d" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "g" "h" "n" "r" 3; "c" "c" "k" 4; "d" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "g" "h" "n" "r" 3; "c" "c" "k" 4; "d" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "g" "h" "n" "r" 3; "c" "c" "k" 4; "d" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "g" "h" "n" "r" 3; "c" "c" "k" 4; "d" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "n" 4; "c" "c" "k" 4; "d" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "n" 4; "c" "c" "k" 4; "d" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "n" 4; "c" "c" "k" 4; "d" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "n" 4; "c" "c" "k" 4; "d" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "g" "n" 4; "c" "k" 5; "d" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "g" "n" 4; "c" "k" 5; "d" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "g" "n" 4; "c" "k" 5; "d" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "g" "n" 4; "c" "k" 5; "d" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "g" "n" 4; "c" "k" 5; "d" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "g" "n" 4; "c" "k" 5; "d" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "g" "n" 4; "c" "k" 5; "d" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "g" "n" 4; "c" "k" 5; "d" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "g" "n" 4; "c" "k" 5; "d" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "g" "n" 4; "c" "k" 5; "d" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "g" "n" 4; "c" "k" 5; "d" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "g" "n" 4; "c" "k" 5; "d" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "g" "n" 4; "c" "k" 5; "d" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "g" "n" 4; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "g" "n" 4; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "g" "n" 4; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "g" "n" 4; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "g" "n" 4; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "g" "n" 4; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "g" "n" 4; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "g" "n" 4; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "g" "j" "n" 4; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "g" "j" "n" 4; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
"a" "m" "x" 5; "b" "g" "j" "n" 4; "c" "k" 5; "d" "w" "y" 4; "e" "n" 6;
