none
none
none
none
none
none
none
none
none
none
none
"b" "f" 1;
"b" "f" 1;
"b" "f" 1;
"b" "f" 1;
"b" "f" 1; "e" "j" 1;
"b" "f" 1; "e" "j" 1;
"b" "f" 1; "e" "j" 1;
"b" "f" 1; "e" "j" 1;
"b" "f" 1; "d" "i" 1; "e" "j" 1;
"b" "f" 1; "d" "i" 1; "e" "j" 1;
"b" "f" 1; "d" "i" 1; "e" "j" 1;
"a" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "p" 1;
"a" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "p" 1;
"a" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "p" 1;
"a" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "p" 1;
"a" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "p" 1;
"a" "j" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "p" 1;
"a" "j" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "p" 1;
"a" "j" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "o" "p" 1;
"a" "j" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "o" "p" 1;
"a" "j" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "o" "p" 1;
"a" "j" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "o" "p" 1;
"a" "j" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "o" "p" 1;
"a" "j" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "o" "p" 1;
"a" "j" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "o" "p" "v" 1;
"a" "j" "t" 1; "b" "f" 1; "d" "i" 1; "e" "j" "o" "p" "v" 1;
"a" "j" "t" 1; "b" "f" 1; "c" "c" "t" 1; "d" "i" "m" 1; "e" "j" "o" "p" "v" "w" 1;
"a" "j" "t" 1; "b" "f" 1; "c" "c" "t" 1; "d" "i" "m" 1; "e" "j" "o" "p" "v" "w" 1;
"a" "j" "t" "w" 1; "b" "f" 1; "c" "c" "t" 1; "d" "i" 2; "e" "j" "o" "p" "v" "w" 1;
"a" "j" "t" "w" 1; "b" "f" 1; "c" "c" "t" 1; "d" "i" 2; "e" "j" "o" "p" "v" "w" 1;
"a" "j" "t" "w" 1; "b" "f" 1; "c" "c" "t" 1; "d" "i" 2; "e" "j" "o" "p" "v" "w" 1;
"a" "j" "t" "w" 1; "b" "f" 1; "c" "c" "t" 1; "d" "i" 2; "e" "j" "o" "p" "v" "w" 1;
"a" "j" "t" "w" 1; "b" "f" 1; "c" "c" "t" 1; "d" "i" 2; "e" "j" "o" "p" "v" "w" 1;
"a" "j" "t" "w" 1; "b" "f" 1; "c" "c" "t" 1; "d" "i" 2; "e" "o" 2;
"a" "j" "t" "w" 1; "b" "f" 1; "c" "c" "t" 1; "d" "i" 2; "e" "o" 2;
"a" "f" "j" "t" "w" 1; "b" "f" 1; "c" "c" "d" "t" 1; "d" "i" 2; "e" "o" 2;
"a" "f" "j" "t" "w" 1; "b" "f" 1; "c" "c" "d" "t" 1; "d" "i" 2; "e" "o" 2;
"a" "f" "j" "t" "w" 1; "b" "a" "f" "z" 1; "c" "c" "d" "t" 1; "d" "i" 2; "e" "o" 2;
"a" "f" "j" "t" "w" 1; "b" "a" "e" "f" "z" 1; "c" "c" "d" "t" "v" 1; "d" "i" 2; "e" "o" 2;
