none
none
none
none
none
none
none
"c" "r" 1;
"c" "r" 1;
"c" "r" 1;
"c" "r" 1;
"c" "r" 1;
"c" "r" 1;
"c" "r" 2;
"c" "r" 2;
"c" "r" 2;
"c" "r" 2;
"c" "r" 2;
"c" "r" 2;
"c" "r" 2;
"c" "r" 2;
"c" "r" 2;
"c" "r" 2;
"c" "r" 2;
"c" "r" 2;
"c" "r" 2; "d" "k" 1;
"c" "r" 2; "d" "k" 1;
"c" "r" 2; "d" "k" 1;
"b" "r" 1; "c" "r" 2; "d" "k" 1;
"b" "r" 1; "c" "r" 2; "d" "k" 1;
"b" "r" 1; "c" "r" 2; "d" "k" 1;
"b" "r" 1; "c" "r" 2; "d" "k" 1;
"b" "r" 1; "c" "r" 2; "d" "k" 1;
"a" "k" 1; "b" "r" 1; "c" "r" 2; "d" "k" 1;
"a" "k" 1; "b" "r" 1; "c" "r" 2; "d" "k" 1; "e" "k" 1;
"a" "k" 1; "b" "r" 1; "c" "r" 2; "d" "k" 1; "e" "k" 1;
"a" "k" 1; "b" "r" 1; "c" "r" 2; "d" "k" 1; "e" "k" 1;
"a" "k" 1; "b" "r" 1; "c" "r" 2; "d" "k" 1; "e" "k" 1;
"a" "k" 1; "b" "r" 1; "c" "r" 2; "d" "k" 1; "e" "k" 1;
"a" "k" "y" 1; "b" "r" 1; "c" "r" 2; "d" "k" 1; "e" "k" 1;
"a" "k" "y" 1; "b" "r" 1; "c" "r" 2; "d" "k" 1; "e" "k" 1;
"a" "k" "y" 1; "b" "r" 1; "c" "r" 2; "d" "k" 1; "e" "k" 1;
"a" "k" "y" 1; "b" "r" 1; "c" "r" 2; "d" "k" "q" 1; "e" "k" 1;
"a" "k" "y" 1; "b" "r" 1; "c" "r" 2; "d" "k" "q" 1; "e" "k" 1;
"a" "k" "p" "y" 1; "b" "r" 1; "c" "r" 2; "d" "k" "q" 1; "e" "k" 1;
"a" "k" "p" "y" 1; "b" "r" 1; "c" "r" 2; "d" "k" "q" 1; "e" "k" 1;
"a" "k" "p" "y" 1; "b" "r" 1; "c" "r" 2; "d" "k" "q" 1; "e" "k" 1;
"a" "k" "p" "y" 1; "b" "r" 1; "c" "r" 2; "d" "k" "q" 1; "e" "k" 1;
"a" "k" "p" "y" 1; "b" "r" 1; "c" "r" 2; "d" "k" "q" 1; "e" "k" 1;
"a" "k" "p" "y" 1; "b" "r" 1; "c" "r" 2; "d" "k" "q" 1; "e" "k" 1;
"a" "k" "p" "y" 1; "b" "r" 1; "c" "r" 2; "d" "k" "q" 1; "e" "k" 1;
"a" "k" "p" "y" 1; "b" "r" 1; "c" "r" 2; "d" "k" "q" 1; "e" "k" 1;
"a" "k" "p" "y" 1; "b" "r" 1; "c" "r" 2; "d" "k" "q" 1; "e" "k" 1;
"a" "k" "p" "y" "z" 1; "b" "r" 1; "c" "r" 2; "d" "k" "q" 1; "e" "k" "t" 1;
"a" "k" "p" "y" "z" 1; "b" "r" 1; "c" "r" 2; "d" "k" "q" 1; "e" "k" "t" "y" 1;
"a" "k" "p" "y" "z" 1; "b" "r" 1; "c" "r" 2; "d" "k" "q" 1; "e" "k" "t" "y" 1;
"a" "k" "p" "y" "z" 1; "b" "r" 1; "c" "r" 2; "d" "k" "q" 1; "e" "k" "t" "y" 1;
"a" "k" "p" "y" "z" 1; "b" "r" 1; "c" "r" 2; "d" "h" "k" "q" 1; "e" "k" "t" "y" 1;
"a" "k" "p" "y" "z" 1; "b" "r" 1; "c" "r" 2; "d" "h" "k" "q" 1; "e" "k" "r" "t" "y" 1;
"a" "k" "p" "y" "z" 1; "b" "r" 1; "c" "r" 2; "d" "h" "k" "q" 1; "e" "k" "r" "t" "y" 1;
"a" "k" "p" "y" "z" 1; "b" "r" 1; "c" "r" 2; "d" "h" "k" "q" 1; "e" "k" "r" "t" "y" 1;
"a" "k" "p" "y" "z" 1; "b" "r" 1; "c" "r" 2; "d" "h" "k" "q" 1; "e" "k" "r" "t" "y" 1;
"a" "e" "k" "p" "y" "z" 1; "b" "r" 1; "c" "r" 2; "d" "h" "k" "q" 1; "e" "k" "r" "t" "y" 1;
"a" "e" "k" "p" "y" "z" 1; "b" "r" 1; "c" "r" 2; "d" "h" "k" "q" 1; "e" "k" "r" "t" "y" 1;
"a" "e" "k" "p" "y" "z" 1; "b" "f" "l" "r" 1; "c" "r" 2; "d" "h" "k" "q" 1; "e" "k" "r" "t" "y" 1;
"a" "e" "k" "p" "y" "z" 1; "b" "f" "l" "r" 1; "c" "r" 2; "d" "h" "k" "q" 1; "e" "k" "r" "t" "y" 1;
"a" "e" "k" "p" "y" "z" 1; "b" "f" "l" "r" 1; "c" "r" 2; "d" "h" "k" "q" 1; "e" "k" "r" "t" "y" 1;
"a" "e" "k" "p" "y" "z" 1; "b" "f" "l" "r" 1; "c" "r" 2; "d" "h" "k" "q" 1; "e" "k" "r" "t" "y" 1;
"a" "e" "k" "p" "y" "z" 1; "b" "f" "l" "r" 1; "c" "r" 2; "d" "h" "k" "q" 1; "e" "k" "r" "t" "y" 1;
"a" "e" "k" "p" "y" "z" 1; "b" "f" "l" "r" 1; "c" "r" 2; "d" "h" "k" "q" 1; "e" "k" "r" "t" "y" 1;
"a" "e" 2; "b" "f" "l" "r" 1; "c" "r" 2; "d" "h" "k" "q" 1; "e" "k" 2;
"a" "e" 2; "b" "f" "l" "r" 1; "c" "r" 2; "d" "h" "k" "q" 1; "e" "k" 2;
"a" "e" 2; "b" "f" "l" "r" 1; "c" "r" 2; "d" "k" 2; "e" "k" 2;
"a" "e" 2; "b" "f" "l" "r" 1; "c" "r" 2; "d" "k" 2; "e" "k" 2;
"a" "e" 2; "b" "f" "l" "r" 1; "c" "r" 2; "d" "k" 2; "e" "k" 2;
"a" "e" 2; "b" "f" "l" "r" 1; "c" "r" 2; "d" "k" 2; "e" "k" 2;
"a" "e" 2; "b" "f" "l" "r" "v" 1; "c" "r" 2; "d" "k" 2; "e" "k" 2;
"a" "e" "p" 2; "b" "f" "l" "r" "v" 1; "c" "r" 2; "d" "k" 2; "e" "k" 2;
"a" "e" "p" 2; "b" "f" "l" "r" "v" 1; "c" "r" 2; "d" "k" 2; "e" "k" 2;
"a" "e" "p" 2; "b" "f" "l" "r" "v" 1; "c" "r" 2; "d" "k" 2; "e" "k" 2;
"a" "e" "p" 2; "b" "f" "l" "r" "v" 1; "c" "r" 2; "d" "k" 2; "e" "k" 2;
"a" "e" "p" 2; "b" "f" "l" "r" "v" 1; "c" "r" 2; "d" "k" 2; "e" "k" 2;
"a" "e" "p" 2; "b" "f" "l" "r" "v" 1; "c" "r" 2; "d" "k" 2; "e" "k" 2;
"a" "e" "p" 2; "b" "f" "l" "r" "v" 1; "c" "r" 2; "d" "k" 2; "e" "k" 2;
"a" "e" "p" 2; "b" "f" "l" "n" "r" "v" 1; "c" "r" 2; "d" "k" 2; "e" "k" 2;
"a" "e" "p" 2; "b" "f" "l" "n" "o" "r" "v" 1; "c" "r" 2; "d" "k" 2; "e" "k" 2;
"a" "e" "p" 2; "b" "f" "l" "n" "o" "r" "v" 1; "c" "r" 2; "d" "k" 2; "e" "k" 2;
"a" "e" "p" 2; "b" "f" "l" "n" "o" "r" "v" 1; "c" "r" 2; "d" "k" 2; "e" "k" 2;
"a" "e" "p" 2; "b" "f" "l" "n" "o" "r" "v" 1; "c" "r" 2; "d" "k" 2; "e" "k" 2;
"a" "e" "p" 2; "b" "f" "l" "n" "o" "r" "v" 1; "c" "r" 2; "d" "k" 2; "e" "k" 2;
"a" "e" "p" 2; "b" "f" "l" "n" "o" "r" "v" 1; "c" "r" 2; "d" "k" 2; "e" "k" 2;
"a" "e" "p" 2; "b" "f" "l" "n" "o" "r" "v" 1; "c" "r" 2; "d" "k" 2; "e" "k" 2;
"a" "e" "p" 2; "b" "f" "l" "n" "o" "r" "v" 1; "c" "r" 2; "d" "k" 2; "e" "k" 2;
"a" "e" "p" 2; "b" "f" "l" "n" "o" "r" "v" 1; "c" "r" 2; "d" "k" 2; "e" "k" 2;
