none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "p" 1;
"a" "p" 1;
"a" "p" 1; "e" "g" 1;
"a" "p" 1; "e" "g" 1;
"a" "p" 1; "e" "g" 1;
"a" "p" 1; "b" "m" 1; "e" "g" 1;
"a" "p" 1; "b" "m" 1; "e" "g" 1;
"a" "p" 1; "b" "m" 1; "e" "g" 1;
"a" "p" 1; "b" "m" 1; "e" "g" 1;
"a" "p" 1; "b" "m" 1; "e" "g" 2;
"a" "p" 1; "b" "m" 1; "e" "g" 2;
"a" "p" 1; "b" "m" 1; "e" "g" 2;
"a" "p" 1; "b" "m" 1; "e" "g" 2;
"a" "l" "p" 1; "b" "m" 1; "e" "g" 2;
"a" "l" "p" 1; "b" "m" 1; "d" "g" 1; "e" "g" 2;
"a" "l" "p" 1; "b" "m" 1; "d" "g" 1; "e" "g" 2;
"a" "l" "p" 1; "b" "m" 1; "d" "g" 1; "e" "g" 2;
"a" "l" "p" 1; "b" "m" 1; "d" "g" 1; "e" "g" 2;
"a" "l" "p" 1; "b" "m" 1; "d" "g" 1; "e" "g" 2;
"a" "l" "p" 1; "b" "m" 1; "d" "g" 1; "e" "g" 2;
"a" "l" "p" 1; "b" "m" 1; "c" "l" 1; "d" "g" "o" 1; "e" "g" 2;
"a" "l" "p" 1; "b" "m" 1; "c" "l" "s" 1; "d" "g" "o" 1; "e" "g" 2;
"a" "l" "p" 1; "b" "m" 1; "c" "l" "s" 1; "d" "g" "o" 1; "e" "g" 2;
"a" "l" "p" 1; "b" "m" 1; "c" "l" "s" 1; "d" "g" "o" 1; "e" "g" 2;
"a" "l" "p" 1; "b" "m" 1; "c" "l" "s" 1; "d" "g" "o" 1; "e" "g" 2;
"a" "l" "p" 1; "b" "m" 1; "c" "l" "s" 1; "d" "g" "o" 1; "e" "g" 2;
"a" "l" "p" 1; "b" "m" 1; "c" "l" "s" 1; "d" "g" "o" 1; "e" "g" 2;
"a" "l" "p" 1; "b" "m" 1; "c" "l" "s" 1; "d" "g" "o" 1; "e" "g" 2;
"a" "l" "p" 1; "b" "m" 1; "c" "l" "s" 1; "d" "g" "o" 1; "e" "g" 2;
"a" "l" "p" 1; "b" "m" 1; "c" "l" "s" 1; "d" "g" "o" 1; "e" "g" 2;
"a" "l" "p" 1; "b" "m" "p" "q" 1; "c" "l" "s" 1; "d" "g" "o" 1; "e" "g" 2;
"a" "l" "p" 1; "b" "m" "p" "q" 1; "c" "s" 2; "d" "g" "o" "y" 1; "e" "g" 2;
"a" "l" "p" 1; "b" "m" "p" "q" 1; "c" "s" 2; "d" "g" "o" "y" 1; "e" "g" 2;
"a" "l" "p" 1; "b" "m" "p" "q" "t" 1; "c" "s" 2; "d" "g" "o" "y" 1; "e" "g" 2;
"a" "l" 2; "b" "q" 2; "c" "s" 2; "d" "f" "g" "o" "y" 1; "e" "g" 2;
"a" "l" 2; "b" "q" 2; "c" "s" 2; "d" "e" "f" "g" "o" "y" 1; "e" "g" 2;
"a" "l" 2; "b" "q" 2; "c" "s" 2; "d" "e" "f" "g" "o" "y" 1; "e" "g" 2;
"a" "l" 2; "b" "q" 2; "c" "s" 2; "d" "e" "f" "g" "o" "y" 1; "e" "g" 2;
"a" "l" 2; "b" "q" 2; "c" "s" 3; "d" "e" "f" "g" "o" "q" "y" 1; "e" "g" 2;
"a" "l" 2; "b" "q" 2; "c" "s" 3; "d" "f" 2; "e" "g" 2;
