none
none
none
none
none
none
none
none
none
none
none
"c" "k" "o" "s" 1;
"c" "k" "o" "s" 1;
"c" "k" "o" "s" 1;
"b" "a" 1; "c" "k" "o" "s" 1;
"b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "o" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "o" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "o" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "n" "o" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "n" "o" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "n" "o" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "n" "o" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "n" "o" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "n" "o" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "n" "o" 1; "b" "a" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "n" "o" 1; "b" "a" "k" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "n" "o" 1; "b" "a" "k" 1; "c" "k" "o" "s" 1; "d" "o" 1;
"a" "j" "n" "o" 1; "b" "a" "k" 1; "c" "k" "o" "s" 1; "d" "o" 1; "e" "k" 1;
"a" "j" "n" "o" 1; "b" "a" "k" 1; "c" "k" "o" "s" 1; "d" "o" 1; "e" "k" 1;
"a" "j" "n" "o" 1; "b" "a" "k" 1; "c" "k" "o" "s" 1; "d" "o" 1; "e" "k" 1;
"a" "j" "n" "o" 1; "b" "a" "k" 1; "c" "k" "o" "s" 1; "d" "o" 1; "e" "k" 1;
"a" "j" "n" "o" 1; "b" "a" "k" 1; "c" "k" "o" "s" 1; "d" "o" 1; "e" "k" 1;
"a" "j" "n" "o" 1; "b" "a" "k" 1; "c" "k" "o" "s" 1; "d" "o" 1; "e" "k" 1;
"a" "j" "l" "n" "o" 1; "b" "k" 2; "c" "k" "o" "s" 1; "d" "o" 1; "e" "k" 1;
"a" "j" "l" "n" "o" 1; "b" "k" 2; "c" "k" "o" "s" 1; "d" "o" 1; "e" "k" 1;
"a" "j" "l" "n" "o" 1; "b" "k" 2; "c" "k" "o" "s" 1; "d" "o" 1; "e" "k" 1;
"a" "j" "l" "n" "o" 1; "b" "k" 2; "c" "k" "o" "s" 1; "d" "o" 1; "e" "k" 1;
"a" "j" "l" "n" "o" 1; "b" "k" 2; "c" "k" "o" "s" 1; "d" "o" 1; "e" "k" 1;
"a" "j" "l" "n" "o" 1; "b" "k" 3; "c" "k" "o" "s" "z" 1; "d" "o" 1; "e" "k" 1;
"a" "j" "l" "n" "o" 1; "b" "k" 3; "c" "k" "o" "s" "z" 1; "d" "o" 1; "e" "k" 1;
"a" "j" "l" "n" "o" 1; "b" "k" 3; "c" "k" "o" "s" "z" 1; "d" "o" 1; "e" "k" 1;
"a" "j" "l" "n" "o" 1; "b" "k" 3; "c" "k" "o" "s" "z" 1; "d" "o" 1; "e" "k" 1;
"a" "j" "l" "n" "o" 1; "b" "k" 3; "c" "k" "o" "s" "z" 1; "d" "o" 1; "e" "k" 1;
"a" "j" "l" "n" "o" 1; "b" "k" 3; "c" "k" "o" "s" "z" 1; "d" "o" "z" 1; "e" "k" 1;
"a" "j" "l" "n" "o" 1; "b" "k" 3; "c" "k" "o" "s" "z" 1; "d" "o" "p" "z" 1; "e" "k" 1;
"a" "j" "l" "n" "o" 1; "b" "k" 3; "c" "k" "o" "s" "z" 1; "d" "o" "p" "z" 1; "e" "k" 1;
"a" "j" "l" "n" "o" 1; "b" "k" 3; "c" "k" "o" "s" "z" 1; "d" "o" "p" "z" 1; "e" "k" 1;
"a" "j" "l" "n" "o" 1; "b" "k" 3; "c" "k" "o" "s" "z" 1; "d" "o" "p" "z" 1; "e" "k" 1;
"a" "j" "l" "n" "o" 1; "b" "k" 3; "c" "k" "o" "s" "z" 1; "d" "o" "p" "z" 1; "e" "k" 1;
"a" "j" "l" "n" "o" 1; "b" "k" 3; "c" "k" "o" "s" "z" 1; "d" "o" "p" "z" 1; "e" "c" "k" 1;
"a" "j" "l" "n" "o" 1; "b" "k" 3; "c" "k" "o" "s" "z" 1; "d" "o" "p" "z" 1; "e" "c" "k" 1;
"a" "j" "l" "n" "o" 1; "b" "k" 3; "c" "k" "o" "s" "z" 1; "d" "o" "p" "z" 1; "e" "c" "k" 1;
"a" "j" "l" "n" "o" 1; "b" "k" 3; "c" "k" "o" "s" "z" 1; "d" "o" "p" "z" 1; "e" "c" "k" 1;
"a" "j" "l" "n" "o" 1; "b" "k" 3; "c" "k" "o" "s" "z" 1; "d" "o" "p" "z" 1; "e" "c" "k" 1;
"a" "j" "l" "n" "o" 1; "b" "k" 3; "c" "k" "o" "s" "z" 1; "d" "o" "p" "z" 1; "e" "c" "k" 1;
"a" "j" "l" "n" "o" 1; "b" "k" 3; "c" "k" "o" "s" "z" 1; "d" "o" "p" "z" 1; "e" "c" "k" 1;
"a" "j" "l" "n" "o" 1; "b" "k" 3; "c" "k" "o" "s" "z" 1; "d" "o" "p" "z" 1; "e" "c" "k" 1;
"a" "j" "l" "n" "o" "q" 1; "b" "k" 3; "c" "k" "o" "s" "z" 1; "d" "o" "p" "z" 1; "e" "c" "k" 1;
"a" "j" "l" "n" "o" "q" 1; "b" "k" 3; "c" "k" "o" "s" "z" 1; "d" "o" "p" "z" 1; "e" "c" "k" 1;
"a" "j" "l" "n" "o" "q" 1; "b" "k" 3; "c" "k" "o" "s" "z" 1; "d" "o" "p" "z" 1; "e" "c" "k" 1;
"a" "j" "l" "n" "o" "q" 1; "b" "k" 3; "c" "k" "o" "s" "z" 1; "d" "o" "p" "z" 1; "e" "c" "k" 1;
"a" "j" "l" "n" "o" "q" 1; "b" "k" 3; "c" "k" "o" "s" "z" 1; "d" "z" 2; "e" "c" "k" 1;
