"c" "b" 1;
"b" "q" 1; "c" "b" 1;
"b" "q" 1; "c" "b" 1;
"b" "q" 1; "c" "b" 1;
"b" "q" 1; "c" "b" 1;
"b" "q" 1; "c" "b" 1;
"b" "q" 1; "c" "b" 1;
"b" "q" 1; "c" "b" 1;
"b" "q" 1; "c" "b" 1; "d" "a" 1;
"b" "q" 1; "c" "b" 1; "d" "a" 1;
"b" "q" 1; "c" "b" 1; "d" "a" 1;
"b" "q" 1; "c" "b" 1; "d" "a" 1;
"b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"a" "q" 1; "b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"a" "q" 1; "b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"a" "q" 1; "b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"a" "q" 1; "b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"a" "q" 1; "b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"a" "q" 1; "b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"a" "q" 1; "b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"a" "q" 1; "b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"a" "q" 1; "b" "q" 1; "c" "b" 1; "d" "a" "c" 1;
"a" "q" 1; "b" "q" 1; "c" "b" 1; "d" "a" "c" "i" 1; "e" "u" 1;
"a" "q" 1; "b" "q" 1; "c" "b" 1; "d" "a" "c" "i" 1; "e" "u" "z" 1;
"a" "q" 1; "b" "q" 1; "c" "b" 1; "d" "a" "c" "i" 1; "e" "z" 2;
"a" "q" 1; "b" "q" 1; "c" "b" 1; "d" "a" "c" "i" 1; "e" "z" 2;
"a" "q" 1; "b" "q" "y" 1; "c" "b" "x" 1; "d" "a" "c" "i" 1; "e" "z" 2;
"a" "q" 1; "b" "q" "y" 1; "c" "b" "x" 1; "d" "a" "c" "i" "r" 1; "e" "z" 2;
"a" "q" 1; "b" "q" "y" 1; "c" "b" "x" 1; "d" "a" "c" "i" "r" 1; "e" "z" 2;
"a" "q" 1; "b" "q" "y" 1; "c" "b" "x" 1; "d" "a" "c" "i" "r" 1; "e" "z" 2;
"a" "q" 2; "b" "q" "y" 1; "c" "b" "x" 1; "d" "a" "c" "i" "r" 1; "e" "z" 2;
"a" "q" 2; "b" "q" "y" 1; "c" "b" "x" 1; "d" "a" "c" "i" "r" 1; "e" "z" 2;
"a" "q" 2; "b" "q" "y" 1; "c" "b" "x" 1; "d" "a" "c" "i" "r" 1; "e" "z" 2;
"a" "q" 2; "b" "o" "q" "y" 1; "c" "b" 2; "d" "a" "c" "i" "r" 1; "e" "u" "z" 2;
"a" "q" 2; "b" "o" "q" "y" 1; "c" "b" 2; "d" "a" "c" "i" "r" 1; "e" "u" "z" 2;
"a" "q" 2; "b" "o" "q" "y" 1; "c" "b" 2; "d" "a" "c" "i" "r" 1; "e" "u" "z" 2;
"a" "q" 2; "b" "o" "q" "y" 1; "c" "b" 2; "d" "a" "c" "i" "r" 1; "e" "u" "z" 2;
"a" "q" 2; "b" "o" "q" "y" 1; "c" "b" 2; "d" "a" "c" "i" "r" 1; "e" "u" "z" 2;
"a" "q" 2; "b" "a" "o" "q" "y" 1; "c" "b" 2; "d" "a" "c" "i" "r" "s" "v" 1; "e" "u" 3;
"a" "q" 2; "b" "a" "o" "q" "y" 1; "c" "b" 2; "d" "a" "c" "i" "r" "s" "v" 1; "e" "u" 3;
"a" "q" 2; "b" "y" 2; "c" "b" 2; "d" "a" "c" "i" "r" "s" "v" 1; "e" "u" 3;
"a" "q" 2; "b" "y" 2; "c" "b" 2; "d" "a" "c" "i" "r" "s" "v" 1; "e" "u" 3;
"a" "q" 2; "b" "y" 2; "c" "b" 2; "d" "a" "c" "i" "r" "s" "v" 1; "e" "u" 3;
"a" "q" 2; "b" "y" 2; "c" "b" 2; "d" "a" "c" "i" "r" "s" "v" 1; "e" "u" 3;
"a" "q" 2; "b" "y" 2; "c" "b" 2; "d" "a" "c" "i" "r" "s" "v" 1; "e" "u" 3;
"a" "q" 2; "b" "y" 2; "c" "b" "x" 2; "d" "a" "c" "i" "r" "s" "v" 1; "e" "u" 3;
"a" "q" 2; "b" "y" 2; "c" "b" "x" 2; "d" "a" "c" "i" "r" "s" "v" 1; "e" "u" 3;
"a" "q" 2; "b" "y" 2; "c" "b" "x" 2; "d" "a" "c" "i" "r" "s" "v" 1; "e" "u" 3;
"a" "q" 2; "b" "y" 2; "c" "b" "x" 2; "d" "a" "c" "i" "r" "s" "v" 1; "e" "u" 3;
"a" "q" 2; "b" "y" 2; "c" "b" "x" 2; "d" "a" "c" "i" "r" "s" "v" 1; "e" "u" 3;
"a" "q" 2; "b" "y" 2; "c" "b" "x" 2; "d" "a" "c" "i" "r" "s" "v" 1; "e" "u" 3;
"a" "q" 2; "b" "y" 2; "c" "b" "x" 2; "d" "a" "c" "f" "i" "r" "s" "v" 1; "e" "u" 3;
"a" "q" 2; "b" "y" 2; "c" "b" "x" 2; "d" "a" "c" "f" "i" "r" "s" "v" 1; "e" "u" 3;
"a" "q" 2; "b" "y" 2; "c" "b" "x" 2; "d" "a" "c" "f" "i" "r" "s" "v" 1; "e" "u" 3;
"a" "q" 2; "b" "i" "y" 2; "c" "b" "x" 2; "d" "a" "c" "f" "i" "r" "s" "v" 1; "e" "u" 3;
"a" "q" 2; "b" "i" "y" 2; "c" "b" "x" 2; "d" "a" "c" "f" "i" "r" "s" "v" 1; "e" "u" 3;
"a" "q" 2; "b" "i" "y" 2; "c" "b" "x" 2; "d" "a" "c" "f" "i" "r" "s" "v" 1; "e" "u" 3;
"a" "q" 2; "b" "i" "y" 2; "c" "b" "x" 2; "d" "a" "c" "f" "i" "r" "s" "v" 1; "e" "u" 3;
"a" "q" 2; "b" "i" "y" 2; "c" "b" "x" 2; "d" "a" "c" "f" "i" "r" "s" "v" 1; "e" "u" 3;
"a" "q" 2; "b" "i" "l" "y" 2; "c" "b" "x" 2; "d" "a" "c" "f" "i" "r" "s" "v" 1; "e" "u" 3;
"a" "q" 2; "b" "i" "l" "y" 2; "c" "b" "x" 2; "d" "a" "c" "f" "i" "r" "s" "v" 1; "e" "u" 3;
"a" "q" 2; "b" "i" "l" "y" 2; "c" "b" "x" 2; "d" "a" "c" "f" "i" "r" "s" "v" 1; "e" "u" 3;
"a" "q" 2; "b" "i" "l" "y" 2; "c" "b" "x" 2; "d" "a" "c" "f" "i" "r" "s" "v" 1; "e" "u" 3;
"a" "q" 2; "b" "i" "l" "y" 2; "c" "b" "x" 2; "d" "a" "c" "f" "i" "r" "s" "v" 1; "e" "u" 3;
"a" "q" 2; "b" "i" "l" "y" 2; "c" "b" "x" 2; "d" "a" "c" "f" "i" "n" "r" "s" "v" 1; "e" "u" 3;
"a" "q" 2; "b" "i" "l" "y" 2; "c" "b" "g" "x" 2; "d" "a" "c" "f" "i" "n" "r" "s" "v" 1; "e" "u" 3;
"a" "q" 2; "b" "i" "l" "y" 2; "c" "b" "g" "x" 2; "d" "n" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" "y" 2; "c" "b" "g" "x" 2; "d" "n" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" "y" 2; "c" "b" "g" "x" 2; "d" "n" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" "y" 2; "c" "b" "g" "x" 2; "d" "n" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" "y" 2; "c" "b" "g" "x" 2; "d" "n" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" "y" 2; "c" "b" "g" "x" 2; "d" "n" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" "y" 2; "c" "b" "g" "x" 2; "d" "n" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" "y" 2; "c" "b" "g" "x" 2; "d" "n" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" "y" 2; "c" "b" "g" "x" 2; "d" "n" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" "y" 2; "c" "b" "g" "x" 2; "d" "n" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" "y" 2; "c" "b" "g" "x" 2; "d" "n" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" "y" 2; "c" "b" "g" "x" 2; "d" "n" "y" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" "y" 2; "c" "b" "g" "x" 2; "d" "n" "y" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" "y" 2; "c" "b" "g" "x" 2; "d" "n" "y" 2; "e" "u" 3;
"a" "q" 2; "b" "i" "l" "y" 2; "c" "b" "g" "x" 2; "d" "n" "y" 2; "e" "u" 3;
