none
none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "k" 1;
"c" "k" 1;
"c" "k" 1;
"c" "k" 1;
"c" "k" "n" 1;
"c" "j" "k" "n" "x" 1; "e" "a" 1;
"c" "j" "k" "n" "x" 1; "e" "a" 1;
"c" "j" "k" "n" "x" 1; "e" "a" 1;
"c" "j" "k" "n" "x" 1; "e" "a" 1;
"c" "j" "k" "n" "x" 1; "e" "a" 1;
"c" "j" "k" "n" "x" 1; "e" "a" 1;
"c" "j" "k" "n" "x" 1; "e" "a" 1;
"c" "j" "k" "n" "x" 1; "e" "a" 1;
"c" "j" "k" "n" "x" 1; "e" "a" 1;
"c" "j" "k" "n" "x" 1; "e" "a" "s" 1;
"c" "j" "k" "n" "x" 1; "e" "a" "s" 1;
"c" "j" 2; "e" "a" "j" "s" 1;
"c" "j" 2; "e" "a" "j" "s" 1;
"c" "j" 2; "e" "a" "j" "s" 1;
"c" "j" 2; "e" "a" "j" "s" 1;
"c" "j" 2; "e" "a" "j" "s" 1;
"c" "j" 2; "d" "f" 1; "e" "a" "j" "s" 1;
"c" "j" 2; "d" "f" 1; "e" "a" "j" "s" 1;
"c" "j" 2; "d" "f" 1; "e" "a" "j" "s" 1;
"c" "j" 2; "d" "f" 1; "e" "a" "h" "j" "s" 1;
"b" "k" 1; "c" "j" 2; "d" "f" 1; "e" "a" "h" "j" "s" 1;
"b" "k" 1; "c" "j" 2; "d" "f" 1; "e" "a" "g" "h" "j" "s" 1;
"a" "g" "j" "s" 1; "b" "k" "l" 1; "c" "j" 2; "d" "f" 1; "e" "h" 2;
"a" "g" "j" "s" 1; "b" "k" "l" 1; "c" "j" 2; "d" "f" 1; "e" "h" 2;
"a" "g" "j" "s" 1; "b" "k" "l" 1; "c" "j" 2; "d" "f" 1; "e" "h" 2;
"a" "e" "g" "j" "s" 1; "b" "k" "l" 1; "c" "j" 2; "d" "f" 1; "e" "h" 2;
"a" "e" "g" "j" "s" 1; "b" "k" "l" 1; "c" "j" 2; "d" "f" 1; "e" "h" 2;
"a" "b" "e" "g" "j" "s" 1; "b" "k" "l" 1; "c" "j" 2; "d" "f" 1; "e" "h" 2;
"a" "b" "e" "g" "j" "s" 1; "b" "k" "l" 1; "c" "j" 2; "d" "f" 1; "e" "h" 2;
"a" "b" "e" "g" "j" "s" 1; "b" "k" "l" 1; "c" "j" 2; "d" "f" 1; "e" "h" 2;
"a" "b" "e" "g" "j" "s" 1; "b" "k" "l" 1; "c" "j" 2; "d" "f" 1; "e" "h" 2;
"a" "b" "e" "g" "j" "s" 1; "b" "k" "l" 1; "c" "j" "x" 2; "d" "f" 1; "e" "h" 2;
"a" "b" "e" "g" "j" "s" 1; "b" "k" "l" 1; "c" "j" "x" 2; "d" "f" 1; "e" "h" 2;
"a" "b" "e" "g" "j" "s" 1; "b" "k" "l" 1; "c" "j" "x" 2; "d" "f" 1; "e" "h" 2;
