none
none
none
none
"a" "d" 1;
"a" "d" 1;
"a" "d" 1;
"a" "d" 1;
"a" "d" 1; "b" "v" 1;
"a" "d" 1; "b" "v" 1;
"a" "d" 1; "b" "v" 1;
"a" "d" 1; "b" "v" 1;
"a" "d" "h" 1; "b" "e" "v" 1;
"a" "d" "h" "z" 1; "b" "e" "v" 1; "d" "f" 1;
"a" "d" "h" "z" 1; "b" "e" "v" 1; "d" "f" 1;
"a" "d" "h" "z" 1; "b" "e" "v" 1; "d" "f" 1;
"a" "d" "h" "z" 1; "b" "c" "e" "v" 1; "c" "w" 1; "d" "f" "q" 1;
"a" "d" "h" "z" 1; "b" "c" "e" "v" 1; "c" "w" 1; "d" "f" "q" 1;
"a" "d" "h" "z" 1; "b" "c" "e" "v" 1; "c" "w" 1; "d" "f" "q" 1;
"a" "b" "d" "h" "z" 1; "b" "c" "e" "v" 1; "c" "w" 1; "d" "f" "q" 1;
"a" "b" "d" "h" "z" 1; "b" "c" "e" "v" 1; "c" "w" 1; "d" "f" "q" 1;
"a" "b" "d" "h" "z" 1; "b" "c" "e" "v" 1; "c" "w" 2; "d" "f" "q" 1;
"a" "b" "d" "h" "z" 1; "b" "c" "e" "v" 1; "c" "w" 2; "d" "f" "p" "q" 1;
"a" "b" "d" "h" "z" 1; "b" "c" "e" "v" 1; "c" "w" 2; "d" "f" "p" "q" 1;
"a" "b" "d" "h" "v" "z" 1; "b" "c" "e" "v" 1; "c" "w" 2; "d" "f" "p" "q" 1;
"a" "b" "d" "h" "v" "z" 1; "b" "c" "e" "v" 1; "c" "w" 2; "d" "f" "p" "q" 1;
"a" "b" "d" "h" "v" "z" 1; "b" "c" "e" "v" 1; "c" "w" 2; "d" "f" 2;
"a" "b" "d" "h" "v" "z" 1; "b" "c" "e" "v" 1; "c" "w" 2; "d" "f" 2; "e" "f" 1;
"a" "b" "d" "h" "v" "z" 1; "b" "c" "e" "v" 1; "c" "w" 2; "d" "f" 2; "e" "f" 1;
"a" "b" "d" "h" "v" "z" 1; "b" "c" "e" "v" 1; "c" "w" 2; "d" "f" 2; "e" "f" 1;
"a" "b" "d" "h" "v" "z" 1; "b" "c" "e" "v" 1; "c" "w" 2; "d" "f" 2; "e" "f" 1;
"a" "b" "d" "h" "v" "z" 1; "b" "c" "e" "v" 1; "c" "w" 2; "d" "f" 2; "e" "f" "n" "x" 1;
"a" "b" "d" "h" "v" "z" 1; "b" "c" "e" "v" 1; "c" "w" 2; "d" "f" 2; "e" "f" "n" "x" 1;
"a" "b" "d" "h" "v" "z" 1; "b" "c" "e" "v" 1; "c" "w" 2; "d" "f" 2; "e" "f" "n" "x" 1;
"a" "b" "d" "h" "v" "z" 1; "b" "c" "e" "v" 1; "c" "w" 2; "d" "f" 2; "e" "f" "n" "x" 1;
"a" "b" "d" "h" "v" "z" 1; "b" "c" "e" "v" 1; "c" "w" 2; "d" "f" 2; "e" "f" "n" "x" 1;
"a" "b" "d" "h" "v" "z" 1; "b" "c" "e" "v" 1; "c" "w" 2; "d" "f" 2; "e" "f" "n" "x" 1;
"a" "b" "d" "h" "v" "z" 1; "b" "e" 2; "c" "w" 2; "d" "f" 2; "e" "f" "n" "x" 1;
"a" "b" "d" "h" "v" "z" 1; "b" "e" 2; "c" "w" 2; "d" "f" 2; "e" "a" "f" "n" "x" 1;
"a" "b" 2; "b" "e" 2; "c" "w" 2; "d" "f" 2; "e" "a" "f" "n" "x" 1;
"a" "b" 2; "b" "e" 2; "c" "w" 2; "d" "f" 2; "e" "a" "f" "n" "x" 1;
"a" "b" 2; "b" "e" 2; "c" "w" 2; "d" "f" 2; "e" "f" 2;
"a" "b" 2; "b" "e" 2; "c" "w" 2; "d" "f" 2; "e" "f" 2;
"a" "b" 2; "b" "e" 2; "c" "w" 2; "d" "f" 2; "e" "f" 2;
"a" "b" 2; "b" "e" 2; "c" "w" 2; "d" "f" 2; "e" "f" 2;
"a" "b" "z" 2; "b" "e" 2; "c" "w" 2; "d" "f" 2; "e" "f" 2;
"a" "b" "z" 2; "b" "e" 2; "c" "w" 2; "d" "f" 2; "e" "f" 2;
"a" "b" "z" 2; "b" "e" 2; "c" "w" 2; "d" "f" 2; "e" "f" 2;
"a" "b" "z" 2; "b" "e" 2; "c" "w" 2; "d" "f" 2; "e" "f" 2;
"a" "b" "z" 2; "b" "e" 2; "c" "w" 2; "d" "f" 2; "e" "f" 2;
"a" "b" "z" 2; "b" "e" 2; "c" "w" 3; "d" "f" 2; "e" "f" 2;
"a" "b" "z" 2; "b" "e" 2; "c" "w" 3; "d" "f" 2; "e" "f" 2;
"a" "b" "z" 2; "b" "e" "z" 2; "c" "w" 3; "d" "f" 2; "e" "f" 2;
"a" "b" "z" 2; "b" "e" "z" 2; "c" "w" 3; "d" "f" 2; "e" "f" 2;
"a" "b" "z" 2; "b" "e" "z" 2; "c" "w" 3; "d" "f" 2; "e" "f" 2;
"a" "b" "z" 2; "b" "e" "z" 2; "c" "w" 3; "d" "f" 2; "e" "f" 2;
"a" "b" "z" 2; "b" "e" "z" 2; "c" "w" 3; "d" "f" 2; "e" "f" 2;
"a" "b" "z" 2; "b" "e" "z" 2; "c" "w" 3; "d" "f" 2; "e" "f" 2;
"a" "b" "z" 2; "b" "e" "z" 2; "c" "w" 3; "d" "f" 2; "e" "f" 2;
"a" "b" "z" 2; "b" "e" "z" 2; "c" "w" 4; "d" "f" 2; "e" "f" 2;
"a" "b" "z" 2; "b" "e" "z" 2; "c" "w" 4; "d" "f" 2; "e" "f" 2;
"a" "b" "z" 2; "b" "e" "z" 2; "c" "w" 4; "d" "f" 2; "e" "f" 2;
"a" "b" "z" 2; "b" "e" "z" 2; "c" "w" 4; "d" "f" 2; "e" "f" 2;
"a" "b" "z" 2; "b" "e" "z" 2; "c" "w" 4; "d" "f" 2; "e" "f" 2;
"a" "b" "z" 2; "b" "e" "z" 2; "c" "w" 4; "d" "f" 2; "e" "f" 2;
"a" "b" "z" 2; "b" "e" "z" 2; "c" "w" 4; "d" "f" 2; "e" "f" "k" 2;
"a" "b" "z" 2; "b" "e" "z" 2; "c" "w" 4; "d" "f" 2; "e" "f" "k" 2;
"a" "b" "z" 2; "b" "e" "z" 2; "c" "w" 4; "d" "f" 2; "e" "f" "k" 2;
"a" "b" "z" 2; "b" "e" "z" 2; "c" "w" 4; "d" "f" 2; "e" "f" "k" 2;
"a" "b" "z" 2; "b" "e" "z" 2; "c" "w" 4; "d" "f" 2; "e" "f" "k" 2;
"a" "b" "z" 2; "b" "b" "e" "z" 2; "c" "w" 4; "d" "f" 2; "e" "a" "f" "k" 2;
"a" "b" "z" 2; "b" "b" "e" "z" 2; "c" "w" 4; "d" "f" 2; "e" "a" "f" "k" 2;
"a" "b" "z" 2; "b" "b" "e" "z" 2; "c" "w" 4; "d" "f" 2; "e" "a" "f" "k" 2;
"a" "b" "z" 2; "b" "b" "e" "z" 2; "c" "w" 4; "d" "f" 2; "e" "a" "f" "k" 2;
