none
none
none
none
none
none
none
none
none
none
none
none
"d" "p" 1;
"d" "p" 1;
"d" "p" 1;
"d" "p" 1;
"d" "p" 1;
"d" "p" 1;
"c" "i" 1; "d" "p" 1;
"c" "i" 1; "d" "p" 1;
"c" "i" 1; "d" "p" 1;
"c" "i" 1; "d" "p" 1;
"c" "i" 1; "d" "p" 1;
"c" "i" 1; "d" "p" 1;
"c" "i" 1; "d" "p" 1;
"c" "i" 1; "d" "p" "y" 1;
"a" "w" 1; "c" "a" "i" 1; "d" "p" "s" "y" 1; "e" "n" 1;
"a" "w" 1; "c" "a" "i" 1; "d" "p" "s" "y" 1; "e" "n" 1;
"a" "w" 1; "c" "a" "i" 1; "d" "p" "s" "y" 1; "e" "n" 1;
"a" "w" 1; "c" "a" "i" 1; "d" "p" "s" "y" 1; "e" "n" 1;
"a" "w" 1; "c" "a" "i" "q" "v" "x" 1; "d" "p" "s" "y" 1; "e" "n" 2;
"a" "w" 1; "c" "a" "i" "q" "v" "x" 1; "d" "p" "s" "y" 1; "e" "n" 2;
"a" "w" 1; "c" "a" "i" "q" "v" "x" 1; "d" "p" "s" "y" 1; "e" "n" 2;
"a" "w" 1; "c" "a" "i" "q" "v" "x" 1; "d" "p" "s" "y" 1; "e" "n" 2;
"a" "d" "w" 1; "c" "a" "i" "q" "v" "w" "x" 1; "d" "y" 2; "e" "n" 2;
"a" "d" "w" 1; "c" "a" "i" "q" "v" "w" "x" 1; "d" "y" 2; "e" "n" 2;
"a" "w" 2; "c" "x" 2; "d" "y" 2; "e" "n" 2;
"a" "w" 2; "c" "x" 2; "d" "y" 2; "e" "n" 2;
"a" "w" 2; "b" "e" "v" 1; "c" "x" 2; "d" "y" 2; "e" "n" 2;
"a" "w" 2; "b" "e" "q" "v" 1; "c" "x" 2; "d" "y" 2; "e" "n" 2;
"a" "w" 2; "b" "e" "p" "q" "v" 1; "c" "x" 2; "d" "y" 2; "e" "n" 2;
"a" "w" 2; "b" "e" "p" "q" "v" 1; "c" "x" 2; "d" "y" 2; "e" "n" 2;
"a" "w" 2; "b" "e" "p" "q" "v" 1; "c" "x" 2; "d" "y" 2; "e" "n" 2;
"a" "w" 2; "b" "e" "p" "q" "v" 1; "c" "x" 2; "d" "y" 2; "e" "n" 2;
"a" "w" 2; "b" "e" "p" "q" "v" 1; "c" "x" 2; "d" "y" 2; "e" "n" 2;
"a" "w" 2; "b" "p" 2; "c" "x" 2; "d" "y" 2; "e" "n" 2;
"a" "w" 2; "b" "p" 2; "c" "x" 2; "d" "y" 2; "e" "n" 2;
"a" "w" 2; "b" "p" 2; "c" "x" 2; "d" "y" 2; "e" "n" 2;
"a" "w" 2; "b" "p" 2; "c" "x" 2; "d" "y" 2; "e" "n" 2;
"a" "w" 2; "b" "p" 2; "c" "a" "q" "x" 2; "d" "y" 2; "e" "n" 2;
"a" "w" 2; "b" "p" 2; "c" "a" "q" "x" 2; "d" "y" 2; "e" "n" 2;
"a" "w" 2; "b" "p" 2; "c" "a" "q" "x" 2; "d" "y" 2; "e" "n" 2;
"a" "w" 2; "b" "p" 2; "c" "a" "q" "x" 2; "d" "y" 2; "e" "n" 2;
"a" "w" 2; "b" "p" 2; "c" "a" "q" "x" 2; "d" "y" 2; "e" "n" 2;
"a" "w" 2; "b" "p" 2; "c" "a" "q" "x" 2; "d" "y" 2; "e" "n" 2;
"a" "w" 2; "b" "p" 2; "c" "a" "q" "x" 2; "d" "y" 2; "e" "n" 2;
"a" "w" 2; "b" "p" 2; "c" "a" "q" "x" 2; "d" "y" 2; "e" "n" 2;
"a" "w" 2; "b" "p" "q" 2; "c" "a" "q" "x" 2; "d" "y" 2; "e" "n" 2;
"a" "w" 2; "b" "p" "q" 2; "c" "a" "q" "x" 2; "d" "y" 2; "e" "n" 2;
"a" "w" 2; "b" "p" "q" 2; "c" "a" "q" "x" 2; "d" "y" 2; "e" "n" 2;
"a" "w" 2; "b" "p" "q" 2; "c" "a" "q" "x" 2; "d" "y" 2; "e" "n" 2;
