none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"b" "f" 1; "d" "x" 1;
"b" "f" "h" 1; "d" "x" 1;
"b" "f" "h" 1; "d" "x" 1;
"b" "f" "h" 1; "d" "x" 1;
"b" "f" "h" 1; "d" "x" 1;
"b" "f" "h" 1; "d" "x" 1;
"b" "b" "f" "h" 1; "d" "x" 1;
"b" "b" "f" "h" 1; "d" "x" 1;
"b" "b" "f" "h" 1; "d" "x" 1; "e" "w" 1;
"b" "b" "f" "h" 1; "d" "x" 1; "e" "w" 1;
"b" "b" "f" "h" 1; "d" "x" 1; "e" "w" 1;
"b" "b" "f" "h" 1; "d" "x" 1; "e" "n" "w" 1;
"a" "v" 1; "b" "b" "f" "h" 1; "d" "x" 1; "e" "n" "w" 1;
"a" "v" 1; "b" "b" "f" "h" 1; "d" "x" 1; "e" "n" "w" 1;
"a" "a" "n" "v" 1; "b" "b" "f" "h" 1; "d" "x" 1; "e" "n" "w" 1;
"a" "a" "n" "v" 1; "b" "b" "f" "h" 1; "c" "z" 1; "d" "x" 1; "e" "n" "w" 1;
"a" "a" "n" "v" 1; "b" "b" "f" "h" 1; "c" "z" 1; "d" "x" 1; "e" "n" "w" 1;
"a" "a" "n" "v" 1; "b" "b" "f" "h" 1; "c" "z" 1; "d" "x" 1; "e" "n" "w" 1;
"a" "a" "n" "v" 1; "b" "b" "f" "h" 1; "c" "z" 1; "d" "x" 1; "e" "n" "w" 1;
"a" "a" "n" "o" "v" 1; "b" "b" "f" "h" 1; "c" "c" "r" "z" 1; "d" "x" 1; "e" "n" "w" 1;
"a" "a" "n" "o" "v" 1; "b" "b" "f" "h" 1; "c" "c" "r" "z" 1; "d" "x" 1; "e" "n" "w" 1;
"a" "a" "n" "o" "v" 1; "b" "b" "f" "h" 1; "c" "c" "r" "z" 1; "d" "x" 1; "e" "n" "w" 1;
"a" "a" "n" "o" "v" 1; "b" "b" "f" "h" 1; "c" "c" "r" "z" 1; "d" "x" 1; "e" "n" "w" 1;
"a" "a" "n" "o" "v" 1; "b" "b" "f" "h" 1; "c" "c" "h" "r" "z" 1; "d" "x" 1; "e" "n" "q" "w" 1;
"a" "a" "n" "o" "v" 1; "b" "b" "f" "h" 1; "c" "c" "h" "r" "z" 1; "d" "x" 1; "e" "n" "q" "w" 1;
"a" "n" 2; "b" "b" "f" "h" 1; "c" "c" "h" "r" "z" 1; "d" "x" 1; "e" "n" "q" "w" 1;
"a" "n" 2; "b" "b" "f" "h" 1; "c" "c" "h" "r" "z" 1; "d" "x" 1; "e" "n" "q" "w" 1;
"a" "n" 2; "b" "b" "f" "h" 1; "c" "c" "h" "r" "z" 1; "d" "x" 1; "e" "m" "n" "q" "w" 1;
"a" "n" 2; "b" "b" "f" "h" 1; "c" "c" "h" "r" "z" 1; "d" "x" 1; "e" "m" "n" "q" "w" 1;
"a" "n" 2; "b" "b" "f" "h" 1; "c" "c" "h" "o" "r" "z" 1; "d" "x" 1; "e" "m" "n" "q" "w" 1;
"a" "n" 2; "b" "b" "f" "h" 1; "c" "c" "h" "o" "r" "z" 1; "d" "x" 1; "e" "m" "n" "q" "w" 1;
"a" "n" 2; "b" "b" "f" "h" 1; "c" "c" "h" "o" "r" "z" 1; "d" "x" 1; "e" "m" "n" "q" "w" 1;
"a" "n" 2; "b" "b" "f" "h" 1; "c" "c" "h" "o" "r" "z" 1; "d" "x" 1; "e" "m" "n" "q" "w" 1;
"a" "n" 2; "b" "b" "f" "h" 1; "c" "c" "h" "o" "r" "z" 1; "d" "x" 1; "e" "m" "n" "q" "w" 1;
"a" "n" 2; "b" "b" "f" "h" 1; "c" "c" "h" "o" "r" "z" 1; "d" "x" 1; "e" "a" "m" "n" "q" "w" 1;
"a" "n" 2; "b" "b" "f" "h" 1; "c" "c" "h" "o" "r" "z" 1; "d" "x" 1; "e" "a" "m" "n" "q" "w" 1;
"a" "n" 2; "b" "b" "f" "h" 1; "c" "c" "h" "o" "r" "z" 1; "d" "x" 1; "e" "a" "m" "n" "q" "w" 1;
"a" "n" 2; "b" "h" 2; "c" "c" "h" "o" "r" "z" 1; "d" "x" 1; "e" "q" 2;
"a" "n" 2; "b" "h" 2; "c" "c" "h" "o" "r" "z" 1; "d" "x" 1; "e" "q" 2;
"a" "n" 2; "b" "h" 2; "c" "c" "h" "o" "r" "z" 1; "d" "x" 1; "e" "q" 2;
"a" "n" 2; "b" "h" 2; "c" "c" "h" "o" "r" "x" "z" 1; "d" "e" "x" 1; "e" "q" 2;
"a" "n" 2; "b" "h" 2; "c" "c" "h" "o" "q" "r" "x" "z" 1; "d" "e" "x" 1; "e" "q" 2;
"a" "n" 2; "b" "h" 2; "c" "c" "h" "o" "q" "r" "x" "z" 1; "d" "e" "x" 1; "e" "q" 2;
"a" "n" 2; "b" "h" 2; "c" "c" "h" "o" "q" "r" "x" "z" 1; "d" "e" "x" 1; "e" "q" 2;
"a" "n" 2; "b" "h" 2; "c" "c" "h" "o" "q" "r" "x" "z" 1; "d" "e" "x" 1; "e" "q" 2;
"a" "n" 2; "b" "h" 2; "c" "c" "h" "o" "q" "r" "x" "z" 1; "d" "e" "x" 1; "e" "q" 2;
"a" "n" 2; "b" "h" 2; "c" "c" "h" "o" "q" "r" "x" "z" 1; "d" "e" "x" 1; "e" "q" 2;
"a" "n" 2; "b" "h" 2; "c" "c" "h" "o" "q" "r" "x" "z" 1; "d" "e" "x" 1; "e" "q" 2;
"a" "n" 2; "b" "h" 2; "c" "c" "h" "o" "q" "r" "x" "z" 1; "d" "e" "h" "x" 1; "e" "q" 2;
"a" "n" 2; "b" "h" 2; "c" "c" "h" "o" "q" "r" "x" "z" 1; "d" "e" "h" "x" 1; "e" "q" 2;
"a" "n" 2; "b" "h" 2; "c" "c" "h" "o" "q" "r" "x" "z" 1; "d" "e" "h" "x" 1; "e" "q" 2;
"a" "n" 2; "b" "h" 2; "c" "c" "h" "o" "q" "r" "x" "z" 1; "d" "e" "h" "x" 1; "e" "q" 3;
"a" "n" 2; "b" "h" 2; "c" "c" "h" "o" "q" "r" "x" "z" 1; "d" "e" "h" "x" 1; "e" "q" 3;
