none
none
none
none
none
none
none
none
none
none
"b" "t" 1;
"b" "t" 1;
"b" "t" 1;
"b" "t" 1;
"b" "t" 1;
"b" "t" 1;
"b" "t" 1;
"b" "t" 1;
"b" "t" 1;
"b" "t" 1;
"b" "t" "z" 1;
"b" "t" "z" 1;
"b" "t" "z" 1;
"b" "t" "z" 1;
"b" "t" "z" 1;
"b" "t" "z" 1; "c" "g" "l" 1;
"b" "t" "z" 1; "c" "g" "l" 1;
"b" "t" "z" 1; "c" "g" "l" 1;
"b" "t" "z" 1; "c" "g" "l" 1;
"b" "t" "z" 1; "c" "g" "l" 1;
"b" "t" "z" 1; "c" "g" "l" 1;
"b" "t" "z" 1; "c" "g" "l" 1; "e" "m" 1;
"b" "t" "z" 1; "c" "g" "l" 1; "e" "m" 1;
"a" "o" 1; "b" "t" "z" 1; "c" "g" "l" 1; "e" "m" 1;
"a" "o" 1; "b" "t" "z" 1; "c" "g" "l" 1; "e" "m" 1;
"a" "o" 1; "b" "t" "z" 1; "c" "g" "l" 1; "e" "m" 1;
"a" "o" 1; "b" "t" "z" 1; "c" "g" "l" 1; "d" "l" 1; "e" "m" "z" 1;
"a" "o" 1; "b" "t" "z" 1; "c" "g" "l" "x" 1; "d" "k" "l" 1; "e" "m" "z" 1;
"a" "o" 1; "b" "t" "z" 1; "c" "g" "l" "x" 1; "d" "k" "l" 1; "e" "m" "z" 1;
"a" "o" 1; "b" "t" "z" 1; "c" "g" "l" "x" 1; "d" "k" "l" 1; "e" "m" "z" 1;
"a" "o" 1; "b" "t" "z" 1; "c" "g" "l" "x" 1; "d" "k" "l" 1; "e" "m" "z" 1;
"a" "o" 1; "b" "t" "z" 1; "c" "g" "l" "x" 1; "d" "k" "l" 1; "e" "m" "z" 1;
"a" "o" 1; "b" "p" "t" "z" 1; "c" "g" "l" "x" 1; "d" "k" "l" 1; "e" "m" "z" 1;
"a" "o" 1; "b" "p" "t" "z" 1; "c" "g" "l" "x" 1; "d" "k" "l" 1; "e" "m" "v" "z" 1;
"a" "o" 1; "b" "p" "t" "z" 1; "c" "g" "l" "x" 1; "d" "k" "l" 1; "e" "m" "v" "z" 1;
"a" "o" 1; "b" "p" "t" "z" 1; "c" "g" "l" "x" 1; "d" "k" "l" 1; "e" "m" "v" "z" 1;
"a" "o" 1; "b" "e" "p" "t" "z" 1; "c" "x" 2; "d" "k" "l" 1; "e" "m" "v" "z" 1;
"a" "o" 1; "b" "e" "p" "t" "z" 1; "c" "x" 2; "d" "k" "l" 1; "e" "f" "m" "n" "v" "z" 1;
"a" "h" "o" 1; "b" "e" "p" "t" "z" 1; "c" "x" 2; "d" "k" "l" 1; "e" "f" "m" "n" "v" "z" 1;
"a" "h" "o" 1; "b" "e" "p" "t" "z" 1; "c" "x" 2; "d" "k" "l" 1; "e" "f" "m" "n" "v" "z" 1;
"a" "h" "o" 1; "b" "e" "p" "t" "z" 1; "c" "x" 2; "d" "k" "l" 1; "e" "f" "m" "n" "v" "z" 1;
"a" "h" "o" 1; "b" "e" "p" "t" "z" 1; "c" "x" 2; "d" "k" "l" 1; "e" "f" "m" "n" "v" "z" 1;
"a" "h" "o" 1; "b" "e" "p" "t" "z" 1; "c" "x" 2; "d" "k" "l" 1; "e" "f" "m" "n" "v" "z" 1;
"a" "h" "o" "p" 1; "b" "z" 2; "c" "x" 2; "d" "k" "l" 1; "e" "m" 2;
"a" "h" "o" "p" 1; "b" "z" 2; "c" "x" 2; "d" "k" "l" 1; "e" "m" 2;
"a" "h" "o" "p" 1; "b" "z" 2; "c" "x" 2; "d" "k" "l" 1; "e" "m" 2;
"a" "h" "o" "p" "r" 1; "b" "z" 2; "c" "x" 2; "d" "k" "l" 1; "e" "m" 2;
"a" "h" "o" "p" "r" 1; "b" "z" 2; "c" "x" 2; "d" "k" "l" 1; "e" "m" 2;
"a" "h" "o" "p" "r" 1; "b" "z" 2; "c" "x" 2; "d" "k" "l" 1; "e" "m" 2;
"a" "h" "o" "p" "r" "z" 1; "b" "z" 3; "c" "x" 2; "d" "k" "l" 1; "e" "m" 2;
"a" "h" "o" "p" "r" "z" 1; "b" "z" 3; "c" "x" 2; "d" "k" "l" 1; "e" "m" "z" 2;
"a" "h" "o" "p" "r" "z" 1; "b" "z" 3; "c" "x" 2; "d" "k" "l" "o" 1; "e" "m" "z" 2;
"a" "h" "o" "p" "r" "z" 1; "b" "z" 3; "c" "x" 2; "d" "k" "l" "o" 1; "e" "m" "z" 2;
"a" "h" "o" "p" "r" "z" 1; "b" "z" 3; "c" "x" 2; "d" "k" "l" "o" 1; "e" "m" "z" 2;
"a" "h" "o" "p" "r" "z" 1; "b" "z" 3; "c" "x" 2; "d" "k" "l" "o" 1; "e" "m" "z" 2;
"a" "h" "o" "p" "r" "z" 1; "b" "z" 3; "c" "x" 2; "d" "a" "k" "l" "o" 1; "e" "m" "z" 2;
"a" "h" "o" "p" "q" "r" "z" 1; "b" "z" 3; "c" "x" 2; "d" "a" "k" "l" "o" 1; "e" "m" "z" 2;
"a" "h" "o" "p" "q" "r" "z" 1; "b" "z" 3; "c" "x" 2; "d" "a" "k" "l" "o" 1; "e" "m" "z" 2;
