none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "n" 1;
"d" "n" 1;
"d" "n" 1;
"d" "n" 1;
"a" "l" 1; "d" "n" 1;
"a" "l" 1; "d" "n" 1;
"a" "l" 1; "d" "n" 1;
"a" "l" 1; "d" "n" 1;
"a" "f" "l" 1; "b" "k" 1; "d" "n" 1;
"a" "f" "l" "z" 1; "b" "k" 1; "d" "n" 1;
"a" "f" "l" "z" 1; "b" "k" 1; "d" "n" 1;
"a" "f" "l" "z" 1; "b" "k" 1; "d" "n" 1;
"a" "f" "l" "z" 1; "b" "k" 1; "d" "n" 1;
"a" "f" "l" "z" 1; "b" "i" "k" 1; "c" "e" 1; "d" "n" 1;
"a" "f" "l" "z" 1; "b" "i" "k" 1; "c" "e" 1; "d" "n" 1;
"a" "f" "l" "w" "z" 1; "b" "i" "k" 1; "c" "e" "n" 1; "d" "n" "u" 1; "e" "f" "s" 1;
"a" "f" "l" "w" "z" 1; "b" "i" "k" 1; "c" "e" "n" "u" 1; "d" "n" "u" 1; "e" "f" "s" 1;
"a" "f" "l" "w" "z" 1; "b" "i" "k" 1; "c" "e" "n" "u" 1; "d" "n" "u" 1; "e" "f" "s" 1;
"a" "f" "l" "w" "z" 1; "b" "i" "k" 1; "c" "e" "h" "n" "u" 1; "d" "n" "u" 1; "e" "f" "s" 1;
"a" "f" "l" "m" "w" "z" 1; "b" "i" "k" 1; "c" "e" "h" "n" "u" 1; "d" "i" "n" "u" 1; "e" "f" "s" 1;
"a" "f" "l" "m" "w" "z" 1; "b" "i" "k" 1; "c" "e" "h" "n" "u" 1; "d" "i" "n" "u" 1; "e" "f" "o" "s" 1;
"a" "f" "l" "m" "w" "z" 1; "b" "i" "k" 1; "c" "h" 2; "d" "i" "n" "q" "u" 1; "e" "f" "o" "s" 1;
"a" "f" "l" "m" "w" "z" 1; "b" "i" "k" 1; "c" "h" 2; "d" "i" "n" "q" "u" 1; "e" "f" "o" "s" 1;
"a" "f" "l" "m" "w" "z" 1; "b" "i" "k" 1; "c" "h" 2; "d" "i" "n" "q" "u" 1; "e" "f" "o" "s" 1;
"a" "l" 2; "b" "i" "k" 1; "c" "h" 2; "d" "i" "k" "n" "q" "u" 1; "e" "o" 2;
"a" "l" 2; "b" "i" "k" 1; "c" "h" 2; "d" "i" "k" "n" "q" "u" 1; "e" "o" 2;
"a" "l" 2; "b" "i" "k" 1; "c" "h" 2; "d" "i" "k" "n" "q" "u" 1; "e" "o" 2;
"a" "l" 2; "b" "i" "k" 1; "c" "h" 2; "d" "i" "k" "n" "q" "u" 1; "e" "o" 2;
"a" "l" 2; "b" "i" "k" 1; "c" "h" 2; "d" "i" "k" "n" "q" "u" 1; "e" "o" 2;
"a" "l" 2; "b" "i" "k" 1; "c" "h" "n" 2; "d" "i" "k" "n" "q" "u" 1; "e" "o" 2;
"a" "l" 2; "b" "i" "k" 1; "c" "h" "n" 2; "d" "i" "k" "n" "q" "u" 1; "e" "o" 2;
"a" "l" 2; "b" "i" "k" 1; "c" "h" "n" 2; "d" "i" "k" "n" "q" "u" 1; "e" "o" 3;
"a" "l" 2; "b" "i" "k" 1; "c" "h" "n" 2; "d" "i" "k" "n" "q" "u" 1; "e" "o" 3;
"a" "l" 2; "b" "i" "k" 1; "c" "h" "n" 2; "d" "i" "k" "n" "q" "s" "u" 1; "e" "o" 3;
"a" "l" 2; "b" "i" "k" 1; "c" "h" "n" 2; "d" "i" "k" "n" "q" "s" "u" 1; "e" "o" 3;
"a" "l" 2; "b" "i" "k" 1; "c" "h" "n" 2; "d" "i" "k" "n" "q" "s" "u" 1; "e" "o" 3;
"a" "l" 2; "b" "i" "k" 1; "c" "h" "n" 2; "d" "q" 2; "e" "o" 3;
"a" "l" 2; "b" "i" "k" 1; "c" "h" "n" 2; "d" "q" 2; "e" "o" 3;
"a" "l" 2; "b" "i" "k" 1; "c" "h" "n" 2; "d" "q" 2; "e" "o" 3;
"a" "l" 2; "b" "i" "k" 1; "c" "h" "n" 2; "d" "q" 2; "e" "o" 3;
