none
none
none
none
none
none
"e" "u" 1;
"e" "u" 1;
"e" "u" 1;
"e" "u" 1;
"e" "u" 1;
"a" "b" 1; "e" "u" 1;
"a" "b" 1; "e" "u" 1;
"a" "b" 1; "e" "u" 1;
"a" "b" 1; "e" "u" 1;
"a" "b" 1; "e" "q" "u" 1;
"a" "b" 1; "e" "q" "u" 1;
"a" "b" 1; "d" "i" 1; "e" "q" "u" 1;
"a" "b" 1; "d" "i" 1; "e" "q" "u" 1;
"a" "b" 1; "d" "i" "k" 1; "e" "q" "u" 1;
"a" "b" 1; "d" "i" "k" 1; "e" "q" "u" 1;
"a" "b" 1; "d" "i" "k" 1; "e" "q" "u" 1;
"a" "b" 1; "d" "i" "k" 1; "e" "q" "u" 1;
"a" "b" 1; "d" "i" "k" 1; "e" "q" "u" 1;
"a" "b" 1; "d" "i" "k" 1; "e" "q" "u" 1;
"a" "b" 1; "d" "i" "k" 1; "e" "q" "u" 1;
"a" "b" 1; "d" "i" "k" 1; "e" "q" "u" 1;
"a" "b" 1; "d" "i" "k" 1; "e" "q" "u" 1;
"a" "b" 1; "d" "i" "k" 1; "e" "q" "u" 1;
"a" "b" 1; "d" "i" "k" 1; "e" "q" "u" 1;
"a" "b" 1; "b" "f" 1; "d" "i" "k" 1; "e" "q" "u" 1;
"a" "b" 1; "b" "f" 1; "d" "i" "k" 1; "e" "q" "u" 1;
"a" "b" 1; "b" "f" 1; "d" "i" "k" 1; "e" "q" "u" 1;
"a" "b" 1; "b" "f" 1; "d" "f" "i" "k" 1; "e" "q" "u" 1;
"a" "b" 1; "b" "f" 1; "c" "a" 1; "d" "f" "i" "k" 1; "e" "q" "u" 1;
"a" "b" 1; "b" "f" 1; "c" "a" "b" 1; "d" "f" "i" "k" 1; "e" "b" "q" "u" 1;
"a" "b" 1; "b" "f" 1; "c" "a" "b" 1; "d" "f" "i" "k" 1; "e" "b" "q" "u" 1;
"a" "b" "d" "n" 1; "b" "f" 1; "c" "a" "b" 1; "d" "f" "i" "k" 1; "e" "b" "q" "u" 1;
"a" "b" "d" "n" 1; "b" "f" 1; "c" "a" "b" 1; "d" "f" "i" "k" 1; "e" "b" "q" "u" 1;
"a" "b" "d" "n" 1; "b" "f" 1; "c" "a" "b" 1; "d" "f" "i" "k" 1; "e" "b" "q" "u" 1;
"a" "b" "d" "n" 1; "b" "f" 1; "c" "a" "b" 1; "d" "f" "i" "k" 1; "e" "b" "q" "u" 1;
"a" "b" "d" "n" 1; "b" "f" "q" 1; "c" "a" "b" 1; "d" "f" "i" "k" 1; "e" "b" "q" "u" 1;
"a" "n" 2; "b" "f" "n" "q" 1; "c" "a" "b" 1; "d" "c" "f" "i" "k" 1; "e" "b" "q" "u" 1;
"a" "n" 2; "b" "f" "n" "q" 1; "c" "a" "b" 1; "d" "c" "f" "i" "k" 1; "e" "b" "q" "u" 1;
"a" "n" 2; "b" "f" "n" "q" 1; "c" "b" 2; "d" "c" "f" "i" "k" 1; "e" "b" "q" "u" 1;
"a" "n" 2; "b" "f" "h" "k" "n" "q" 1; "c" "b" 2; "d" "b" "c" "f" "i" "k" "o" "v" 1; "e" "b" "q" "u" 1;
"a" "n" 2; "b" "f" "h" "k" "n" "q" 1; "c" "b" 2; "d" "b" "c" "f" "i" "k" "o" "v" 1; "e" "b" "q" "u" 1;
