none
none
none
none
none
none
none
"c" "j" 1;
"c" "j" 1;
"c" "j" 1;
"c" "j" 1;
"c" "j" 1;
"c" "j" 1; "d" "g" 1;
"c" "j" 1; "d" "g" 1;
"c" "j" 1; "d" "g" 1;
"c" "j" 1; "d" "g" 1;
"b" "r" 1; "c" "j" 1; "d" "g" 1;
"b" "r" 1; "c" "j" 1; "d" "g" 1;
"b" "r" 1; "c" "j" 1; "d" "g" 1;
"b" "r" 1; "c" "j" "r" 1; "d" "g" 1;
"b" "r" 1; "c" "j" "r" 1; "d" "g" 1;
"b" "r" 1; "c" "j" "r" "s" 1; "d" "g" 1;
"b" "r" 1; "c" "j" "r" "s" 1; "d" "g" 1;
"b" "r" 1; "c" "j" "r" "s" 1; "d" "g" 1;
"b" "r" 1; "c" "j" "r" "s" 1; "d" "g" 1;
"b" "r" 1; "c" "j" "r" "s" 1; "d" "g" 1;
"b" "r" 1; "c" "j" "r" "s" 1; "d" "g" 1;
"b" "r" 1; "c" "j" "r" "s" 1; "d" "g" "r" 1;
"b" "r" 1; "c" "j" "r" "s" 1; "d" "g" "r" 1;
"b" "r" 1; "c" "j" "r" "s" 1; "d" "g" "r" 1;
"b" "r" 1; "c" "j" "r" "s" 1; "d" "g" "r" 1;
"b" "r" 1; "c" "j" "r" "s" "v" 1; "d" "g" "r" 1;
"b" "r" 1; "c" "j" "r" "s" "v" 1; "d" "g" "r" 1; "e" "x" 1;
"b" "r" 1; "c" "j" "r" "s" "v" 1; "d" "g" "r" 1; "e" "x" 1;
"b" "r" 1; "c" "j" "r" "s" "v" 1; "d" "g" "r" 1; "e" "x" 1;
"b" "r" 1; "c" "j" "r" "s" "v" 1; "d" "g" "r" 1; "e" "x" 1;
"b" "r" 1; "c" "j" "r" "s" "v" 1; "d" "g" "r" 1; "e" "x" 1;
"b" "r" 1; "c" "j" "r" "s" "v" 1; "d" "g" "r" 1; "e" "x" 1;
"b" "r" 1; "c" "j" "r" "s" "v" 1; "d" "g" "r" 1; "e" "x" 1;
"b" "r" 1; "c" "j" "r" "s" "v" 1; "d" "g" "r" 1; "e" "x" 1;
"b" "r" 1; "c" "j" "r" "s" "v" "x" 1; "d" "g" "r" 1; "e" "x" 1;
"b" "r" 1; "c" "j" "r" "s" "v" "x" 1; "d" "g" "r" 1; "e" "x" 1;
"b" "r" 1; "c" "j" "r" "s" "v" "x" 1; "d" "g" "r" 1; "e" "x" 1;
"b" "p" "r" 1; "c" "j" "r" "s" "v" "x" 1; "d" "g" "r" 1; "e" "x" 1;
"b" "p" "r" 1; "c" "j" "r" "s" "v" "x" 1; "d" "g" "r" 1; "e" "e" "x" 1;
"a" "m" 1; "b" "p" "r" "v" 1; "c" "j" "r" "s" "v" "x" 1; "d" "c" "d" "g" "i" "k" "r" 1; "e" "e" "x" 1;
"a" "d" "m" 1; "b" "p" "r" "v" 1; "c" "j" "r" "s" "v" "x" 1; "d" "c" "d" "g" "i" "k" "r" 1; "e" "e" "x" 1;
"a" "d" "m" 1; "b" "p" "r" "v" 1; "c" "j" "r" "s" "v" "x" 1; "d" "c" "d" "g" "i" "k" "r" 1; "e" "e" "x" 1;
"a" "d" "m" 1; "b" "p" "r" "v" 1; "c" "j" "r" "s" "v" "x" 1; "d" "c" "d" "g" "i" "k" "r" 1; "e" "e" "x" 1;
"a" "d" "m" 1; "b" "p" "r" "v" 1; "c" "j" "r" "s" "v" "x" 1; "d" "c" "d" "g" "i" "k" "r" 1; "e" "e" "x" 1;
"a" "d" "m" 1; "b" "p" "r" "v" 1; "c" "j" "r" "s" "v" "x" 1; "d" "c" "d" "g" "i" "k" "r" 1; "e" "e" "x" 1;
"a" "d" "m" 1; "b" "p" "q" "r" "v" 1; "c" "j" "r" "s" "v" "x" 1; "d" "c" "d" "g" "i" "k" "r" 1; "e" "e" "x" 1;
"a" "d" "m" 1; "b" "f" "p" "q" "r" "v" 1; "c" "j" "r" "s" "v" "x" 1; "d" "c" "d" "g" "i" "k" "r" 1; "e" "e" "x" 1;
"a" "d" "m" 1; "b" "f" "p" "q" "r" "v" 1; "c" "j" "r" "s" "v" "x" 1; "d" "c" "d" "g" "i" "k" "r" 1; "e" "e" "x" 1;
"a" "d" "m" "v" 1; "b" "f" "p" "q" "r" "v" 1; "c" "j" "q" "r" "s" "v" "x" 1; "d" "c" "d" "g" "i" "k" "r" 1; "e" "e" 2;
"a" "d" "m" "v" 1; "b" "f" "p" "q" "r" "v" 1; "c" "j" "q" "r" "s" "v" "x" 1; "d" "c" "d" "g" "i" "k" "r" 1; "e" "e" 2;
"a" "d" "m" "v" 1; "b" "f" "p" "q" "r" "v" 1; "c" "j" "q" "r" "s" "v" "x" 1; "d" "c" "d" "g" "i" "k" "r" 1; "e" "e" 2;
"a" "d" "m" "v" 1; "b" "f" "p" "q" "r" "v" 1; "c" "j" "q" "r" "s" "v" "x" 1; "d" "c" "d" "g" "i" "k" "r" 1; "e" "e" 2;
"a" "d" "e" "m" "v" 1; "b" "f" "p" "q" "r" "v" 1; "c" "j" "q" "r" "s" "v" "x" 1; "d" "c" "d" "g" "i" "k" "r" 1; "e" "e" 2;
