none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "b" 1;
"d" "b" 1;
"d" "b" "h" 1;
"d" "b" "h" 1;
"d" "b" "h" 1;
"d" "b" "h" 1;
"d" "b" "h" 1;
"d" "b" "h" 1;
"d" "b" "h" 1;
"d" "b" "h" 1;
"d" "b" "h" 1;
"d" "b" "h" 1;
"c" "k" 1; "d" "b" "h" 1;
"c" "k" 1; "d" "b" "h" 1;
"c" "k" 1; "d" "b" "h" 1;
"c" "k" 1; "d" "b" "h" 1;
"c" "k" 1; "d" "b" "h" 1;
"c" "k" 1; "d" "b" "h" 1;
"c" "k" 1; "d" "b" "h" 1;
"c" "k" 1; "d" "b" "h" 1;
"c" "d" "k" 1; "d" "b" "h" 1;
"c" "d" "k" 1; "d" "b" "h" 1;
"c" "d" "k" 1; "d" "b" "h" 1;
"c" "d" "k" 1; "d" "b" "h" 1;
"c" "f" 2; "d" "b" "h" 1;
"c" "f" 2; "d" "b" "h" 1; "e" "l" 1;
"c" "f" 2; "d" "b" "h" 1; "e" "l" 1;
"c" "f" 2; "d" "b" "h" 1; "e" "l" 1;
"c" "f" 2; "d" "b" "h" 1; "e" "l" 1;
"c" "f" 2; "d" "b" "h" 1; "e" "l" 1;
"c" "f" 2; "d" "b" "d" "h" 1; "e" "j" "l" "o" "v" 1;
"c" "f" 2; "d" "b" "d" "h" 1; "e" "j" "l" "o" "v" 1;
"c" "f" 2; "d" "b" "d" "h" 1; "e" "j" "l" "o" "v" 1;
"c" "f" 2; "d" "b" "d" "h" 1; "e" "j" "l" "o" "v" 1;
"c" "f" 2; "d" "b" "d" "h" 1; "e" "j" "l" "o" "v" 1;
"a" "f" "q" 1; "c" "f" 2; "d" "b" "d" "h" 1; "e" "v" 2;
"a" "f" "h" "q" 1; "c" "f" 2; "d" "b" "d" "h" 1; "e" "v" 2;
"a" "f" "h" "q" 1; "b" "v" 1; "c" "f" 2; "d" "b" "d" "h" 1; "e" "v" 2;
"a" "f" "h" "q" 1; "b" "f" "v" 1; "c" "f" 2; "d" "b" "d" "h" 1; "e" "v" 2;
"a" "f" "h" "q" 1; "b" "f" "v" 1; "c" "f" 2; "d" "b" "d" "h" 1; "e" "v" 2;
"a" "f" "h" "q" 1; "b" "f" "v" 1; "c" "f" 2; "d" "b" "d" "h" 1; "e" "v" 2;
"a" "f" "h" "q" 1; "b" "f" "v" "w" 1; "c" "f" 2; "d" "b" "d" "h" 1; "e" "v" 2;
"a" "f" "h" "q" 1; "b" "f" "v" "w" 1; "c" "f" 2; "d" "b" "d" "h" 1; "e" "v" 2;
"a" "f" "h" "q" 1; "b" "a" "f" "v" "w" 1; "c" "f" 2; "d" "b" "d" "h" 1; "e" "v" 2;
"a" "f" "h" "q" 1; "b" "a" "f" "v" "w" 1; "c" "f" 2; "d" "b" "d" "h" 1; "e" "v" 2;
"a" "f" "h" "q" 1; "b" "a" "f" "p" "v" "w" 1; "c" "f" 2; "d" "b" "d" "h" 1; "e" "v" 2;
"a" "f" "h" "q" 1; "b" "a" "f" "p" "v" "w" 1; "c" "f" 2; "d" "b" "d" "h" 1; "e" "v" 2;
"a" "f" "h" "q" 1; "b" "a" "f" "p" "v" "w" 1; "c" "f" 2; "d" "b" "d" "h" 1; "e" "v" 2;
"a" "f" "h" "q" "u" 1; "b" "a" "f" "p" "v" "w" 1; "c" "f" 2; "d" "h" 2; "e" "v" 2;
"a" "f" "h" "q" "u" 1; "b" "a" "f" "p" "v" "w" 1; "c" "f" 2; "d" "h" 2; "e" "v" 2;
"a" "f" "h" "q" "u" 1; "b" "a" "f" "p" "v" "w" 1; "c" "f" 2; "d" "h" 2; "e" "v" 2;
