none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "h" "u" 1;
"d" "h" "u" 1;
"d" "h" "u" 1;
"d" "h" "u" 1;
"d" "h" "u" 1;
"d" "h" "u" 1;
"d" "h" "u" 1;
"d" "h" "u" 1; "e" "n" 1;
"d" "h" "u" 1; "e" "n" 1;
"d" "h" "u" 1; "e" "n" 1;
"d" "h" "u" 1; "e" "n" 1;
"d" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "d" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "d" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "d" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "d" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "d" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "d" "c" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "d" "c" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "d" "c" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "b" "f" 1; "d" "c" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "b" "f" 1; "d" "c" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "b" "f" "j" 1; "d" "c" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "b" "f" "j" 1; "d" "c" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "b" "f" "j" 1; "d" "c" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "b" "f" "g" "j" 1; "d" "c" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "b" "f" "g" "j" 1; "d" "c" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "b" "f" "g" "j" 1; "d" "c" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "b" "f" "g" "j" 1; "d" "c" "h" "u" 1; "e" "n" 1;
"a" "b" 1; "b" "f" "g" "j" 1; "d" "c" "h" "u" 1; "e" "n" "y" 1;
"a" "b" 1; "b" "f" "g" "j" 1; "c" "g" 1; "d" "c" "h" "u" 1; "e" "n" "y" 1;
"a" "b" 1; "b" "f" "g" "j" 1; "c" "g" 1; "d" "c" "h" "u" 1; "e" "n" "y" 1;
"a" "b" 1; "b" "f" "g" "j" 1; "c" "g" 1; "d" "c" "h" "u" 1; "e" "n" "y" 1;
"a" "b" 1; "b" "c" "f" "g" "j" "k" 1; "c" "e" "g" 1; "d" "c" "h" "u" 1; "e" "n" "y" 1;
"a" "b" 1; "b" "c" "f" "g" "j" "k" 1; "c" "e" "g" 1; "d" "c" "e" "h" "u" 1; "e" "n" "y" 1;
"a" "b" 1; "b" "c" "f" "g" "j" "k" 1; "c" "e" "g" 1; "d" "c" "e" "h" "u" 1; "e" "n" "y" 1;
"a" "b" 1; "b" "c" "f" "g" "j" "k" 1; "c" "e" "g" 1; "d" "c" "e" "h" "u" 1; "e" "n" "y" 1;
"a" "b" 1; "b" "c" "f" "g" "j" "k" 1; "c" "e" "g" 1; "d" "c" "e" "h" "u" 1; "e" "n" "y" 1;
"a" "b" 1; "b" "c" "f" "g" "j" "k" 1; "c" "e" "g" 1; "d" "c" "e" "h" "u" 1; "e" "n" "y" 1;
"a" "b" 1; "b" "c" "f" "g" "j" "k" 1; "c" "e" "g" 1; "d" "c" "e" "h" "u" 1; "e" "n" "y" 1;
"a" "b" 1; "b" "c" "f" "g" "j" "k" 1; "c" "e" "g" 1; "d" "c" "e" "h" "u" 1; "e" "n" "y" 1;
"a" "b" "e" "f" 1; "b" "c" "f" "g" "j" "k" 1; "c" "e" "g" "o" 1; "d" "c" "e" "h" "u" 1; "e" "n" "v" "y" 1;
"a" "b" "e" "f" 1; "b" "c" "f" "g" "j" "k" 1; "c" "e" "g" "o" 1; "d" "c" "e" "h" "u" 1; "e" "n" "v" "y" 1;
