none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "i" 1;
"d" "i" 1;
"d" "i" 1;
"b" "r" 1; "d" "i" 1;
"b" "r" 1; "c" "q" 1; "d" "i" 1;
"b" "r" 1; "c" "q" 1; "d" "i" 1;
"a" "h" "r" 1; "b" "r" 1; "c" "q" 1; "d" "i" 1;
"a" "h" "r" 1; "b" "r" 1; "c" "q" 1; "d" "i" 1; "e" "q" "y" 1;
"a" "h" "r" 1; "b" "r" 1; "c" "q" 1; "d" "i" 1; "e" "q" "y" 1;
"a" "h" "r" 1; "b" "r" 1; "c" "q" 1; "d" "i" 1; "e" "q" "y" 1;
"a" "h" "r" 1; "b" "r" 1; "c" "q" 1; "d" "i" 1; "e" "q" "y" 1;
"a" "h" "r" 1; "b" "r" 1; "c" "q" 1; "d" "i" 1; "e" "q" "y" 1;
"a" "h" "r" 1; "b" "r" 1; "c" "q" 1; "d" "i" 1; "e" "q" "y" 1;
"a" "h" "r" 1; "b" "r" 1; "c" "q" 1; "d" "i" 1; "e" "q" "y" 1;
"a" "h" "r" 1; "b" "r" 1; "c" "q" 1; "d" "i" 1; "e" "q" "y" 1;
"a" "h" "r" 1; "b" "r" 1; "c" "q" 1; "d" "i" 1; "e" "q" "y" 1;
"a" "h" "r" 1; "b" "r" 1; "c" "q" 1; "d" "i" 1; "e" "q" "y" 1;
"a" "h" "r" 1; "b" "r" 1; "c" "q" 1; "d" "i" 1; "e" "q" "s" "y" 1;
"a" "h" "r" 1; "b" "o" "r" 1; "c" "q" 1; "d" "i" 1; "e" "q" "s" "y" 1;
"a" "h" "r" 1; "b" "o" "r" 1; "c" "q" 1; "d" "i" 1; "e" "q" "s" "y" 1;
"a" "h" "o" "r" 1; "b" "m" "o" "r" 1; "c" "c" "i" "q" 1; "d" "i" "k" 1; "e" "q" "s" "y" 1;
"a" "h" "o" "r" 1; "b" "m" "o" "r" 1; "c" "c" "i" "q" 1; "d" "i" "k" 1; "e" "q" "s" "y" 1;
"a" "h" "o" "r" 1; "b" "m" "o" "r" 1; "c" "c" "i" "q" 1; "d" "i" "k" 1; "e" "q" "s" "y" 1;
"a" "h" "o" "r" 1; "b" "m" "o" "r" 1; "c" "c" "i" "q" 1; "d" "i" "k" 1; "e" "q" "s" "y" 1;
"a" "h" "o" "r" 1; "b" "m" "o" "r" 1; "c" "c" "i" "q" 1; "d" "i" "k" 1; "e" "q" "s" "y" 1;
"a" "h" "o" "r" 1; "b" "m" "o" "r" 1; "c" "c" "i" "q" 1; "d" "i" "k" 1; "e" "q" "s" "y" 1;
"a" "h" "o" "r" 1; "b" "m" "o" "r" 1; "c" "c" "i" "q" 1; "d" "i" "k" 1; "e" "q" "s" "y" 1;
"a" "h" "o" "r" 1; "b" "m" "o" "r" 1; "c" "c" "i" "q" 1; "d" "i" "k" 1; "e" "q" "s" "y" 1;
"a" "h" "o" "r" 1; "b" "m" "o" "q" "r" 1; "c" "c" "i" "q" 1; "d" "i" "k" 1; "e" "q" "s" "y" 1;
"a" "h" "o" "r" 1; "b" "m" "o" "q" "r" 1; "c" "c" "i" "q" 1; "d" "i" "k" 1; "e" "q" "s" "y" 1;
"a" "h" "o" "r" 1; "b" "m" "o" "q" "r" 1; "c" "c" "i" "q" 1; "d" "i" "k" 1; "e" "q" "s" "y" 1;
"a" "h" "o" "r" 1; "b" "m" "o" "q" "r" 1; "c" "c" "i" "q" 1; "d" "i" "k" 1; "e" "q" "s" "y" 1;
