none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "m" 1;
"a" "m" 1; "b" "n" 1;
"a" "m" 1; "b" "n" 1;
"a" "m" 1; "b" "n" "v" 1;
"a" "m" 1; "b" "n" "v" 1;
"a" "m" 1; "b" "n" "v" 1; "c" "c" 1;
"a" "m" 1; "b" "n" "v" 1; "c" "c" 1;
"a" "m" 1; "b" "n" "v" 1; "c" "c" 1;
"a" "m" 1; "b" "n" "v" 1; "c" "c" 1;
"a" "m" 1; "b" "m" "n" "v" 1; "c" "c" 1;
"a" "m" 1; "b" "m" "n" "v" 1; "c" "c" 1;
"a" "m" 1; "b" "m" "n" "v" 1; "c" "c" 1;
"a" "m" 1; "b" "m" "n" "v" 1; "c" "c" 2;
"a" "m" 1; "b" "m" "n" "v" 1; "c" "c" 2;
"a" "m" 1; "b" "m" "n" "v" 1; "c" "c" 2;
"a" "m" 1; "b" "m" "n" "v" 1; "c" "c" 2;
"a" "m" 1; "b" "m" "n" "v" 1; "c" "c" 2;
"a" "m" 1; "b" "m" "n" "v" 1; "c" "c" 2;
"a" "m" 1; "b" "m" "n" "v" 1; "c" "c" 2;
"a" "m" 1; "b" "m" "n" "v" 1; "c" "c" 2;
"a" "m" 1; "b" "m" "n" "v" 1; "c" "c" 2;
"a" "m" 1; "b" "m" "n" "v" 1; "c" "c" 2;
"a" "m" 1; "b" "m" "n" "v" 1; "c" "c" 2;
"a" "m" 1; "b" "m" "n" "v" 1; "c" "c" 2;
"a" "m" 1; "b" "m" "n" "v" 1; "c" "c" 2; "e" "g" 1;
"a" "m" 1; "b" "m" "n" "v" 1; "c" "c" 2; "e" "g" 1;
"a" "m" 1; "b" "k" "m" "n" "v" 1; "c" "c" 2; "e" "g" 1;
"a" "m" 1; "b" "k" "m" "n" "v" 1; "c" "c" 2; "e" "g" 1;
"a" "m" 1; "b" "k" "m" "n" "v" 1; "c" "c" 2; "e" "g" 1;
"a" "m" 1; "b" "k" "m" "n" "v" 1; "c" "c" 2; "e" "g" 1;
"a" "m" 1; "b" "k" "m" "n" "v" 1; "c" "c" 2; "e" "g" 1;
"a" "m" 1; "b" "k" "m" "n" "v" 1; "c" "c" 3; "e" "g" 1;
"a" "m" 1; "b" "k" "m" "n" "v" 1; "c" "c" 3; "e" "g" 1;
"a" "m" 1; "b" "k" "l" "m" "n" "t" "v" 1; "c" "c" 3; "d" "j" 1; "e" "g" "j" 1;
"a" "m" 1; "b" "n" 2; "c" "c" 3; "d" "j" 1; "e" "g" "j" 1;
"a" "m" 1; "b" "n" 2; "c" "c" 3; "d" "a" "j" 1; "e" "g" "j" 1;
"a" "m" 1; "b" "n" 2; "c" "c" 3; "d" "a" "j" 1; "e" "g" "j" 1;
"a" "m" 1; "b" "n" 2; "c" "c" 3; "d" "a" "j" 1; "e" "g" "j" 1;
"a" "m" 1; "b" "n" 2; "c" "c" 3; "d" "a" "j" 1; "e" "g" "j" 1;
"a" "m" 1; "b" "n" 2; "c" "c" 3; "d" "a" "j" 1; "e" "g" "j" 1;
"a" "m" 1; "b" "n" 2; "c" "c" 3; "d" "a" "j" 1; "e" "g" "j" 1;
"a" "m" 1; "b" "n" 2; "c" "c" 3; "d" "a" "j" 1; "e" "g" "j" 1;
"a" "m" 1; "b" "n" 2; "c" "c" 3; "d" "a" "j" 1; "e" "g" "j" 1;
"a" "m" 1; "b" "n" 2; "c" "c" 3; "d" "a" "j" 1; "e" "g" "j" 1;
"a" "m" 1; "b" "n" 2; "c" "c" 3; "d" "a" "j" 1; "e" "g" "j" 1;
"a" "m" 1; "b" "n" 2; "c" "c" 3; "d" "a" "j" 1; "e" "g" "j" 1;
"a" "m" 1; "b" "n" 2; "c" "c" 3; "d" "a" "j" 1; "e" "g" "j" 1;
"a" "l" "m" 1; "b" "n" 2; "c" "c" 3; "d" "a" "j" 1; "e" "g" "j" 1;
"a" "l" "m" 1; "b" "n" 2; "c" "c" 3; "d" "a" "j" 1; "e" "g" "j" 1;
"a" "l" "m" "y" 1; "b" "n" 2; "c" "c" 3; "d" "a" "j" 1; "e" "g" 2;
"a" "l" "m" "y" 1; "b" "n" 2; "c" "c" 3; "d" "a" "j" 1; "e" "g" 2;
"a" "l" "m" "y" 1; "b" "n" 2; "c" "c" 3; "d" "a" "j" 1; "e" "g" 2;
"a" "l" "m" "y" 1; "b" "n" 2; "c" "c" 3; "d" "a" "j" 1; "e" "g" 2;
"a" "l" "m" "y" 1; "b" "n" 2; "c" "c" 3; "d" "a" "j" 1; "e" "g" 2;
