none
none
none
none
none
none
"d" "v" 1;
"d" "v" 1;
"d" "v" 1;
"d" "v" 1;
"d" "v" 1;
"d" "q" "v" 1;
"d" "q" "v" 1;
"d" "q" "v" 1; "e" "e" 1;
"d" "q" "v" 1; "e" "e" 1;
"c" "b" 1; "d" "q" "v" 1; "e" "e" 1;
"c" "b" 1; "d" "q" "v" 1; "e" "e" 1;
"c" "b" "h" 1; "d" "q" "v" 1; "e" "e" 1;
"c" "b" "h" 1; "d" "q" "v" 1; "e" "e" 1;
"c" "b" "h" 1; "d" "q" "v" 1; "e" "e" 1;
"c" "b" "h" 1; "d" "q" "v" 1; "e" "e" 1;
"c" "b" "h" 1; "d" "q" "v" 1; "e" "e" 1;
"c" "a" "b" "h" 1; "d" "q" "v" 1; "e" "e" 1;
"c" "a" "b" "h" 1; "d" "m" "q" "v" 1; "e" "b" "e" 1;
"c" "a" "b" "h" 1; "d" "m" "q" "v" 1; "e" "b" "e" 1;
"c" "h" 2; "d" "j" "m" "q" "v" 1; "e" "b" "e" 1;
"b" "c" 1; "c" "h" 2; "d" "j" "m" "n" "q" "v" 1; "e" "b" "e" 1;
"b" "c" 1; "c" "h" 2; "d" "j" "m" "n" "q" "v" 1; "e" "b" "e" 1;
"a" "b" 1; "b" "c" 1; "c" "h" 2; "d" "v" 2; "e" "a" "b" "e" 1;
"a" "b" "e" "q" 1; "b" "c" 1; "c" "h" 2; "d" "q" "v" 2; "e" "a" "b" "e" 1;
"a" "b" "e" "q" 1; "b" "c" "w" 1; "c" "h" 2; "d" "q" "v" 2; "e" "a" "b" "e" 1;
"a" "b" "c" "e" "q" 1; "b" "c" "w" 1; "c" "h" 2; "d" "q" "v" 2; "e" "a" "b" "e" 1;
"a" "b" "c" "e" "q" 1; "b" "c" "w" 1; "c" "h" 2; "d" "q" "v" 2; "e" "a" "b" "e" 1;
"a" "b" "c" "e" "q" 1; "b" "c" "w" 1; "c" "h" 2; "d" "q" "v" 2; "e" "a" "b" "e" 1;
"a" "b" "c" "e" "q" 1; "b" "c" "w" 1; "c" "h" 2; "d" "q" "v" 2; "e" "a" "b" "e" 1;
"a" "b" "c" "e" "q" 1; "b" "c" "g" "w" 1; "c" "h" 2; "d" "q" "v" 2; "e" "a" "b" "e" "u" 1;
"a" "b" "c" "e" "q" 1; "b" "c" "g" "w" 1; "c" "h" 2; "d" "q" "v" 2; "e" "a" "b" "e" "u" 1;
"a" "b" "c" "e" "q" 1; "b" "c" "g" "w" 1; "c" "h" 2; "d" "q" "v" 2; "e" "a" "b" "e" "u" 1;
"a" "b" "c" "e" "q" 1; "b" "c" "g" "w" 1; "c" "h" 2; "d" "q" "v" 2; "e" "a" "b" "e" "u" 1;
"a" "b" "c" "e" "q" 1; "b" "c" "g" "w" 1; "c" "h" 2; "d" "q" "v" 2; "e" "a" "b" "e" "u" 1;
"a" "b" "c" "e" "q" 1; "b" "c" "g" "w" 1; "c" "h" 2; "d" "q" "v" 2; "e" "a" "b" "e" "s" "u" 1;
"a" "b" "c" "e" "q" 1; "b" "c" "g" "w" 1; "c" "h" 2; "d" "n" "q" "v" 2; "e" "a" "b" "e" "s" "u" 1;
"a" "b" "c" "e" "q" 1; "b" "c" "g" "w" 1; "c" "h" 2; "d" "n" "q" "v" 2; "e" "a" "b" "e" "s" "u" 1;
"a" "b" "c" "e" "q" 1; "b" "c" "g" "w" 1; "c" "h" 2; "d" "n" "q" "v" 2; "e" "a" "b" "e" "s" "u" 1;
"a" "b" "c" "e" "q" 1; "b" "c" "g" "w" 1; "c" "h" 2; "d" "n" "q" "v" 2; "e" "a" "b" "e" "s" "u" 1;
"a" "b" "c" "e" "q" 1; "b" "c" "g" "w" 1; "c" "h" 2; "d" "n" "q" "v" 2; "e" "a" "b" "e" "s" "u" 1;
