none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "j" 1;
"a" "j" 1;
"a" "j" 1;
"a" "j" 1; "d" "p" 1;
"a" "j" 1; "d" "p" 1;
"a" "j" 1; "d" "p" 1;
"a" "j" 1; "d" "p" 1;
"a" "j" 1; "d" "p" 1;
"a" "j" 1; "c" "j" 1; "d" "p" 1;
"a" "j" 1; "c" "j" 1; "d" "p" 1;
"a" "j" 1; "c" "j" 1; "d" "p" 1;
"a" "j" 1; "c" "j" 1; "d" "p" 1;
"a" "j" 1; "c" "j" 1; "d" "p" 1; "e" "b" 1;
"a" "j" 1; "c" "j" 1; "d" "p" 1; "e" "b" 1;
"a" "j" 1; "c" "j" 1; "d" "p" 1; "e" "b" 1;
"a" "j" 1; "c" "j" 1; "d" "p" 1; "e" "b" 1;
"a" "j" 1; "b" "j" 1; "c" "j" 1; "d" "i" "p" 1; "e" "b" 1;
"a" "j" 1; "b" "j" 1; "c" "j" "o" 1; "d" "i" "p" 1; "e" "b" 1;
"a" "j" 1; "b" "j" 1; "c" "j" "o" 1; "d" "i" "p" 1; "e" "b" 1;
"a" "j" "s" 1; "b" "j" 1; "c" "j" "o" 1; "d" "p" 2; "e" "b" "o" 1;
"a" "j" "s" 1; "b" "j" 1; "c" "j" "o" 1; "d" "p" 2; "e" "b" "o" 1;
"a" "j" "s" 1; "b" "j" 1; "c" "j" "o" 1; "d" "p" 2; "e" "b" "o" 1;
"a" "j" "s" 1; "b" "j" 1; "c" "j" "o" 1; "d" "p" 2; "e" "b" "o" 1;
"a" "j" "s" 1; "b" "j" 1; "c" "j" "o" 1; "d" "p" 2; "e" "b" "o" 1;
"a" "j" "s" 1; "b" "j" 1; "c" "j" "o" 1; "d" "p" 2; "e" "b" "o" 1;
"a" "j" "s" "z" 1; "b" "j" 1; "c" "j" "o" 1; "d" "p" 2; "e" "b" "o" "s" 1;
"a" "j" "s" "z" 1; "b" "j" 1; "c" "j" "o" 1; "d" "p" 2; "e" "b" "o" "s" 1;
"a" "j" "s" "z" 1; "b" "j" 1; "c" "j" "o" 1; "d" "p" 2; "e" "b" "o" "s" 1;
"a" "j" "s" "z" 1; "b" "j" 1; "c" "j" "o" 1; "d" "p" 2; "e" "b" "o" "s" 1;
"a" "j" "s" "z" 1; "b" "j" "u" 1; "c" "j" "o" 1; "d" "p" 2; "e" "b" "o" "s" 1;
"a" "j" "s" "z" 1; "b" "j" "u" 1; "c" "j" "o" 1; "d" "p" 2; "e" "b" "o" "s" 1;
"a" "j" "s" "z" 1; "b" "j" "u" 1; "c" "j" "o" 1; "d" "p" 2; "e" "b" "o" "s" 1;
"a" "j" "s" "z" 1; "b" "j" "u" 1; "c" "j" "o" 1; "d" "p" 2; "e" "b" "o" "s" 1;
"a" "j" "s" "z" 1; "b" "j" "u" 1; "c" "j" "o" 1; "d" "p" 2; "e" "b" "o" "s" 1;
"a" "e" "j" "s" "w" "z" 1; "b" "j" "u" 1; "c" "j" "o" "q" 1; "d" "p" 2; "e" "b" "o" "s" 1;
"a" "e" "j" "s" "z" 1; "b" "i" "j" "q" "r" "u" 1; "c" "j" "o" "q" 1; "d" "p" 2; "e" "b" "o" "s" 1;
"a" "e" "j" "s" "z" 1; "b" "i" "j" "q" "r" "u" 1; "c" "j" "o" "q" 1; "d" "p" 2; "e" "b" "o" "s" 1;
"a" "e" "j" "s" "z" 1; "b" "i" "j" "q" "r" "u" 1; "c" "j" "o" "q" 1; "d" "p" 2; "e" "b" "o" "s" 1;
"a" "e" "j" "s" "z" 1; "b" "i" "j" "q" "r" "u" 1; "c" "t" 2; "d" "p" 2; "e" "b" "o" "s" "z" 1;
"a" "e" "j" "s" "z" 1; "b" "i" "j" "q" "r" "u" 1; "c" "t" 2; "d" "p" 2; "e" "b" "o" "s" "z" 1;
"a" "e" "j" "s" "z" 1; "b" "i" "j" "q" "r" "u" 1; "c" "t" 2; "d" "p" 2; "e" "o" 2;
"a" "e" "j" "s" "z" 1; "b" "i" "j" "q" "r" "u" 1; "c" "t" 2; "d" "p" 2; "e" "o" 2;
"a" "e" "j" "s" "z" 1; "b" "i" "j" "q" "r" "u" 1; "c" "t" 2; "d" "p" 2; "e" "o" 2;
"a" "e" "j" "s" "z" 1; "b" "i" "j" "q" "r" "u" 1; "c" "t" 2; "d" "p" 2; "e" "o" 2;
"a" "e" "j" "s" "z" 1; "b" "c" "i" "j" "q" "r" "u" "v" 1; "c" "q" "t" 2; "d" "p" 2; "e" "o" 2;
"a" "e" "j" "s" "z" 1; "b" "r" 2; "c" "q" "t" 2; "d" "p" 2; "e" "o" 2;
"a" "e" "j" "s" "z" 1; "b" "r" 2; "c" "q" "t" 2; "d" "p" 2; "e" "o" 2;
"a" "e" "j" "s" "z" 1; "b" "r" 2; "c" "q" "t" 2; "d" "p" 2; "e" "o" 2;
"a" "e" "j" "s" "z" 1; "b" "r" 2; "c" "q" "t" 2; "d" "p" 2; "e" "o" 2;
