none
none
none
none
none
none
none
none
none
"c" "h" 1;
"c" "h" 1;
"c" "h" 1;
"c" "h" 1;
"c" "h" 1;
"c" "h" 1;
"b" "a" 1; "c" "h" "j" 1;
"a" "t" 1; "b" "a" 1; "c" "h" "j" 1;
"a" "t" 1; "b" "a" 1; "c" "h" "j" 1;
"a" "t" 1; "b" "a" 1; "c" "h" "j" 1;
"a" "t" 1; "b" "a" 1; "c" "h" "j" 1;
"a" "t" 1; "b" "a" 1; "c" "h" "j" 1;
"a" "t" 1; "b" "a" 1; "c" "h" "j" 1;
"a" "t" 1; "b" "a" 1; "c" "h" "j" 1;
"a" "t" 1; "b" "a" 1; "c" "h" "j" 1;
"a" "r" "t" 1; "b" "a" 1; "c" "h" "j" 1;
"a" "r" "t" 1; "b" "a" 1; "c" "h" "j" 1;
"a" "r" "t" 1; "b" "a" 1; "c" "h" "j" 1;
"a" "r" "t" 1; "b" "a" 1; "c" "h" "j" 1;
"a" "r" "t" 1; "b" "a" 1; "c" "h" "j" 1;
"a" "r" "t" "u" 1; "b" "a" 1; "c" "h" "j" "p" 1;
"a" "r" "t" "u" 1; "b" "a" "z" 1; "c" "h" "j" "p" 1; "d" "g" 1;
"a" "r" "t" "u" 1; "b" "a" "z" 1; "c" "h" "j" "p" 1; "d" "g" "w" 1;
"a" "r" "t" "u" 1; "b" "a" "z" 1; "c" "h" "j" "p" 1; "d" "g" "w" 1;
"a" "r" "t" "u" 1; "b" "a" "z" 1; "c" "h" "j" "p" 1; "d" "c" "g" "w" 1;
"a" "r" "t" "u" 1; "b" "a" "j" "z" 1; "c" "h" "j" "p" 1; "d" "c" "g" "w" 1;
"a" "r" "t" "u" 1; "b" "a" "j" "z" 1; "c" "h" "j" "p" 1; "d" "c" "q" "w" 1;
"a" "r" "t" "u" 1; "b" "a" "j" "z" 1; "c" "h" "j" "p" 1; "d" "c" "q" "w" 1;
"a" "r" "t" "u" 1; "b" "a" "j" "z" 1; "c" "h" "j" "p" 1; "d" "c" "q" "w" 1;
"a" "r" "t" "u" 1; "b" "a" "j" "z" 1; "c" "h" "j" "p" 1; "d" "c" "q" "w" 1;
"a" "r" "t" "u" 1; "b" "a" "j" "z" 1; "c" "h" "j" "p" 1; "d" "c" "q" "w" 1;
"a" "r" "t" "u" 1; "b" "a" "j" "z" 1; "c" "h" "j" "p" 1; "d" "c" "q" "u" "w" "y" 1;
"a" "r" "t" "u" 1; "b" "a" "j" "z" 1; "c" "h" "j" "p" 1; "d" "c" "q" "u" "w" "y" 1;
"a" "r" "t" "u" 1; "b" "a" "j" "z" 1; "c" "h" "j" "p" 1; "d" "c" "q" "u" "w" "y" 1;
"a" "r" "t" "u" 1; "b" "a" "j" "z" 1; "c" "h" "j" "p" 1; "d" "c" "k" "q" "u" "w" "y" 1;
"a" "r" "t" "u" 1; "b" "a" "f" "j" "z" 1; "c" "h" "j" "p" "s" 1; "d" "y" 2;
"a" "r" "t" "u" 1; "b" "a" "f" "j" "z" 1; "c" "h" "j" "p" "s" 1; "d" "y" 2;
"a" "r" "t" "u" 1; "b" "f" 2; "c" "h" "j" "p" "s" 1; "d" "y" 2; "e" "m" 1;
"a" "r" "t" "u" 1; "b" "f" 2; "c" "h" "j" "p" "s" "t" 1; "d" "y" 2; "e" "m" 1;
"a" "r" 2; "b" "f" 2; "c" "f" "h" "j" "p" "s" "t" 1; "d" "y" 2; "e" "i" "m" 1;
"a" "r" 2; "b" "f" 2; "c" "f" "h" "j" "p" "s" "t" 1; "d" "y" 2; "e" "i" "m" "y" 1;
"a" "r" 2; "b" "f" 2; "c" "f" "h" "j" "p" "s" "t" 1; "d" "y" 2; "e" "i" "m" "y" 1;
"a" "r" 2; "b" "f" 2; "c" "f" "h" "j" "p" "s" "t" 1; "d" "y" 2; "e" "i" "m" "y" 1;
"a" "r" 2; "b" "f" 2; "c" "f" "h" "j" "p" "s" "t" 1; "d" "y" 2; "e" "i" "m" "y" 1;
"a" "r" 2; "b" "f" 2; "c" "f" "h" "j" "p" "s" "t" 1; "d" "y" 2; "e" "i" "l" "m" "y" 1;
"a" "r" 2; "b" "f" 2; "c" "f" "h" "j" "m" "p" "s" "t" 1; "d" "y" 2; "e" "i" "j" "l" "m" "p" "y" 1;
"a" "r" 2; "b" "f" 2; "c" "f" "h" "j" "m" "p" "s" "t" 1; "d" "y" 2; "e" "i" "j" "l" "m" "p" "y" 1;
"a" "r" 2; "b" "f" 2; "c" "f" "h" "j" "m" "p" "s" "t" 1; "d" "y" 2; "e" "i" "j" "l" "m" "p" "v" "y" 1;
"a" "r" 2; "b" "f" 2; "c" "f" "h" "j" "m" "p" "s" "t" 1; "d" "y" 2; "e" "i" 2;
"a" "r" 2; "b" "f" 2; "c" "f" "h" "j" "m" "p" "s" "t" 1; "d" "y" 2; "e" "i" 2;
"a" "r" 2; "b" "f" 2; "c" "f" "h" "j" "m" "p" "s" "t" 1; "d" "y" 2; "e" "i" 2;
"a" "r" 2; "b" "f" 2; "c" "f" "h" "j" "m" "p" "s" "t" 1; "d" "y" 2; "e" "i" 2;
"a" "r" 2; "b" "f" 2; "c" "f" "h" "j" "m" "p" "s" "t" 1; "d" "y" 2; "e" "i" 2;
"a" "r" 2; "b" "f" 2; "c" "f" "h" "j" "m" "p" "s" "t" 1; "d" "y" 2; "e" "i" 2;
"a" "r" 2; "b" "f" 2; "c" "f" "h" "j" "m" "p" "s" "t" 1; "d" "y" 2; "e" "i" 2;
"a" "r" 2; "b" "f" 2; "c" "f" "h" "j" "m" "p" "s" "t" 1; "d" "y" 2; "e" "i" "j" 2;
"a" "r" 2; "b" "f" 2; "c" "f" "h" "j" "m" "p" "s" "t" 1; "d" "y" 2; "e" "i" "j" 2;
"a" "r" 2; "b" "f" 2; "c" "f" "h" "j" "m" "p" "s" "t" 1; "d" "y" 2; "e" "i" "j" 2;
"a" "r" 2; "b" "f" "j" 2; "c" "f" "h" "j" "m" "p" "s" "t" 1; "d" "y" 2; "e" "i" "j" 2;
"a" "r" 2; "b" "f" "j" 2; "c" "f" "h" "j" "m" "p" "s" "t" 1; "d" "y" 2; "e" "i" "j" 2;
"a" "r" 2; "b" "f" "j" 2; "c" "f" "h" "j" "m" "p" "s" "t" 1; "d" "y" 2; "e" "i" "j" 2;
"a" "r" 2; "b" "f" "j" 2; "c" "s" 2; "d" "y" 2; "e" "i" "j" 2;
"a" "r" 2; "b" "f" "j" 2; "c" "s" 2; "d" "y" 2; "e" "i" "j" 2;
"a" "r" 2; "b" "f" "j" 2; "c" "s" 2; "d" "y" 2; "e" "i" "j" 2;
"a" "r" 2; "b" "f" "j" 2; "c" "s" 2; "d" "y" 2; "e" "i" "j" 2;
"a" "r" 2; "b" "f" "g" "j" 2; "c" "s" 2; "d" "y" 2; "e" "i" "j" 2;
"a" "r" 2; "b" "f" "g" "j" 2; "c" "h" "s" 2; "d" "y" 2; "e" "i" "j" 2;
"a" "r" 2; "b" "f" "g" "j" 2; "c" "h" "s" 2; "d" "y" 2; "e" "i" "j" 2;
"a" "r" 2; "b" "f" "g" "j" 2; "c" "h" "s" 2; "d" "y" 2; "e" "i" "j" 2;
"a" "r" 2; "b" "f" "g" "j" 2; "c" "h" "s" 2; "d" "y" 2; "e" "i" "j" 2;
"a" "r" 2; "b" "f" "g" "j" 2; "c" "h" "s" 2; "d" "y" 2; "e" "i" "j" 2;
"a" "r" 2; "b" "f" "g" "j" 2; "c" "h" "s" 2; "d" "y" 2; "e" "i" "j" 2;
"a" "r" 2; "b" "f" "g" "j" 2; "c" "h" "s" 2; "d" "y" 2; "e" "i" "j" 2;
"a" "r" 2; "b" "f" "g" "j" 2; "c" "h" "s" 2; "d" "y" 2; "e" "i" "j" 2;
"a" "r" 3; "b" "f" "g" "j" 2; "c" "h" "s" 2; "d" "y" 2; "e" "i" 3;
"a" "r" 3; "b" "f" "g" "j" 2; "c" "h" "s" 2; "d" "y" 2; "e" "i" 3;
"a" "r" 3; "b" "g" 3; "c" "h" "s" 2; "d" "i" "y" 2; "e" "i" 3;
"a" "r" 3; "b" "g" 3; "c" "h" "s" 2; "d" "i" "y" 2; "e" "i" 3;
