none
none
none
none
none
none
none
none
none
none
none
none
"d" "c" 1;
"d" "c" 1;
"b" "n" 1; "d" "c" 1;
"b" "n" 1; "d" "c" 1;
"b" "n" 1; "d" "c" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" "y" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" "y" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" "y" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" "q" "y" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" "q" "y" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" "q" "y" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" "q" "y" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" "q" "y" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" "l" "q" "r" "y" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" "l" "q" "r" "w" "y" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" "l" "q" "r" "w" "y" 1;
"a" "h" 1; "b" "d" "n" 1; "d" "c" "l" "q" "r" "w" "y" 1;
"a" "h" "p" 1; "b" "d" "n" 1; "d" "r" 2; "e" "e" 1;
"a" "h" "p" 1; "b" "d" "n" 1; "c" "r" 1; "d" "r" 2; "e" "e" 1;
"a" "h" "p" 1; "b" "d" "n" 1; "c" "r" 1; "d" "r" 2; "e" "e" 1;
"a" "h" "p" 1; "b" "d" "n" 1; "c" "r" 1; "d" "r" 2; "e" "e" 1;
"a" "h" "p" 1; "b" "d" "n" "q" 1; "c" "b" "d" "r" 1; "d" "r" 2; "e" "e" "f" "p" 1;
"a" "h" "p" 1; "b" "d" "n" "q" 1; "c" "b" "d" "r" 1; "d" "r" 2; "e" "e" "f" "p" 1;
"a" "h" "p" 1; "b" "d" 2; "c" "b" "d" "n" "r" 1; "d" "l" "r" 2; "e" "e" "f" "p" 1;
"a" "h" "p" 1; "b" "d" "n" 2; "c" "b" "d" "n" "r" 1; "d" "l" "r" 2; "e" "e" "f" "p" 1;
"a" "h" "p" 1; "b" "d" "n" 2; "c" "b" "d" "n" "r" 1; "d" "l" "r" 2; "e" "e" "f" "p" 1;
"a" "h" "p" 1; "b" "d" "n" 2; "c" "b" "d" "n" "r" 1; "d" "l" "r" 2; "e" "e" "f" "p" 1;
"a" "h" "p" 1; "b" "d" "n" 2; "c" "b" "d" "n" "r" 1; "d" "l" "r" 2; "e" "e" "f" "p" 1;
