none
none
none
none
none
none
none
none
none
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "f" "x" 1;
"d" "f" "x" 1;
"d" "f" "x" 1;
"d" "f" "x" 1;
"b" "r" 1; "d" "f" "x" 1;
"b" "r" 1; "d" "f" "x" 1;
"b" "r" 1; "d" "f" "x" 1;
"b" "r" 1; "d" "f" "x" 1;
"b" "r" 1; "d" "f" "x" 1;
"b" "r" 1; "d" "f" "s" "x" 1;
"b" "r" 1; "d" "f" "s" "x" 1;
"a" "q" 1; "b" "r" 1; "d" "f" "s" "x" 1;
"a" "q" 1; "b" "r" 1; "d" "f" "s" "x" 1;
"a" "q" 1; "b" "r" 1; "d" "f" "s" "x" 1;
"a" "q" 1; "b" "i" "r" 1; "d" "f" "r" "s" "x" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 1; "d" "f" "r" "s" "x" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 1; "d" "d" "f" "r" "s" "x" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "d" "f" "r" "s" "x" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "d" "f" "r" "s" "x" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "d" "f" "r" "s" "x" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "d" "f" "r" "s" "x" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "d" "f" "r" "s" "x" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "d" "f" "r" "s" "x" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "d" "f" "r" "s" "x" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "d" "f" "r" "s" "x" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "r" 2;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "r" 2;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "r" 2;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "r" 2;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "r" 2;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "r" 2;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "r" 2;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 2; "d" "r" 2; "e" "i" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 3; "d" "r" 2; "e" "i" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 3; "d" "r" 2; "e" "i" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 3; "d" "r" 2; "e" "i" 1;
"a" "q" 1; "b" "i" "r" 1; "c" "n" 3; "d" "r" 2; "e" "i" 1;
"a" "d" "q" 1; "b" "i" "r" 1; "c" "n" 3; "d" "r" 2; "e" "i" 2;
"a" "d" "q" 1; "b" "i" "r" 1; "c" "n" 3; "d" "r" 2; "e" "i" 2;
"a" "d" "q" 1; "b" "i" "r" 1; "c" "n" 3; "d" "r" 2; "e" "i" 2;
"a" "a" "d" "q" "r" 1; "b" "i" "r" 1; "c" "n" 3; "d" "r" 2; "e" "i" 2;
"a" "a" "d" "q" "r" 1; "b" "i" "r" 1; "c" "n" 3; "d" "r" 2; "e" "i" 2;
"a" "a" "d" "q" "r" 1; "b" "i" "r" 1; "c" "n" 3; "d" "r" 3; "e" "i" 2;
"a" "a" "d" "g" "h" "n" "q" "r" 1; "b" "i" "r" "x" 1; "c" "n" 3; "d" "r" 3; "e" "i" 2;
"a" "g" 2; "b" "i" "r" "v" "x" 1; "c" "n" 3; "d" "r" 3; "e" "i" 2;
"a" "g" 2; "b" "i" "r" "v" "x" 1; "c" "n" 3; "d" "r" 3; "e" "i" 2;
"a" "g" 2; "b" "i" "r" "v" "x" 1; "c" "n" 3; "d" "r" 3; "e" "i" 2;
"a" "g" 2; "b" "i" "r" "v" "x" 1; "c" "n" 3; "d" "r" 3; "e" "i" 2;
"a" "g" 2; "b" "i" "r" "v" "x" 1; "c" "n" 3; "d" "r" 3; "e" "i" 2;
"a" "g" "h" 2; "b" "i" "r" "v" "x" 1; "c" "n" 3; "d" "r" 3; "e" "i" 2;
"a" "g" "h" 2; "b" "i" "r" "v" "x" 1; "c" "n" 3; "d" "r" 3; "e" "i" 2;
"a" "g" "h" 2; "b" "r" 2; "c" "n" 3; "d" "r" 3; "e" "i" 2;
"a" "g" "h" 2; "b" "r" 2; "c" "n" 3; "d" "r" 3; "e" "i" 2;
"a" "g" "h" 2; "b" "r" 2; "c" "n" 3; "d" "r" 3; "e" "i" 2;
