none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "i" 1;
"b" "i" 1;
"b" "i" 1;
"b" "i" 1;
"b" "i" 1;
"b" "i" 1;
"b" "i" 1;
"b" "i" 1;
"b" "i" 1; "d" "n" 1;
"b" "i" 1; "d" "n" 1;
"a" "l" 1; "b" "i" 1; "d" "n" 1; "e" "i" "p" 1;
"a" "l" 1; "b" "i" 1; "d" "n" 1; "e" "p" 2;
"a" "l" 1; "b" "i" 1; "c" "k" 1; "d" "n" 1; "e" "p" 2;
"a" "l" 1; "b" "i" 1; "c" "k" 1; "d" "n" 1; "e" "p" 2;
"a" "l" "r" 1; "b" "i" 1; "c" "k" 1; "d" "n" 1; "e" "p" 2;
"a" "l" "r" 1; "b" "i" 1; "c" "k" 1; "d" "n" 1; "e" "p" 2;
"a" "l" "r" 1; "b" "i" 1; "c" "k" 1; "d" "n" 1; "e" "p" 2;
"a" "l" "r" 1; "b" "i" 1; "c" "k" 1; "d" "n" 1; "e" "p" 2;
"a" "l" "r" 1; "b" "i" 1; "c" "k" 1; "d" "n" 1; "e" "p" 2;
"a" "l" "r" 1; "b" "i" 1; "c" "k" 1; "d" "n" 1; "e" "p" 2;
"a" "l" "r" 1; "b" "i" 1; "c" "k" 1; "d" "n" "z" 1; "e" "p" 2;
"a" "l" "r" 1; "b" "i" 1; "c" "k" 1; "d" "n" "z" 1; "e" "p" 2;
"a" "l" "p" "r" 1; "b" "i" 1; "c" "d" "k" 1; "d" "n" "z" 1; "e" "p" 2;
"a" "l" "p" "r" 1; "b" "i" "j" 1; "c" "d" "e" "k" 1; "d" "n" "z" 1; "e" "p" 2;
"a" "l" "p" "r" 1; "b" "i" "j" 1; "c" "d" "e" "k" 1; "d" "n" "z" 1; "e" "p" 2;
"a" "l" "p" "r" 1; "b" "i" "j" 1; "c" "a" "d" "e" "k" "m" 1; "d" "n" "z" 1; "e" "b" "i" "p" 2;
"a" "l" "p" "r" 1; "b" "i" "j" 1; "c" "a" "d" "e" "k" "m" 1; "d" "n" "z" 1; "e" "b" "i" "p" 2;
"a" "l" "p" "r" 1; "b" "i" "j" 1; "c" "a" "d" "e" "k" "m" 1; "d" "n" "z" 1; "e" "b" "i" "p" 2;
