none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"e" "q" 1;
"e" "q" 1;
"e" "q" 1;
"e" "q" 1;
"b" "d" "m" 1; "e" "q" 1;
"b" "d" "m" 1; "e" "q" 1;
"b" "d" "m" 1; "e" "q" 1;
"b" "d" "m" 1; "e" "o" "q" "y" 1;
"b" "d" "m" 1; "e" "o" "q" "y" 1;
"b" "d" "m" 1; "e" "o" "q" "y" 1;
"b" "d" "m" 1; "e" "o" "q" "y" 1;
"b" "d" "m" 1; "e" "o" "q" "y" 1;
"b" "d" "m" 1; "d" "f" 1; "e" "y" 2;
"b" "d" "m" 1; "d" "f" 1; "e" "y" 2;
"b" "d" "m" 1; "d" "f" 1; "e" "y" 2;
"b" "d" "m" 1; "d" "f" 1; "e" "y" 2;
"b" "d" "m" 1; "d" "f" 1; "e" "y" 2;
"b" "d" "m" 1; "d" "f" 1; "e" "y" 2;
"b" "d" "m" 1; "d" "f" 1; "e" "y" 2;
"a" "j" "r" 1; "b" "d" "m" 1; "d" "f" 1; "e" "y" 2;
"a" "j" "r" 1; "b" "d" "m" 1; "d" "f" 1; "e" "y" 2;
"a" "j" "r" 1; "b" "d" "m" 1; "d" "f" "y" 1; "e" "y" 2;
"a" "j" "r" 1; "b" "d" "m" 1; "d" "f" "y" 1; "e" "y" 2;
"a" "j" "k" "r" 1; "b" "d" "m" 1; "d" "f" "y" 1; "e" "y" 2;
"a" "j" "k" "r" 1; "b" "d" "m" 1; "d" "f" "y" 1; "e" "y" 2;
"a" "j" "k" "r" 1; "b" "d" "m" 1; "d" "f" "k" "y" 1; "e" "y" 2;
"a" "j" "k" "r" 1; "b" "d" "m" 1; "d" "f" "k" "y" 1; "e" "y" 2;
"a" "c" "j" "k" "r" 1; "b" "d" "m" 1; "d" "f" "k" "y" 1; "e" "y" 2;
"a" "c" "j" "k" "r" 1; "b" "d" "m" 1; "c" "s" 1; "d" "f" "k" "y" 1; "e" "y" 2;
"a" "c" "j" "k" "r" 1; "b" "d" "m" 1; "c" "s" 1; "d" "f" "k" "y" 1; "e" "y" 2;
"a" "c" "j" "k" "r" 1; "b" "d" "m" 1; "c" "s" 1; "d" "f" "k" "y" 1; "e" "y" 2;
"a" "c" "j" "k" "r" 1; "b" "d" "k" "m" 1; "c" "s" 1; "d" "f" "k" "y" 1; "e" "y" 2;
"a" "c" "j" "k" "r" 1; "b" "d" "k" "m" 1; "c" "j" "s" 1; "d" "f" "k" "y" 1; "e" "y" 2;
"a" "c" "j" "k" "p" "r" "y" "z" 1; "b" "d" "k" "m" 1; "c" "j" "s" 1; "d" "f" "k" "y" 1; "e" "y" 2;
"a" "c" "j" "k" "p" "r" "y" "z" 1; "b" "d" "k" "m" 1; "c" "j" "s" 1; "d" "f" "k" "y" 1; "e" "y" 2;
"a" "c" "j" "k" "p" "r" "y" "z" 1; "b" "d" "j" "k" "m" 1; "c" "j" "s" 1; "d" "f" "k" "y" 1; "e" "y" 2;
"a" "c" "j" "k" "p" "r" "y" "z" 1; "b" "d" "j" "k" "m" 1; "c" "j" "s" 1; "d" "f" "k" "y" 1; "e" "y" 2;
"a" "c" "j" "k" "p" "r" "t" "y" "z" 1; "b" "d" "j" "k" "m" 1; "c" "j" "s" 1; "d" "f" "k" "y" 1; "e" "y" 2;
"a" "c" "j" "k" "p" "r" "t" "y" "z" 1; "b" "d" "j" "k" "m" 1; "c" "j" "s" 1; "d" "f" "k" "y" 1; "e" "y" 2;
"a" "c" "j" "k" "p" "r" "t" "y" "z" 1; "b" "d" "j" "k" "m" 1; "c" "j" "s" 1; "d" "f" "k" "y" 1; "e" "y" 2;
"a" "c" "j" "k" "p" "r" "t" "y" "z" 1; "b" "d" "j" "k" "m" 1; "c" "j" "s" 1; "d" "f" "k" "p" "y" 1; "e" "y" 2;
"a" "c" "j" "k" "p" "r" "t" "y" "z" 1; "b" "d" "j" "k" "m" 1; "c" "j" "s" 1; "d" "f" "k" "p" "y" 1; "e" "y" 2;
"a" "k" 2; "b" "d" "j" "k" "m" "u" 1; "c" "j" "n" "o" "p" "s" 1; "d" "f" "k" "p" "y" 1; "e" "y" 3;
"a" "k" 2; "b" "d" "j" "k" "m" "u" 1; "c" "j" "n" "o" "p" "s" 1; "d" "f" "k" "p" "y" 1; "e" "y" 3;
"a" "c" "k" 2; "b" "d" "j" "k" "m" "u" 1; "c" "j" "n" "o" "p" "s" 1; "d" "f" "k" "p" "y" "z" 1; "e" "y" 3;
"a" "c" "k" 2; "b" "d" "j" "k" "m" "u" 1; "c" "j" "n" "o" "p" "s" 1; "d" "f" "k" "p" "y" "z" 1; "e" "y" 3;
"a" "c" "k" 2; "b" "d" "j" "k" "m" "u" 1; "c" "j" "n" "o" "p" "s" 1; "d" "f" "k" "p" "y" "z" 1; "e" "y" 3;
