none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "d" 1; "d" "s" 1; "e" "a" 1;
"a" "d" 1; "d" "s" 1; "e" "a" 1;
"a" "d" 1; "d" "s" 1; "e" "a" 1;
"a" "d" 1; "d" "s" 1; "e" "a" 1;
"a" "d" 1; "d" "s" 1; "e" "a" 1;
"a" "d" 1; "d" "s" 1; "e" "a" 1;
"a" "d" 1; "c" "c" 1; "d" "s" 1; "e" "a" 1;
"a" "d" "y" 1; "c" "c" 1; "d" "s" 1; "e" "a" 1;
"a" "d" "y" 1; "c" "c" 1; "d" "s" 1; "e" "a" 1;
"a" "d" "y" 1; "c" "c" 1; "d" "s" 1; "e" "a" 1;
"a" "d" "y" 1; "c" "c" 1; "d" "s" 1; "e" "a" 1;
"a" "d" "y" 1; "c" "c" 1; "d" "s" 2; "e" "a" 1;
"a" "d" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" 1;
"a" "d" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" 1;
"a" "d" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" 1;
"a" "d" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" 1;
"a" "d" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" "x" 1;
"a" "d" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" "x" 1;
"a" "d" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" "x" 1;
"a" "d" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" "x" 1;
"a" "d" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" "x" 1;
"a" "d" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" "x" 1;
"a" "d" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" "x" 1;
"a" "d" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" "x" 1;
"a" "d" "e" "y" 1; "c" "c" 2; "d" "s" 2; "e" "a" "x" 1;
"a" "d" "e" "r" "y" 1; "b" "q" 1; "c" "c" 2; "d" "s" 2; "e" "a" "x" 1;
"a" "d" "e" "r" "y" 1; "b" "q" 1; "c" "c" 2; "d" "s" 2; "e" "a" "b" "x" 1;
"a" "d" "e" "r" "y" 1; "b" "q" 1; "c" "c" 2; "d" "s" 2; "e" "a" "b" "x" 1;
"a" "d" "e" "r" "y" 1; "b" "q" 1; "c" "c" 2; "d" "s" 2; "e" "a" "b" "x" 1;
"a" "d" "e" "k" "r" "y" 1; "b" "q" 1; "c" "c" 2; "d" "s" 2; "e" "a" "b" "q" "x" 1;
"a" "d" "e" "k" "r" "y" 1; "b" "q" 1; "c" "c" 2; "d" "s" 2; "e" "a" "b" "q" "x" 1;
"a" "d" "e" "k" "r" "y" 1; "b" "q" 1; "c" "c" 2; "d" "s" 2; "e" "a" "b" "q" "x" 1;
"a" "d" "e" "k" "r" "y" 1; "b" "q" "w" 1; "c" "c" 2; "d" "s" 2; "e" "a" "b" "q" "x" 1;
"a" "r" 2; "b" "q" "w" 1; "c" "c" 2; "d" "s" "t" 2; "e" "a" "b" "q" "x" 1;
"a" "r" 2; "b" "q" "w" 1; "c" "c" 2; "d" "s" "t" 2; "e" "a" "b" "q" "x" 1;
"a" "r" 2; "b" "b" "q" "w" 1; "c" "c" 2; "d" "s" "t" 2; "e" "q" 2;
"a" "d" "r" 2; "b" "b" "q" "w" 1; "c" "c" 2; "d" "s" "t" 2; "e" "q" 2;
"a" "d" "r" 2; "b" "b" "q" "w" 1; "c" "c" 2; "d" "s" "t" 2; "e" "q" 2;
"a" "d" "r" 2; "b" "b" "q" "w" 1; "c" "c" 2; "d" "s" "t" 2; "e" "q" 2;
"a" "d" "r" 2; "b" "b" "q" "w" "z" 1; "c" "c" 2; "d" "s" "t" 2; "e" "q" 2;
"a" "d" "r" 2; "b" "b" "q" "w" "z" 1; "c" "c" 2; "d" "s" "t" 2; "e" "q" 2;
"a" "d" "r" 2; "b" "b" "q" "w" "z" 1; "c" "c" 2; "d" "s" "t" 2; "e" "q" 2;
"a" "d" "r" 2; "b" "b" "q" "w" "z" 1; "c" "c" 2; "d" "s" "t" 2; "e" "q" 2;
"a" "d" "r" 2; "b" "b" "q" "w" "z" 1; "c" "c" 2; "d" "s" "t" 2; "e" "q" 2;
"a" "d" "r" 2; "b" "b" "q" "w" "z" 1; "c" "c" 2; "d" "s" "t" 2; "e" "q" 2;
"a" "d" "k" "r" 2; "b" "b" "q" "w" "z" 1; "c" "c" 2; "d" "s" "t" 2; "e" "q" 2;
"a" "d" "k" "r" 2; "b" "b" "q" "w" "z" 1; "c" "c" 2; "d" "s" "t" 2; "e" "q" 2;
"a" "d" "k" "r" 2; "b" "b" "q" "w" "z" 1; "c" "c" 2; "d" "s" "t" 2; "e" "q" 2;
